# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.651738e-04	0.000000e+00	4.355000e-06
1.000000e+01	2.000000e+01	7.823421e-04	2.398370e-05	4.612500e-06
2.000000e+01	3.000000e+01	1.244323e-03	0.000000e+00	2.962500e-05
3.000000e+01	4.000000e+01	1.675782e-03	0.000000e+00	1.368500e-05
4.000000e+01	5.000000e+01	2.024573e-03	0.000000e+00	5.837300e-05
5.000000e+01	6.000000e+01	2.395079e-03	4.095200e-05	0.000000e+00
6.000000e+01	7.000000e+01	2.671585e-03	2.160800e-05	1.774000e-05
7.000000e+01	8.000000e+01	2.852258e-03	0.000000e+00	1.016400e-04
8.000000e+01	9.000000e+01	3.061188e-03	0.000000e+00	2.206000e-05
9.000000e+01	1.000000e+02	3.206465e-03	4.474200e-05	0.000000e+00
1.000000e+02	1.100000e+02	3.311019e-03	0.000000e+00	1.672100e-05
1.100000e+02	1.200000e+02	3.369956e-03	2.897600e-05	0.000000e+00
1.200000e+02	1.300000e+02	3.358973e-03	4.764300e-05	7.661000e-06
1.300000e+02	1.400000e+02	3.374836e-03	8.100200e-05	0.000000e+00
1.400000e+02	1.500000e+02	3.312711e-03	9.700200e-05	0.000000e+00
1.500000e+02	1.600000e+02	3.217560e-03	2.140000e-05	1.038100e-05
1.600000e+02	1.700000e+02	3.155756e-03	3.601800e-05	0.000000e+00
1.700000e+02	1.800000e+02	3.029767e-03	6.321500e-05	0.000000e+00
1.800000e+02	1.900000e+02	2.912016e-03	1.849290e-04	0.000000e+00
1.900000e+02	2.000000e+02	2.776948e-03	1.257400e-05	3.893000e-05
2.000000e+02	2.100000e+02	2.646580e-03	3.420500e-05	1.968800e-05
2.100000e+02	2.200000e+02	2.445832e-03	5.612700e-05	2.692100e-05
2.200000e+02	2.300000e+02	2.422479e-03	9.822500e-05	0.000000e+00
2.300000e+02	2.400000e+02	2.331601e-03	1.271280e-04	0.000000e+00
2.400000e+02	2.500000e+02	2.150470e-03	6.853000e-05	0.000000e+00
2.500000e+02	2.600000e+02	2.053337e-03	2.226840e-04	9.400000e-08
2.600000e+02	2.700000e+02	1.932755e-03	2.206000e-05	0.000000e+00
2.700000e+02	2.800000e+02	1.781853e-03	8.235700e-05	0.000000e+00
2.800000e+02	2.900000e+02	1.763368e-03	6.065800e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.686036e-03	9.924300e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.498384e-03	0.000000e+00	7.635000e-06
