# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,h}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,h}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.328545e-04	1.320900e-05	1.754000e-07
1.000000e+01	2.000000e+01	6.611759e-04	2.701020e-05	1.488450e-05
2.000000e+01	3.000000e+01	1.109410e-03	3.765800e-05	0.000000e+00
3.000000e+01	4.000000e+01	1.496344e-03	3.940000e-05	8.436000e-06
4.000000e+01	5.000000e+01	1.848424e-03	6.019700e-05	0.000000e+00
5.000000e+01	6.000000e+01	2.161767e-03	5.753900e-05	0.000000e+00
6.000000e+01	7.000000e+01	2.446789e-03	8.920700e-05	0.000000e+00
7.000000e+01	8.000000e+01	2.631285e-03	5.810900e-05	0.000000e+00
8.000000e+01	9.000000e+01	2.827667e-03	6.547400e-05	0.000000e+00
9.000000e+01	1.000000e+02	2.991142e-03	1.428610e-04	0.000000e+00
1.000000e+02	1.100000e+02	3.048016e-03	6.126300e-05	0.000000e+00
1.100000e+02	1.200000e+02	3.157079e-03	1.220360e-04	0.000000e+00
1.200000e+02	1.300000e+02	3.158963e-03	5.713700e-05	2.123600e-05
1.300000e+02	1.400000e+02	3.198656e-03	9.006000e-05	0.000000e+00
1.400000e+02	1.500000e+02	3.172592e-03	1.040570e-04	0.000000e+00
1.500000e+02	1.600000e+02	3.136516e-03	1.445470e-04	0.000000e+00
1.600000e+02	1.700000e+02	3.057144e-03	3.381200e-05	0.000000e+00
1.700000e+02	1.800000e+02	2.984321e-03	7.417400e-05	0.000000e+00
1.800000e+02	1.900000e+02	2.894698e-03	2.282610e-04	0.000000e+00
1.900000e+02	2.000000e+02	2.776651e-03	3.216400e-05	0.000000e+00
2.000000e+02	2.100000e+02	2.671391e-03	3.759000e-05	0.000000e+00
2.100000e+02	2.200000e+02	2.565171e-03	6.571600e-05	5.722000e-06
2.200000e+02	2.300000e+02	2.359284e-03	0.000000e+00	5.018900e-05
2.300000e+02	2.400000e+02	2.300591e-03	9.697000e-06	3.170900e-05
2.400000e+02	2.500000e+02	2.270489e-03	8.533200e-05	0.000000e+00
2.500000e+02	2.600000e+02	2.114710e-03	7.624900e-05	0.000000e+00
2.600000e+02	2.700000e+02	1.990733e-03	2.599100e-05	0.000000e+00
2.700000e+02	2.800000e+02	1.925223e-03	8.310000e-05	0.000000e+00
2.800000e+02	2.900000e+02	1.811112e-03	2.858000e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.663609e-03	7.233600e-05	4.458400e-05
3.000000e+02	3.100000e+02	1.609180e-03	5.550300e-05	9.247000e-06
3.100000e+02	3.200000e+02	1.634625e-03	1.631270e-04	0.000000e+00
3.200000e+02	3.300000e+02	1.369652e-03	0.000000e+00	8.846900e-05
3.300000e+02	3.400000e+02	1.319817e-03	5.400000e-06	1.113600e-05
3.400000e+02	3.500000e+02	1.271218e-03	7.246000e-06	0.000000e+00
3.500000e+02	3.600000e+02	1.222379e-03	0.000000e+00	2.950400e-05
3.600000e+02	3.700000e+02	1.134856e-03	0.000000e+00	2.275400e-05
3.700000e+02	3.800000e+02	1.083802e-03	1.551500e-05	9.543000e-06
3.800000e+02	3.900000e+02	9.977135e-04	3.383000e-07	2.422150e-05
3.900000e+02	4.000000e+02	9.214645e-04	0.000000e+00	3.283670e-05
4.000000e+02	4.100000e+02	8.916933e-04	3.386100e-05	5.035650e-05
4.100000e+02	4.200000e+02	8.502821e-04	2.369430e-05	0.000000e+00
4.200000e+02	4.300000e+02	8.570317e-04	9.638270e-05	3.849400e-06
4.300000e+02	4.400000e+02	7.461949e-04	4.891000e-07	7.217700e-06
4.400000e+02	4.500000e+02	7.228237e-04	2.840500e-06	0.000000e+00
4.500000e+02	4.600000e+02	6.601782e-04	1.896040e-05	5.012000e-05
4.600000e+02	4.700000e+02	6.385928e-04	2.676080e-05	5.594400e-05
4.700000e+02	4.800000e+02	5.987065e-04	3.029020e-05	2.028590e-05
4.800000e+02	4.900000e+02	5.749642e-04	7.762250e-05	0.000000e+00
4.900000e+02	5.000000e+02	5.162153e-04	3.072690e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/H_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.272509e-04	7.329400e-06	0.000000e+00
1.000000e+01	2.000000e+01	6.737591e-04	2.295700e-05	0.000000e+00
2.000000e+01	3.000000e+01	1.097938e-03	3.790100e-05	0.000000e+00
3.000000e+01	4.000000e+01	1.485384e-03	5.408400e-05	0.000000e+00
4.000000e+01	5.000000e+01	1.826081e-03	6.257200e-05	0.000000e+00
5.000000e+01	6.000000e+01	2.129071e-03	7.345800e-05	0.000000e+00
6.000000e+01	7.000000e+01	2.391987e-03	9.109400e-05	0.000000e+00
7.000000e+01	8.000000e+01	2.609620e-03	9.675700e-05	0.000000e+00
8.000000e+01	9.000000e+01	2.793446e-03	1.056180e-04	0.000000e+00
9.000000e+01	1.000000e+02	2.937524e-03	1.083270e-04	0.000000e+00
1.000000e+02	1.100000e+02	3.046988e-03	1.112660e-04	0.000000e+00
1.100000e+02	1.200000e+02	3.123592e-03	1.129040e-04	0.000000e+00
1.200000e+02	1.300000e+02	3.163074e-03	1.131480e-04	0.000000e+00
1.300000e+02	1.400000e+02	3.180563e-03	1.151590e-04	0.000000e+00
1.400000e+02	1.500000e+02	3.165265e-03	1.095310e-04	0.000000e+00
1.500000e+02	1.600000e+02	3.123420e-03	1.105060e-04	0.000000e+00
1.600000e+02	1.700000e+02	3.062835e-03	1.058290e-04	0.000000e+00
1.700000e+02	1.800000e+02	2.984453e-03	9.628200e-05	0.000000e+00
1.800000e+02	1.900000e+02	2.894105e-03	9.070100e-05	0.000000e+00
1.900000e+02	2.000000e+02	2.796646e-03	9.032600e-05	0.000000e+00
2.000000e+02	2.100000e+02	2.689443e-03	8.245500e-05	0.000000e+00
2.100000e+02	2.200000e+02	2.576557e-03	7.713900e-05	0.000000e+00
2.200000e+02	2.300000e+02	2.466242e-03	7.448700e-05	0.000000e+00
2.300000e+02	2.400000e+02	2.351172e-03	7.217000e-05	0.000000e+00
2.400000e+02	2.500000e+02	2.240441e-03	6.878100e-05	0.000000e+00
2.500000e+02	2.600000e+02	2.123643e-03	5.631100e-05	0.000000e+00
2.600000e+02	2.700000e+02	2.016786e-03	5.676000e-05	0.000000e+00
2.700000e+02	2.800000e+02	1.914702e-03	5.699600e-05	0.000000e+00
2.800000e+02	2.900000e+02	1.808242e-03	4.553400e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.711714e-03	4.396500e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.617645e-03	4.131400e-05	0.000000e+00
3.100000e+02	3.200000e+02	1.530662e-03	4.366800e-05	0.000000e+00
3.200000e+02	3.300000e+02	1.444546e-03	3.642400e-05	0.000000e+00
3.300000e+02	3.400000e+02	1.366051e-03	3.766700e-05	0.000000e+00
3.400000e+02	3.500000e+02	1.287212e-03	3.100100e-05	0.000000e+00
3.500000e+02	3.600000e+02	1.213711e-03	2.786200e-05	0.000000e+00
3.600000e+02	3.700000e+02	1.148380e-03	2.880200e-05	0.000000e+00
3.700000e+02	3.800000e+02	1.081684e-03	2.442700e-05	0.000000e+00
3.800000e+02	3.900000e+02	1.023426e-03	2.525800e-05	0.000000e+00
3.900000e+02	4.000000e+02	9.665157e-04	2.419800e-05	0.000000e+00
4.000000e+02	4.100000e+02	9.099363e-04	2.043110e-05	0.000000e+00
4.100000e+02	4.200000e+02	8.629449e-04	1.976760e-05	0.000000e+00
4.200000e+02	4.300000e+02	8.139124e-04	2.030220e-05	0.000000e+00
4.300000e+02	4.400000e+02	7.663273e-04	1.511030e-05	0.000000e+00
4.400000e+02	4.500000e+02	7.263919e-04	1.826760e-05	0.000000e+00
4.500000e+02	4.600000e+02	6.855891e-04	1.356710e-05	0.000000e+00
4.600000e+02	4.700000e+02	6.503623e-04	1.591680e-05	0.000000e+00
4.700000e+02	4.800000e+02	6.128706e-04	1.515650e-05	0.000000e+00
4.800000e+02	4.900000e+02	5.791328e-04	1.311170e-05	0.000000e+00
4.900000e+02	5.000000e+02	5.483536e-04	1.282490e-05	0.000000e+00
