# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_3}$ (GeV)
LegendAlign=r
XMax=1000
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.738470e-04	1.785500e-07	1.328240e-05
4.000000e+01	8.000000e+01	9.938870e-04	0.000000e+00	1.154245e-04
8.000000e+01	1.200000e+02	1.117791e-03	0.000000e+00	5.589150e-05
1.200000e+02	1.600000e+02	1.032885e-03	6.909000e-06	1.737625e-05
1.600000e+02	2.000000e+02	9.062002e-04	0.000000e+00	1.733975e-05
2.000000e+02	2.400000e+02	8.140510e-04	7.013750e-06	3.593250e-06
2.400000e+02	2.800000e+02	7.341275e-04	2.952575e-05	0.000000e+00
2.800000e+02	3.200000e+02	6.370320e-04	2.350050e-05	0.000000e+00
3.200000e+02	3.600000e+02	5.404810e-04	0.000000e+00	3.308625e-05
3.600000e+02	4.000000e+02	4.824405e-04	4.434750e-06	7.462500e-07
4.000000e+02	4.400000e+02	4.407157e-04	3.602300e-05	0.000000e+00
4.400000e+02	4.800000e+02	3.757265e-04	0.000000e+00	7.146750e-06
4.800000e+02	5.200000e+02	3.555220e-04	8.190250e-06	3.921500e-06
5.200000e+02	5.600000e+02	3.091205e-04	9.103500e-06	2.239000e-06
5.600000e+02	6.000000e+02	2.812927e-04	0.000000e+00	7.577750e-06
6.000000e+02	6.400000e+02	2.566922e-04	2.311250e-06	0.000000e+00
6.400000e+02	6.800000e+02	2.283812e-04	1.430970e-05	1.474900e-06
6.800000e+02	7.200000e+02	2.193459e-04	1.509338e-05	0.000000e+00
7.200000e+02	7.600000e+02	1.892628e-04	1.531108e-05	7.713750e-07
7.600000e+02	8.000000e+02	1.749568e-04	0.000000e+00	4.317850e-06
8.000000e+02	8.400000e+02	1.646686e-04	1.597122e-05	0.000000e+00
8.400000e+02	8.800000e+02	1.446761e-04	0.000000e+00	2.790350e-06
8.800000e+02	9.200000e+02	1.481389e-04	5.619533e-05	0.000000e+00
9.200000e+02	9.600000e+02	1.187544e-04	0.000000e+00	7.888425e-06
9.600000e+02	1.000000e+03	1.150597e-04	7.447675e-06	5.573000e-06
1.000000e+03	1.040000e+03	9.964597e-05	0.000000e+00	1.877913e-05
1.040000e+03	1.080000e+03	8.730290e-05	0.000000e+00	1.039700e-05
1.080000e+03	1.120000e+03	8.184105e-05	0.000000e+00	1.361292e-05
1.120000e+03	1.160000e+03	8.047418e-05	6.005300e-06	0.000000e+00
1.160000e+03	1.200000e+03	7.147852e-05	0.000000e+00	2.522575e-06
1.200000e+03	1.240000e+03	6.481877e-05	0.000000e+00	2.626925e-06
1.240000e+03	1.280000e+03	6.183937e-05	7.609000e-06	3.890150e-06
1.280000e+03	1.320000e+03	6.024850e-05	2.389825e-06	0.000000e+00
1.320000e+03	1.360000e+03	5.264560e-05	0.000000e+00	3.743275e-06
1.360000e+03	1.400000e+03	5.715625e-05	8.932375e-06	0.000000e+00
1.400000e+03	1.440000e+03	4.526725e-05	1.618225e-06	1.920525e-06
1.440000e+03	1.480000e+03	4.121880e-05	6.967000e-07	1.686400e-06
1.480000e+03	1.520000e+03	4.101880e-05	1.011375e-06	0.000000e+00
1.520000e+03	1.560000e+03	3.866343e-05	3.491775e-06	0.000000e+00
1.560000e+03	1.600000e+03	3.324082e-05	1.357425e-06	1.083150e-06
1.600000e+03	1.640000e+03	3.061138e-05	1.010212e-05	0.000000e+00
1.640000e+03	1.680000e+03	2.651758e-05	0.000000e+00	5.993025e-06
1.680000e+03	1.720000e+03	2.599882e-05	0.000000e+00	5.082675e-06
1.720000e+03	1.760000e+03	2.761160e-05	1.596425e-06	0.000000e+00
1.760000e+03	1.800000e+03	2.154672e-05	0.000000e+00	2.266390e-06
1.800000e+03	1.840000e+03	2.232183e-05	2.813710e-06	0.000000e+00
1.840000e+03	1.880000e+03	2.032102e-05	1.066370e-06	3.176128e-06
1.880000e+03	1.920000e+03	1.773118e-05	0.000000e+00	7.606775e-07
1.920000e+03	1.960000e+03	1.423564e-05	0.000000e+00	3.475395e-06
1.960000e+03	2.000000e+03	1.479223e-05	0.000000e+00	3.179638e-06
2.000000e+03	2.040000e+03	1.414463e-05	0.000000e+00	1.570098e-06
2.040000e+03	2.080000e+03	1.165149e-05	1.225955e-06	2.594558e-06
2.080000e+03	2.120000e+03	1.241994e-05	0.000000e+00	6.273975e-07
2.120000e+03	2.160000e+03	1.218374e-05	5.036000e-07	0.000000e+00
2.160000e+03	2.200000e+03	1.149379e-05	1.810715e-06	0.000000e+00
2.200000e+03	2.240000e+03	9.732285e-06	1.640448e-06	2.433570e-06
2.240000e+03	2.280000e+03	9.168502e-06	2.916640e-06	4.408700e-07
2.280000e+03	2.320000e+03	7.131913e-06	4.014550e-07	2.703402e-06
2.320000e+03	2.360000e+03	7.334435e-06	1.581975e-07	7.263500e-08
2.360000e+03	2.400000e+03	8.061960e-06	1.219737e-06	0.000000e+00
2.400000e+03	2.440000e+03	6.859642e-06	1.093825e-07	1.318650e-07
2.440000e+03	2.480000e+03	7.158795e-06	4.842325e-07	3.618235e-06
2.480000e+03	2.520000e+03	5.359677e-06	0.000000e+00	2.574615e-06
2.520000e+03	2.560000e+03	5.552302e-06	1.773900e-06	5.611950e-07
2.560000e+03	2.600000e+03	5.268195e-06	0.000000e+00	1.836797e-06
2.600000e+03	2.640000e+03	4.788160e-06	1.985188e-06	5.677300e-07
2.640000e+03	2.680000e+03	4.698178e-06	3.164750e-08	8.102425e-07
2.680000e+03	2.720000e+03	2.591437e-06	3.408750e-08	4.628100e-07
2.720000e+03	2.760000e+03	4.058983e-06	8.004500e-08	0.000000e+00
2.760000e+03	2.800000e+03	3.480235e-06	2.548400e-07	4.812475e-07
2.800000e+03	2.840000e+03	3.233943e-06	0.000000e+00	9.834300e-07
