# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$y_{j_3}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_3}^{\star}$ (pb)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_y_star
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y_star
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	4.514437e-03	8.251500e-05	2.845565e-04
-4.800000e+00	-4.600000e+00	5.894135e-03	0.000000e+00	7.722850e-04
-4.600000e+00	-4.400000e+00	8.056440e-03	3.214050e-04	2.870500e-04
-4.400000e+00	-4.200000e+00	1.047935e-02	0.000000e+00	7.386400e-04
-4.200000e+00	-4.000000e+00	1.397774e-02	1.460850e-04	5.115350e-04
-4.000000e+00	-3.800000e+00	1.768703e-02	0.000000e+00	1.221120e-03
-3.800000e+00	-3.600000e+00	2.271092e-02	0.000000e+00	1.023150e-03
-3.600000e+00	-3.400000e+00	2.995644e-02	5.000000e-04	4.464000e-05
-3.400000e+00	-3.200000e+00	3.346294e-02	0.000000e+00	4.796825e-03
-3.200000e+00	-3.000000e+00	4.555777e-02	8.090250e-04	6.413250e-04
-3.000000e+00	-2.800000e+00	5.412160e-02	3.563050e-03	0.000000e+00
-2.800000e+00	-2.600000e+00	6.105030e-02	0.000000e+00	1.630000e-04
-2.600000e+00	-2.400000e+00	6.962290e-02	0.000000e+00	1.674850e-03
-2.400000e+00	-2.200000e+00	7.699550e-02	1.929000e-04	1.548550e-03
-2.200000e+00	-2.000000e+00	8.597055e-02	4.357000e-03	5.012350e-03
-2.000000e+00	-1.800000e+00	8.660070e-02	0.000000e+00	5.492150e-03
-1.800000e+00	-1.600000e+00	8.940455e-02	6.796200e-03	3.773550e-03
-1.600000e+00	-1.400000e+00	8.893010e-02	4.870500e-04	5.426000e-04
-1.400000e+00	-1.200000e+00	8.638355e-02	4.852200e-03	0.000000e+00
-1.200000e+00	-1.000000e+00	7.336855e-02	4.133000e-04	0.000000e+00
-1.000000e+00	-8.000000e-01	6.651390e-02	1.595000e-05	5.747500e-04
-8.000000e-01	-6.000000e-01	5.661275e-02	2.904000e-04	9.720000e-04
-6.000000e-01	-4.000000e-01	4.734846e-02	0.000000e+00	2.163425e-03
-4.000000e-01	-2.000000e-01	4.498909e-02	4.880450e-04	4.425400e-04
-2.000000e-01	0.000000e+00	4.245487e-02	9.629000e-04	0.000000e+00
0.000000e+00	2.000000e-01	4.307723e-02	1.669245e-03	7.903450e-04
2.000000e-01	4.000000e-01	5.218310e-02	8.038050e-03	0.000000e+00
4.000000e-01	6.000000e-01	4.881491e-02	1.405165e-03	1.293000e-04
