# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3
Title=$\log_{10}$(Integrated $3$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{3}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/log10_R_3
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_3
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	1.035664e-02	9.903430e-03	0.000000e+00
2.722583e-01	3.445165e-01	1.567963e-02	1.477439e-02	0.000000e+00
3.445166e-01	4.167748e-01	2.432790e-02	2.230412e-02	0.000000e+00
4.167748e-01	4.890330e-01	3.721059e-02	3.293642e-02	0.000000e+00
4.890331e-01	5.612913e-01	5.444019e-02	4.563858e-02	0.000000e+00
5.612914e-01	6.335496e-01	7.670219e-02	5.964248e-02	0.000000e+00
6.335496e-01	7.058078e-01	1.037054e-01	7.257540e-02	0.000000e+00
7.058079e-01	7.780661e-01	1.340952e-01	8.245330e-02	0.000000e+00
7.780662e-01	8.503244e-01	1.659038e-01	8.698830e-02	0.000000e+00
8.503244e-01	9.225826e-01	1.979702e-01	8.587100e-02	0.000000e+00
9.225827e-01	9.948409e-01	2.299366e-01	7.955060e-02	0.000000e+00
9.948409e-01	1.067099e+00	2.595192e-01	6.856100e-02	0.000000e+00
1.067099e+00	1.139357e+00	2.849548e-01	5.509090e-02	0.000000e+00
1.139358e+00	1.211616e+00	3.074538e-01	4.440810e-02	0.000000e+00
1.211616e+00	1.283874e+00	3.247185e-01	3.303420e-02	0.000000e+00
1.283874e+00	1.356132e+00	3.335766e-01	2.571480e-02	0.000000e+00
1.356132e+00	1.428390e+00	3.339147e-01	2.018810e-02	0.000000e+00
1.428391e+00	1.500649e+00	3.223475e-01	1.539250e-02	0.000000e+00
1.500649e+00	1.572907e+00	2.995307e-01	1.112050e-02	0.000000e+00
1.572907e+00	1.645165e+00	2.683548e-01	9.003700e-03	0.000000e+00
1.645165e+00	1.717423e+00	2.304238e-01	7.972700e-03	0.000000e+00
1.717424e+00	1.789682e+00	1.877449e-01	6.291100e-03	4.407000e-04
1.789682e+00	1.861940e+00	1.477271e-01	5.253500e-03	0.000000e+00
1.861940e+00	1.934198e+00	1.092176e-01	3.607900e-03	0.000000e+00
1.934199e+00	2.006457e+00	7.419484e-02	1.179040e-03	1.220700e-04
2.006457e+00	2.078715e+00	4.851836e-02	1.697200e-04	1.147210e-03
2.078715e+00	2.150973e+00	3.144226e-02	2.058030e-03	2.412900e-04
2.150973e+00	2.223231e+00	1.887602e-02	7.098700e-04	7.016500e-04
2.223232e+00	2.295490e+00	1.061268e-02	6.859960e-04	6.779400e-04
2.295490e+00	2.367748e+00	6.098462e-03	1.745500e-04	5.786400e-05
2.367748e+00	2.440006e+00	3.145879e-03	1.090600e-05	1.940320e-04
2.440006e+00	2.512264e+00	1.413780e-03	7.860441e-04	1.482110e-04
2.512265e+00	2.584523e+00	5.804739e-04	4.249240e-04	2.031996e-04
2.584523e+00	2.656781e+00	3.011240e-04	3.933100e-06	9.461710e-05
2.656781e+00	2.729039e+00	1.174186e-04	6.029900e-06	1.491430e-05
