# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets
RatioPlot=1
LogY=1
RatioPlotYMax=1.3
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_jets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	1.112226e-05	0.000000e+00	3.097722e-06
8.000000e+01	1.200000e+02	1.348943e-04	0.000000e+00	1.516360e-05
1.200000e+02	1.600000e+02	3.757290e-04	0.000000e+00	1.701950e-05
1.600000e+02	2.000000e+02	5.139635e-04	0.000000e+00	1.078325e-05
2.000000e+02	2.400000e+02	5.328625e-04	1.860750e-06	2.589500e-06
2.400000e+02	2.800000e+02	4.795905e-04	1.039750e-06	1.927250e-06
2.800000e+02	3.200000e+02	4.013178e-04	0.000000e+00	3.295000e-06
3.200000e+02	3.600000e+02	3.224110e-04	7.148250e-06	9.065000e-07
3.600000e+02	4.000000e+02	2.504935e-04	1.486075e-06	2.397000e-06
4.000000e+02	4.400000e+02	1.946769e-04	7.845975e-06	3.197975e-06
4.400000e+02	4.800000e+02	1.484359e-04	0.000000e+00	1.842050e-06
4.800000e+02	5.200000e+02	1.095798e-04	0.000000e+00	2.272775e-06
5.200000e+02	5.600000e+02	8.094625e-05	2.063800e-06	5.616800e-06
5.600000e+02	6.000000e+02	6.214943e-05	7.425500e-07	5.138625e-06
6.000000e+02	6.400000e+02	4.871170e-05	4.657750e-07	0.000000e+00
6.400000e+02	6.800000e+02	3.624985e-05	4.642500e-07	5.469250e-07
6.800000e+02	7.200000e+02	2.709118e-05	7.587750e-07	2.188875e-06
7.200000e+02	7.600000e+02	2.007060e-05	1.292973e-06	6.569525e-07
7.600000e+02	8.000000e+02	1.439695e-05	1.714200e-07	8.226250e-07
8.000000e+02	8.400000e+02	1.138424e-05	1.610492e-06	6.997250e-08
8.400000e+02	8.800000e+02	8.857025e-06	2.258900e-07	0.000000e+00
8.800000e+02	9.200000e+02	6.169593e-06	0.000000e+00	6.442250e-07
9.200000e+02	9.600000e+02	4.932780e-06	1.066475e-06	2.144865e-06
9.600000e+02	1.000000e+03	3.834460e-06	7.506575e-07	2.635742e-06
1.000000e+03	1.040000e+03	2.147530e-06	0.000000e+00	7.569503e-07
1.040000e+03	1.080000e+03	2.281100e-06	7.721465e-07	5.896025e-07
1.080000e+03	1.120000e+03	1.554938e-06	1.259314e-06	0.000000e+00
1.120000e+03	1.160000e+03	1.165175e-06	3.446300e-08	1.617332e-07
1.160000e+03	1.200000e+03	8.810252e-07	8.408000e-08	2.781837e-07
