# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
RatioPlot=1
LogY=1
RatioPlotYMax=1.3
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_jets_central
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	3.749562e-03	0.000000e+00	4.817250e-05
4.000000e+01	8.000000e+01	3.201480e-05	0.000000e+00	2.918375e-06
8.000000e+01	1.200000e+02	1.181225e-05	1.435550e-07	1.533207e-06
1.200000e+02	1.600000e+02	6.128835e-06	0.000000e+00	1.045005e-06
1.600000e+02	2.000000e+02	3.325015e-06	0.000000e+00	6.326975e-07
2.000000e+02	2.400000e+02	2.572145e-06	1.223970e-07	0.000000e+00
2.400000e+02	2.800000e+02	1.714920e-06	1.578000e-09	9.954775e-08
2.800000e+02	3.200000e+02	1.171982e-06	5.334925e-08	0.000000e+00
3.200000e+02	3.600000e+02	8.022232e-07	1.963750e-07	8.386000e-08
3.600000e+02	4.000000e+02	6.402870e-07	1.205295e-07	0.000000e+00
4.000000e+02	4.400000e+02	6.884245e-07	1.445977e-07	0.000000e+00
4.400000e+02	4.800000e+02	3.249592e-07	0.000000e+00	7.251400e-08
4.800000e+02	5.200000e+02	3.670663e-07	0.000000e+00	3.315895e-07
5.200000e+02	5.600000e+02	1.615153e-07	8.627583e-08	1.849522e-07
5.600000e+02	6.000000e+02	2.151430e-07	1.593127e-07	0.000000e+00
6.000000e+02	6.400000e+02	2.138388e-07	2.566590e-08	4.201745e-08
6.400000e+02	6.800000e+02	3.658072e-08	0.000000e+00	1.298729e-07
6.800000e+02	7.200000e+02	9.348903e-08	5.470025e-08	5.205805e-07
7.200000e+02	7.600000e+02	9.148025e-09	0.000000e+00	4.045178e-08
7.600000e+02	8.000000e+02	-2.019001e-07	0.000000e+00	3.236644e-07
8.000000e+02	8.400000e+02	7.171918e-08	2.967393e-08	0.000000e+00
8.400000e+02	8.800000e+02	4.338573e-08	0.000000e+00	3.539470e-08
8.800000e+02	9.200000e+02	8.374622e-08	1.739090e-08	0.000000e+00
9.200000e+02	9.600000e+02	7.090480e-08	5.372451e-08	5.520675e-09
9.600000e+02	1.000000e+03	9.001085e-09	3.905210e-09	0.000000e+00
1.000000e+03	1.040000e+03	-1.068380e-08	0.000000e+00	3.122387e-08
1.040000e+03	1.080000e+03	3.017463e-08	2.055300e-09	1.286838e-08
1.080000e+03	1.120000e+03	7.028332e-08	1.034805e-07	0.000000e+00
1.120000e+03	1.160000e+03	-5.813543e-08	0.000000e+00	8.274235e-08
1.160000e+03	1.200000e+03	1.060974e-08	3.412449e-08	1.060375e-10
