# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
XLabel=$p_{T,j_1j_2}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_jj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.984432e-05	1.016560e-06	1.217000e-08
1.000000e+01	2.000000e+01	8.883611e-05	3.303970e-06	0.000000e+00
2.000000e+01	3.000000e+01	1.441764e-04	4.690400e-06	0.000000e+00
3.000000e+01	4.000000e+01	1.942586e-04	6.954100e-06	0.000000e+00
4.000000e+01	5.000000e+01	2.371952e-04	6.719400e-06	0.000000e+00
5.000000e+01	6.000000e+01	2.735371e-04	9.592700e-06	0.000000e+00
6.000000e+01	7.000000e+01	3.113706e-04	1.010680e-05	0.000000e+00
7.000000e+01	8.000000e+01	3.408035e-04	1.227110e-05	0.000000e+00
8.000000e+01	9.000000e+01	3.680256e-04	1.592300e-05	0.000000e+00
9.000000e+01	1.000000e+02	3.853786e-04	2.583370e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.099497e-04	1.730400e-05	0.000000e+00
1.100000e+02	1.200000e+02	4.207327e-04	1.538660e-05	0.000000e+00
1.200000e+02	1.300000e+02	4.287345e-04	1.877740e-05	0.000000e+00
1.300000e+02	1.400000e+02	4.338761e-04	1.650490e-05	0.000000e+00
1.400000e+02	1.500000e+02	4.215630e-04	1.563080e-05	0.000000e+00
1.500000e+02	1.600000e+02	4.087544e-04	1.240110e-05	0.000000e+00
1.600000e+02	1.700000e+02	3.936572e-04	1.261590e-05	0.000000e+00
1.700000e+02	1.800000e+02	3.734472e-04	4.251600e-06	5.804800e-06
1.800000e+02	1.900000e+02	3.535054e-04	1.247110e-05	0.000000e+00
1.900000e+02	2.000000e+02	3.331962e-04	4.305900e-06	0.000000e+00
2.000000e+02	2.100000e+02	3.076297e-04	6.665400e-06	2.292900e-06
2.100000e+02	2.200000e+02	2.954393e-04	1.096910e-05	0.000000e+00
2.200000e+02	2.300000e+02	2.712121e-04	6.054600e-06	0.000000e+00
2.300000e+02	2.400000e+02	2.473560e-04	1.149400e-06	0.000000e+00
2.400000e+02	2.500000e+02	2.267510e-04	0.000000e+00	3.582700e-06
2.500000e+02	2.600000e+02	2.130714e-04	5.630400e-06	0.000000e+00
2.600000e+02	2.700000e+02	1.954590e-04	2.910900e-06	1.837000e-06
2.700000e+02	2.800000e+02	1.798944e-04	2.088100e-06	1.339900e-06
2.800000e+02	2.900000e+02	1.647044e-04	1.059900e-06	0.000000e+00
2.900000e+02	3.000000e+02	1.504570e-04	8.864000e-07	1.138700e-06
3.000000e+02	3.100000e+02	1.407910e-04	2.870100e-06	0.000000e+00
3.100000e+02	3.200000e+02	1.268659e-04	2.221200e-06	0.000000e+00
3.200000e+02	3.300000e+02	1.171536e-04	8.251300e-06	5.912000e-06
3.300000e+02	3.400000e+02	1.058276e-04	5.705800e-06	1.735500e-06
3.400000e+02	3.500000e+02	9.788224e-05	8.012000e-07	1.326880e-06
3.500000e+02	3.600000e+02	9.003816e-05	4.913330e-06	2.537620e-06
3.600000e+02	3.700000e+02	8.355160e-05	4.515510e-06	7.509700e-07
3.700000e+02	3.800000e+02	7.643465e-05	1.036540e-06	0.000000e+00
3.800000e+02	3.900000e+02	7.019944e-05	1.126810e-06	0.000000e+00
3.900000e+02	4.000000e+02	6.512443e-05	2.843880e-06	0.000000e+00
4.000000e+02	4.100000e+02	5.813468e-05	1.492550e-06	6.672530e-06
4.100000e+02	4.200000e+02	5.370719e-05	2.628000e-08	1.335300e-07
4.200000e+02	4.300000e+02	4.884177e-05	1.487480e-06	6.167500e-07
4.300000e+02	4.400000e+02	4.116948e-05	0.000000e+00	4.794840e-06
4.400000e+02	4.500000e+02	4.215043e-05	1.408640e-06	0.000000e+00
4.500000e+02	4.600000e+02	3.563620e-05	0.000000e+00	3.186690e-06
4.600000e+02	4.700000e+02	3.528181e-05	0.000000e+00	2.021130e-05
4.700000e+02	4.800000e+02	3.235845e-05	1.712020e-06	1.507090e-06
4.800000e+02	4.900000e+02	2.947442e-05	1.454410e-06	2.078020e-06
4.900000e+02	5.000000e+02	2.780478e-05	4.290700e-07	5.278000e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.172253e-05	1.594050e-06	0.000000e+00
1.000000e+01	2.000000e+01	9.377892e-05	3.716110e-06	0.000000e+00
2.000000e+01	3.000000e+01	1.527713e-04	7.749700e-06	0.000000e+00
3.000000e+01	4.000000e+01	2.062724e-04	1.137240e-05	0.000000e+00
4.000000e+01	5.000000e+01	2.529199e-04	1.457790e-05	0.000000e+00
5.000000e+01	6.000000e+01	2.927469e-04	1.655080e-05	0.000000e+00
6.000000e+01	7.000000e+01	3.313621e-04	2.014650e-05	0.000000e+00
7.000000e+01	8.000000e+01	3.623226e-04	2.210590e-05	0.000000e+00
8.000000e+01	9.000000e+01	3.906372e-04	2.340010e-05	0.000000e+00
9.000000e+01	1.000000e+02	4.151331e-04	2.423660e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.365627e-04	2.595300e-05	0.000000e+00
1.100000e+02	1.200000e+02	4.504288e-04	2.613700e-05	0.000000e+00
1.200000e+02	1.300000e+02	4.588986e-04	2.586820e-05	0.000000e+00
1.300000e+02	1.400000e+02	4.603123e-04	2.571650e-05	0.000000e+00
1.400000e+02	1.500000e+02	4.561663e-04	2.559130e-05	0.000000e+00
1.500000e+02	1.600000e+02	4.438936e-04	2.497280e-05	0.000000e+00
1.600000e+02	1.700000e+02	4.281091e-04	2.321450e-05	0.000000e+00
1.700000e+02	1.800000e+02	4.079635e-04	1.886420e-05	0.000000e+00
1.800000e+02	1.900000e+02	3.878931e-04	2.016490e-05	0.000000e+00
1.900000e+02	2.000000e+02	3.658419e-04	1.787710e-05	0.000000e+00
2.000000e+02	2.100000e+02	3.431908e-04	1.732290e-05	0.000000e+00
2.100000e+02	2.200000e+02	3.203837e-04	1.578570e-05	0.000000e+00
2.200000e+02	2.300000e+02	3.001997e-04	1.751440e-05	0.000000e+00
2.300000e+02	2.400000e+02	2.782648e-04	1.423640e-05	0.000000e+00
2.400000e+02	2.500000e+02	2.584121e-04	1.387660e-05	0.000000e+00
2.500000e+02	2.600000e+02	2.388906e-04	1.168680e-05	0.000000e+00
2.600000e+02	2.700000e+02	2.206461e-04	1.109790e-05	0.000000e+00
2.700000e+02	2.800000e+02	2.042199e-04	1.186100e-05	0.000000e+00
2.800000e+02	2.900000e+02	1.881041e-04	1.019480e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.730925e-04	9.188900e-06	0.000000e+00
3.000000e+02	3.100000e+02	1.593203e-04	8.373200e-06	0.000000e+00
3.100000e+02	3.200000e+02	1.466464e-04	7.526800e-06	0.000000e+00
3.200000e+02	3.300000e+02	1.351690e-04	7.316800e-06	0.000000e+00
3.300000e+02	3.400000e+02	1.244685e-04	6.797900e-06	0.000000e+00
3.400000e+02	3.500000e+02	1.142228e-04	6.131600e-06	0.000000e+00
3.500000e+02	3.600000e+02	1.045308e-04	5.101790e-06	0.000000e+00
3.600000e+02	3.700000e+02	9.648357e-05	5.122220e-06	0.000000e+00
3.700000e+02	3.800000e+02	8.951581e-05	5.607450e-06	0.000000e+00
3.800000e+02	3.900000e+02	8.192756e-05	4.255710e-06	0.000000e+00
3.900000e+02	4.000000e+02	7.515422e-05	3.972760e-06	0.000000e+00
4.000000e+02	4.100000e+02	6.865586e-05	3.497120e-06	0.000000e+00
4.100000e+02	4.200000e+02	6.377838e-05	3.899630e-06	0.000000e+00
4.200000e+02	4.300000e+02	5.881791e-05	3.321410e-06	0.000000e+00
4.300000e+02	4.400000e+02	5.387699e-05	3.074570e-06	0.000000e+00
4.400000e+02	4.500000e+02	4.988747e-05	3.037960e-06	0.000000e+00
4.500000e+02	4.600000e+02	4.595262e-05	2.351440e-06	0.000000e+00
4.600000e+02	4.700000e+02	4.240756e-05	2.647020e-06	0.000000e+00
4.700000e+02	4.800000e+02	3.907868e-05	2.304950e-06	0.000000e+00
4.800000e+02	4.900000e+02	3.611145e-05	2.137980e-06	0.000000e+00
4.900000e+02	5.000000e+02	3.315185e-05	1.445300e-06	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jj_pT_excl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.287413e-05	4.064590e-06	0.000000e+00
1.000000e+01	2.000000e+01	9.581683e-05	1.028462e-05	0.000000e+00
2.000000e+01	3.000000e+01	1.535035e-04	1.801850e-05	0.000000e+00
3.000000e+01	4.000000e+01	2.087455e-04	2.373530e-05	0.000000e+00
4.000000e+01	5.000000e+01	2.555924e-04	3.076050e-05	0.000000e+00
5.000000e+01	6.000000e+01	2.952161e-04	3.208330e-05	0.000000e+00
6.000000e+01	7.000000e+01	3.331500e-04	3.861690e-05	0.000000e+00
7.000000e+01	8.000000e+01	3.663139e-04	4.742030e-05	0.000000e+00
8.000000e+01	9.000000e+01	3.935392e-04	4.442020e-05	0.000000e+00
9.000000e+01	1.000000e+02	4.238826e-04	4.982400e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.393498e-04	4.848330e-05	0.000000e+00
1.100000e+02	1.200000e+02	4.543817e-04	5.393700e-05	0.000000e+00
1.200000e+02	1.300000e+02	4.682049e-04	5.933370e-05	0.000000e+00
1.300000e+02	1.400000e+02	4.658477e-04	5.657010e-05	0.000000e+00
1.400000e+02	1.500000e+02	4.589240e-04	5.454470e-05	0.000000e+00
1.500000e+02	1.600000e+02	4.494805e-04	6.032300e-05	0.000000e+00
1.600000e+02	1.700000e+02	4.331386e-04	5.668970e-05	0.000000e+00
1.700000e+02	1.800000e+02	4.141417e-04	5.880270e-05	0.000000e+00
1.800000e+02	1.900000e+02	3.961490e-04	5.858630e-05	0.000000e+00
1.900000e+02	2.000000e+02	3.679583e-04	5.023840e-05	0.000000e+00
2.000000e+02	2.100000e+02	3.494266e-04	5.178000e-05	0.000000e+00
2.100000e+02	2.200000e+02	3.271582e-04	5.074390e-05	0.000000e+00
2.200000e+02	2.300000e+02	3.030707e-04	4.588570e-05	0.000000e+00
2.300000e+02	2.400000e+02	2.797592e-04	4.306480e-05	0.000000e+00
2.400000e+02	2.500000e+02	2.647110e-04	4.625710e-05	0.000000e+00
2.500000e+02	2.600000e+02	2.436477e-04	3.326330e-05	0.000000e+00
2.600000e+02	2.700000e+02	2.263281e-04	3.315340e-05	0.000000e+00
2.700000e+02	2.800000e+02	2.106610e-04	3.090810e-05	0.000000e+00
2.800000e+02	2.900000e+02	1.921815e-04	2.843530e-05	0.000000e+00
2.900000e+02	3.000000e+02	1.783288e-04	3.028100e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.639417e-04	2.916430e-05	0.000000e+00
3.100000e+02	3.200000e+02	1.494416e-04	2.557010e-05	0.000000e+00
3.200000e+02	3.300000e+02	1.392455e-04	2.288160e-05	0.000000e+00
3.300000e+02	3.400000e+02	1.279931e-04	2.085690e-05	0.000000e+00
3.400000e+02	3.500000e+02	1.196711e-04	2.129743e-05	0.000000e+00
3.500000e+02	3.600000e+02	1.084296e-04	1.738483e-05	0.000000e+00
3.600000e+02	3.700000e+02	1.003616e-04	1.624566e-05	0.000000e+00
3.700000e+02	3.800000e+02	8.855521e-05	1.300424e-05	0.000000e+00
3.800000e+02	3.900000e+02	8.408231e-05	9.668500e-06	0.000000e+00
3.900000e+02	4.000000e+02	7.807413e-05	1.176300e-05	0.000000e+00
4.000000e+02	4.100000e+02	7.454122e-05	1.453888e-05	0.000000e+00
4.100000e+02	4.200000e+02	6.816630e-05	1.364881e-05	0.000000e+00
4.200000e+02	4.300000e+02	6.298721e-05	1.131916e-05	0.000000e+00
4.300000e+02	4.400000e+02	5.663630e-05	1.230919e-05	0.000000e+00
4.400000e+02	4.500000e+02	5.304250e-05	1.148495e-05	0.000000e+00
4.500000e+02	4.600000e+02	5.039328e-05	1.021809e-05	0.000000e+00
4.600000e+02	4.700000e+02	4.468971e-05	6.219180e-06	0.000000e+00
4.700000e+02	4.800000e+02	4.222884e-05	7.437360e-06	0.000000e+00
4.800000e+02	4.900000e+02	3.675999e-05	5.342820e-06	9.602000e-08
4.900000e+02	5.000000e+02	3.624525e-05	8.349490e-06	0.000000e+00
# END HISTO1D

