# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
XLabel=$p_{T,j_1j_2j_3}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_jjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.428931e-05	5.160700e-07	3.344080e-06
1.000000e+01	2.000000e+01	4.467441e-05	0.000000e+00	5.895970e-06
2.000000e+01	3.000000e+01	7.161762e-05	0.000000e+00	1.778394e-05
3.000000e+01	4.000000e+01	1.003813e-04	0.000000e+00	1.356400e-05
4.000000e+01	5.000000e+01	1.209119e-04	0.000000e+00	2.150350e-05
5.000000e+01	6.000000e+01	1.444028e-04	0.000000e+00	2.421490e-05
6.000000e+01	7.000000e+01	1.597658e-04	0.000000e+00	2.794290e-05
7.000000e+01	8.000000e+01	1.806044e-04	0.000000e+00	2.142340e-05
8.000000e+01	9.000000e+01	1.884753e-04	0.000000e+00	2.744980e-05
9.000000e+01	1.000000e+02	1.983076e-04	0.000000e+00	2.181980e-05
1.000000e+02	1.100000e+02	2.134585e-04	0.000000e+00	1.945400e-05
1.100000e+02	1.200000e+02	2.134469e-04	0.000000e+00	4.178310e-05
1.200000e+02	1.300000e+02	2.196581e-04	0.000000e+00	1.967550e-05
1.300000e+02	1.400000e+02	2.201663e-04	0.000000e+00	1.978160e-05
1.400000e+02	1.500000e+02	2.154661e-04	0.000000e+00	3.360340e-05
1.500000e+02	1.600000e+02	2.149383e-04	0.000000e+00	3.042590e-05
1.600000e+02	1.700000e+02	2.066597e-04	0.000000e+00	3.257240e-05
1.700000e+02	1.800000e+02	2.039041e-04	0.000000e+00	3.936380e-05
1.800000e+02	1.900000e+02	2.019266e-04	0.000000e+00	1.057380e-05
1.900000e+02	2.000000e+02	1.883650e-04	0.000000e+00	2.116890e-05
2.000000e+02	2.100000e+02	1.824441e-04	0.000000e+00	1.769440e-05
2.100000e+02	2.200000e+02	1.684560e-04	0.000000e+00	2.387190e-05
2.200000e+02	2.300000e+02	1.760228e-04	2.897700e-06	0.000000e+00
2.300000e+02	2.400000e+02	1.534643e-04	0.000000e+00	1.897770e-05
2.400000e+02	2.500000e+02	1.436353e-04	0.000000e+00	1.211070e-05
2.500000e+02	2.600000e+02	1.297557e-04	0.000000e+00	1.341130e-05
2.600000e+02	2.700000e+02	1.215603e-04	0.000000e+00	1.129340e-05
2.700000e+02	2.800000e+02	1.167926e-04	0.000000e+00	1.193450e-05
2.800000e+02	2.900000e+02	1.065140e-04	0.000000e+00	1.912770e-05
2.900000e+02	3.000000e+02	9.844171e-05	0.000000e+00	1.075039e-05
3.000000e+02	3.100000e+02	1.001673e-04	2.769150e-06	1.941900e-06
3.100000e+02	3.200000e+02	9.120009e-05	1.652120e-06	5.029870e-06
3.200000e+02	3.300000e+02	8.450041e-05	3.901661e-05	2.256880e-06
3.300000e+02	3.400000e+02	7.494966e-05	0.000000e+00	1.283164e-05
3.400000e+02	3.500000e+02	7.448645e-05	5.937400e-07	2.176815e-05
3.500000e+02	3.600000e+02	6.425765e-05	0.000000e+00	7.389240e-06
3.600000e+02	3.700000e+02	5.902621e-05	0.000000e+00	4.395850e-06
3.700000e+02	3.800000e+02	5.564486e-05	4.813500e-07	4.344240e-06
3.800000e+02	3.900000e+02	5.225805e-05	5.059100e-06	8.435670e-06
3.900000e+02	4.000000e+02	4.814489e-05	0.000000e+00	6.600150e-06
4.000000e+02	4.100000e+02	4.311174e-05	0.000000e+00	8.867590e-06
4.100000e+02	4.200000e+02	4.146159e-05	1.420220e-06	3.761510e-06
4.200000e+02	4.300000e+02	3.813339e-05	0.000000e+00	3.329600e-06
4.300000e+02	4.400000e+02	2.539054e-05	0.000000e+00	1.076987e-05
4.400000e+02	4.500000e+02	3.215641e-05	3.100040e-06	5.547690e-06
4.500000e+02	4.600000e+02	3.033026e-05	1.797070e-06	1.005390e-05
4.600000e+02	4.700000e+02	2.748519e-05	1.784620e-06	0.000000e+00
4.700000e+02	4.800000e+02	2.706852e-05	3.418060e-06	2.623680e-06
4.800000e+02	4.900000e+02	2.559181e-05	0.000000e+00	4.892980e-06
4.900000e+02	5.000000e+02	2.066058e-05	0.000000e+00	4.872290e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.064775e-05	0.000000e+00	3.123530e-06
1.000000e+01	2.000000e+01	3.160264e-05	0.000000e+00	9.606780e-06
2.000000e+01	3.000000e+01	5.214004e-05	0.000000e+00	1.454499e-05
3.000000e+01	4.000000e+01	7.098343e-05	0.000000e+00	2.024651e-05
4.000000e+01	5.000000e+01	8.836067e-05	0.000000e+00	2.444943e-05
5.000000e+01	6.000000e+01	1.026500e-04	0.000000e+00	2.883000e-05
6.000000e+01	7.000000e+01	1.153793e-04	0.000000e+00	3.199540e-05
7.000000e+01	8.000000e+01	1.267215e-04	0.000000e+00	3.447840e-05
8.000000e+01	9.000000e+01	1.346776e-04	0.000000e+00	3.739840e-05
9.000000e+01	1.000000e+02	1.408894e-04	0.000000e+00	3.898610e-05
1.000000e+02	1.100000e+02	1.468253e-04	0.000000e+00	4.010530e-05
1.100000e+02	1.200000e+02	1.516622e-04	0.000000e+00	4.073810e-05
1.200000e+02	1.300000e+02	1.559318e-04	0.000000e+00	4.096390e-05
1.300000e+02	1.400000e+02	1.579360e-04	0.000000e+00	4.122420e-05
1.400000e+02	1.500000e+02	1.571032e-04	0.000000e+00	4.155360e-05
1.500000e+02	1.600000e+02	1.579324e-04	0.000000e+00	4.007550e-05
1.600000e+02	1.700000e+02	1.545249e-04	0.000000e+00	3.776190e-05
1.700000e+02	1.800000e+02	1.501064e-04	0.000000e+00	3.622070e-05
1.800000e+02	1.900000e+02	1.451753e-04	0.000000e+00	3.423080e-05
1.900000e+02	2.000000e+02	1.384813e-04	0.000000e+00	3.257950e-05
2.000000e+02	2.100000e+02	1.321436e-04	0.000000e+00	2.969940e-05
2.100000e+02	2.200000e+02	1.259649e-04	0.000000e+00	2.796140e-05
2.200000e+02	2.300000e+02	1.190828e-04	0.000000e+00	2.668880e-05
2.300000e+02	2.400000e+02	1.125259e-04	0.000000e+00	2.488390e-05
2.400000e+02	2.500000e+02	1.052595e-04	0.000000e+00	2.333220e-05
2.500000e+02	2.600000e+02	9.952480e-05	0.000000e+00	2.113880e-05
2.600000e+02	2.700000e+02	9.358432e-05	0.000000e+00	1.742828e-05
2.700000e+02	2.800000e+02	8.719402e-05	0.000000e+00	1.748348e-05
2.800000e+02	2.900000e+02	8.100471e-05	0.000000e+00	1.690712e-05
2.900000e+02	3.000000e+02	7.620774e-05	0.000000e+00	1.464982e-05
3.000000e+02	3.100000e+02	7.032083e-05	0.000000e+00	1.383762e-05
3.100000e+02	3.200000e+02	6.552103e-05	0.000000e+00	1.300872e-05
3.200000e+02	3.300000e+02	6.087251e-05	0.000000e+00	1.191359e-05
3.300000e+02	3.400000e+02	5.604030e-05	0.000000e+00	1.170816e-05
3.400000e+02	3.500000e+02	5.238849e-05	0.000000e+00	1.002047e-05
3.500000e+02	3.600000e+02	4.829868e-05	0.000000e+00	9.825720e-06
3.600000e+02	3.700000e+02	4.517094e-05	0.000000e+00	8.264730e-06
3.700000e+02	3.800000e+02	4.122749e-05	0.000000e+00	7.893630e-06
3.800000e+02	3.900000e+02	3.837557e-05	0.000000e+00	7.299610e-06
3.900000e+02	4.000000e+02	3.513451e-05	0.000000e+00	7.385360e-06
4.000000e+02	4.100000e+02	3.300172e-05	0.000000e+00	6.620940e-06
4.100000e+02	4.200000e+02	3.066378e-05	0.000000e+00	5.934240e-06
4.200000e+02	4.300000e+02	2.839777e-05	0.000000e+00	5.750780e-06
4.300000e+02	4.400000e+02	2.623263e-05	0.000000e+00	5.065920e-06
4.400000e+02	4.500000e+02	2.423757e-05	0.000000e+00	4.627690e-06
4.500000e+02	4.600000e+02	2.209202e-05	0.000000e+00	4.774280e-06
4.600000e+02	4.700000e+02	2.043889e-05	0.000000e+00	4.247220e-06
4.700000e+02	4.800000e+02	1.918496e-05	0.000000e+00	3.480860e-06
4.800000e+02	4.900000e+02	1.740614e-05	0.000000e+00	3.986690e-06
4.900000e+02	5.000000e+02	1.680403e-05	0.000000e+00	2.568750e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	8.133153e-06	0.000000e+00	4.441407e-06
1.000000e+01	2.000000e+01	2.516280e-05	0.000000e+00	1.205961e-05
2.000000e+01	3.000000e+01	4.194285e-05	0.000000e+00	1.989236e-05
3.000000e+01	4.000000e+01	5.541909e-05	0.000000e+00	2.712785e-05
4.000000e+01	5.000000e+01	6.958051e-05	0.000000e+00	3.483639e-05
5.000000e+01	6.000000e+01	8.094815e-05	0.000000e+00	3.919125e-05
6.000000e+01	7.000000e+01	9.224506e-05	0.000000e+00	4.483094e-05
7.000000e+01	8.000000e+01	1.011414e-04	0.000000e+00	4.855130e-05
8.000000e+01	9.000000e+01	1.084537e-04	0.000000e+00	4.726430e-05
9.000000e+01	1.000000e+02	1.144188e-04	0.000000e+00	5.097460e-05
1.000000e+02	1.100000e+02	1.186609e-04	0.000000e+00	5.701830e-05
1.100000e+02	1.200000e+02	1.222785e-04	0.000000e+00	5.686810e-05
1.200000e+02	1.300000e+02	1.224932e-04	0.000000e+00	6.568860e-05
1.300000e+02	1.400000e+02	1.263243e-04	0.000000e+00	6.130430e-05
1.400000e+02	1.500000e+02	1.279716e-04	0.000000e+00	6.174170e-05
1.500000e+02	1.600000e+02	1.273654e-04	0.000000e+00	6.360880e-05
1.600000e+02	1.700000e+02	1.253321e-04	0.000000e+00	6.073230e-05
1.700000e+02	1.800000e+02	1.226842e-04	0.000000e+00	6.482380e-05
1.800000e+02	1.900000e+02	1.165223e-04	0.000000e+00	6.225410e-05
1.900000e+02	2.000000e+02	1.173094e-04	0.000000e+00	5.367900e-05
2.000000e+02	2.100000e+02	1.098247e-04	0.000000e+00	5.631140e-05
2.100000e+02	2.200000e+02	1.037812e-04	0.000000e+00	5.754050e-05
2.200000e+02	2.300000e+02	9.954585e-05	0.000000e+00	4.859455e-05
2.300000e+02	2.400000e+02	9.344273e-05	0.000000e+00	4.612077e-05
2.400000e+02	2.500000e+02	8.601182e-05	0.000000e+00	4.909298e-05
2.500000e+02	2.600000e+02	8.100902e-05	0.000000e+00	3.889608e-05
2.600000e+02	2.700000e+02	7.639003e-05	0.000000e+00	3.947997e-05
2.700000e+02	2.800000e+02	7.150466e-05	0.000000e+00	3.781744e-05
2.800000e+02	2.900000e+02	6.758786e-05	0.000000e+00	3.226488e-05
2.900000e+02	3.000000e+02	6.220789e-05	0.000000e+00	3.325854e-05
3.000000e+02	3.100000e+02	5.758483e-05	0.000000e+00	3.124799e-05
3.100000e+02	3.200000e+02	5.431674e-05	0.000000e+00	2.834250e-05
3.200000e+02	3.300000e+02	5.098802e-05	0.000000e+00	2.554617e-05
3.300000e+02	3.400000e+02	4.679386e-05	0.000000e+00	2.232084e-05
3.400000e+02	3.500000e+02	4.293739e-05	0.000000e+00	2.532861e-05
3.500000e+02	3.600000e+02	3.973288e-05	0.000000e+00	2.052453e-05
3.600000e+02	3.700000e+02	3.633846e-05	0.000000e+00	2.111188e-05
3.700000e+02	3.800000e+02	3.530402e-05	0.000000e+00	1.755511e-05
3.800000e+02	3.900000e+02	3.088710e-05	0.000000e+00	1.755640e-05
3.900000e+02	4.000000e+02	2.995577e-05	0.000000e+00	1.346331e-05
4.000000e+02	4.100000e+02	2.422432e-05	0.000000e+00	1.724473e-05
4.100000e+02	4.200000e+02	2.489335e-05	0.000000e+00	1.263502e-05
4.200000e+02	4.300000e+02	2.166781e-05	0.000000e+00	1.384453e-05
4.300000e+02	4.400000e+02	2.100000e-05	0.000000e+00	1.377325e-05
4.400000e+02	4.500000e+02	1.937055e-05	0.000000e+00	1.212625e-05
4.500000e+02	4.600000e+02	1.664160e-05	0.000000e+00	1.110765e-05
4.600000e+02	4.700000e+02	1.590340e-05	0.000000e+00	9.926290e-06
4.700000e+02	4.800000e+02	1.469783e-05	0.000000e+00	8.624200e-06
4.800000e+02	4.900000e+02	1.411220e-05	0.000000e+00	7.839770e-06
4.900000e+02	5.000000e+02	1.266384e-05	0.000000e+00	7.175030e-06
# END HISTO1D

