# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.871220e-04	5.201500e-06	1.611600e-05
2.000000e-01	4.000000e-01	1.923211e-03	9.605750e-05	0.000000e+00
4.000000e-01	6.000000e-01	3.283420e-03	1.542865e-04	0.000000e+00
6.000000e-01	8.000000e-01	4.875074e-03	2.522600e-04	0.000000e+00
8.000000e-01	1.000000e+00	6.414170e-03	0.000000e+00	1.029850e-04
1.000000e+00	1.200000e+00	8.636885e-03	8.779050e-04	0.000000e+00
1.200000e+00	1.400000e+00	1.106572e-02	4.234650e-04	0.000000e+00
1.400000e+00	1.600000e+00	1.360200e-02	0.000000e+00	1.536650e-04
1.600000e+00	1.800000e+00	1.755803e-02	3.939250e-04	0.000000e+00
1.800000e+00	2.000000e+00	2.115631e-02	2.712150e-04	2.437450e-04
2.000000e+00	2.200000e+00	2.503389e-02	0.000000e+00	9.716350e-04
2.200000e+00	2.400000e+00	2.915037e-02	0.000000e+00	8.771450e-04
2.400000e+00	2.600000e+00	3.312840e-02	1.643950e-04	5.546150e-04
2.600000e+00	2.800000e+00	3.751122e-02	9.424050e-04	5.775600e-04
2.800000e+00	3.000000e+00	4.235874e-02	1.638700e-04	7.858600e-04
3.000000e+00	3.200000e+00	4.635587e-02	4.544800e-04	8.451400e-04
3.200000e+00	3.400000e+00	4.644987e-02	7.078200e-04	2.393000e-04
3.400000e+00	3.600000e+00	4.544299e-02	0.000000e+00	2.574910e-03
3.600000e+00	3.800000e+00	4.455496e-02	0.000000e+00	1.049825e-03
3.800000e+00	4.000000e+00	4.278714e-02	0.000000e+00	5.846750e-04
4.000000e+00	4.200000e+00	4.051138e-02	1.294600e-04	3.196050e-04
4.200000e+00	4.400000e+00	3.712502e-02	0.000000e+00	1.406605e-03
4.400000e+00	4.600000e+00	3.349839e-02	0.000000e+00	1.445270e-03
4.600000e+00	4.800000e+00	3.025118e-02	0.000000e+00	9.214800e-04
4.800000e+00	5.000000e+00	2.652382e-02	0.000000e+00	5.821700e-04
5.000000e+00	5.200000e+00	2.272650e-02	2.430700e-04	1.686450e-04
5.200000e+00	5.400000e+00	1.906099e-02	0.000000e+00	6.679450e-04
5.400000e+00	5.600000e+00	1.593025e-02	0.000000e+00	4.692900e-04
5.600000e+00	5.800000e+00	1.305036e-02	2.270600e-04	2.553350e-04
5.800000e+00	6.000000e+00	1.026587e-02	0.000000e+00	3.800400e-04
6.000000e+00	6.200000e+00	8.207835e-03	2.956250e-04	3.415100e-04
6.200000e+00	6.400000e+00	6.255755e-03	0.000000e+00	2.465050e-04
6.400000e+00	6.600000e+00	4.768318e-03	0.000000e+00	1.731765e-04
6.600000e+00	6.800000e+00	3.599651e-03	0.000000e+00	9.327000e-05
6.800000e+00	7.000000e+00	2.605455e-03	2.363550e-05	9.101800e-05
7.000000e+00	7.200000e+00	1.871485e-03	0.000000e+00	9.772350e-05
7.200000e+00	7.400000e+00	1.337741e-03	0.000000e+00	4.416550e-05
7.400000e+00	7.600000e+00	9.307545e-04	0.000000e+00	4.537350e-05
7.600000e+00	7.800000e+00	6.560855e-04	9.906500e-06	2.002100e-05
7.800000e+00	8.000000e+00	4.540951e-04	4.465000e-06	6.470950e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.024470e-04	7.317500e-06	7.262000e-06
2.000000e-01	4.000000e-01	1.853158e-03	2.932900e-05	1.083550e-05
4.000000e-01	6.000000e-01	3.205964e-03	7.946350e-05	0.000000e+00
6.000000e-01	8.000000e-01	4.665651e-03	4.884650e-05	3.406550e-05
8.000000e-01	1.000000e+00	6.403155e-03	1.034300e-04	0.000000e+00
1.000000e+00	1.200000e+00	8.447380e-03	1.737200e-04	0.000000e+00
1.200000e+00	1.400000e+00	1.082586e-02	1.292250e-04	8.353000e-05
1.400000e+00	1.600000e+00	1.377162e-02	2.525450e-04	2.434000e-05
1.600000e+00	1.800000e+00	1.724792e-02	3.234900e-04	2.718500e-05
1.800000e+00	2.000000e+00	2.101337e-02	2.036750e-04	1.069250e-04
2.000000e+00	2.200000e+00	2.492118e-02	1.596500e-04	1.018250e-04
2.200000e+00	2.400000e+00	2.885934e-02	4.352500e-05	1.651500e-04
2.400000e+00	2.600000e+00	3.292523e-02	2.115000e-05	2.236700e-04
2.600000e+00	2.800000e+00	3.718663e-02	0.000000e+00	4.305700e-04
2.800000e+00	3.000000e+00	4.173037e-02	0.000000e+00	4.280950e-04
3.000000e+00	3.200000e+00	4.605755e-02	0.000000e+00	5.505250e-04
3.200000e+00	3.400000e+00	4.579504e-02	0.000000e+00	5.762050e-04
3.400000e+00	3.600000e+00	4.536404e-02	0.000000e+00	5.544450e-04
3.600000e+00	3.800000e+00	4.427213e-02	0.000000e+00	7.906850e-04
3.800000e+00	4.000000e+00	4.260845e-02	0.000000e+00	5.899900e-04
4.000000e+00	4.200000e+00	4.011891e-02	0.000000e+00	6.581000e-04
4.200000e+00	4.400000e+00	3.719694e-02	0.000000e+00	5.922250e-04
4.400000e+00	4.600000e+00	3.383737e-02	0.000000e+00	5.417950e-04
4.600000e+00	4.800000e+00	3.018697e-02	0.000000e+00	4.636050e-04
4.800000e+00	5.000000e+00	2.638032e-02	0.000000e+00	5.080400e-04
5.000000e+00	5.200000e+00	2.269326e-02	0.000000e+00	3.343800e-04
5.200000e+00	5.400000e+00	1.909214e-02	0.000000e+00	3.188350e-04
5.400000e+00	5.600000e+00	1.574171e-02	0.000000e+00	3.112550e-04
5.600000e+00	5.800000e+00	1.281201e-02	0.000000e+00	2.098600e-04
5.800000e+00	6.000000e+00	1.021096e-02	0.000000e+00	1.833500e-04
6.000000e+00	6.200000e+00	8.015265e-03	0.000000e+00	1.035250e-04
6.200000e+00	6.400000e+00	6.149340e-03	0.000000e+00	1.046100e-04
6.400000e+00	6.600000e+00	4.643084e-03	0.000000e+00	9.458600e-05
6.600000e+00	6.800000e+00	3.459076e-03	0.000000e+00	6.648100e-05
6.800000e+00	7.000000e+00	2.531166e-03	0.000000e+00	6.310150e-05
7.000000e+00	7.200000e+00	1.839986e-03	0.000000e+00	2.470850e-05
7.200000e+00	7.400000e+00	1.298301e-03	0.000000e+00	3.371150e-05
7.400000e+00	7.600000e+00	9.136515e-04	0.000000e+00	2.093700e-05
7.600000e+00	7.800000e+00	6.272840e-04	0.000000e+00	1.977650e-05
7.800000e+00	8.000000e+00	4.348676e-04	0.000000e+00	1.000210e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j2_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	6.353210e-04	0.000000e+00	5.496600e-05
2.000000e-01	4.000000e-01	1.857847e-03	1.309950e-05	3.916000e-05
4.000000e-01	6.000000e-01	3.363161e-03	1.586135e-04	1.785100e-05
6.000000e-01	8.000000e-01	4.763365e-03	1.057000e-05	1.463365e-04
8.000000e-01	1.000000e+00	6.529940e-03	0.000000e+00	3.618550e-04
1.000000e+00	1.200000e+00	8.492410e-03	0.000000e+00	1.685400e-04
1.200000e+00	1.400000e+00	1.105495e-02	5.177000e-05	1.803400e-04
1.400000e+00	1.600000e+00	1.429848e-02	7.342000e-04	0.000000e+00
1.600000e+00	1.800000e+00	1.739570e-02	7.479500e-05	3.267850e-04
1.800000e+00	2.000000e+00	2.173836e-02	5.150450e-04	1.522750e-04
2.000000e+00	2.200000e+00	2.478224e-02	0.000000e+00	3.886250e-04
2.200000e+00	2.400000e+00	2.936272e-02	0.000000e+00	7.584100e-04
2.400000e+00	2.600000e+00	3.280745e-02	0.000000e+00	1.152000e-03
2.600000e+00	2.800000e+00	3.688920e-02	0.000000e+00	1.585535e-03
2.800000e+00	3.000000e+00	4.217757e-02	2.720000e-06	9.615250e-04
3.000000e+00	3.200000e+00	4.685168e-02	1.452600e-04	6.396600e-04
3.200000e+00	3.400000e+00	4.517985e-02	0.000000e+00	1.371430e-03
3.400000e+00	3.600000e+00	4.553646e-02	2.870500e-05	6.379850e-04
3.600000e+00	3.800000e+00	4.499565e-02	0.000000e+00	1.232835e-03
3.800000e+00	4.000000e+00	4.318024e-02	8.019000e-04	0.000000e+00
4.000000e+00	4.200000e+00	3.966887e-02	0.000000e+00	1.529340e-03
4.200000e+00	4.400000e+00	3.743134e-02	5.907750e-04	0.000000e+00
4.400000e+00	4.600000e+00	3.360782e-02	0.000000e+00	7.279300e-04
4.600000e+00	4.800000e+00	3.017371e-02	1.010550e-04	4.958700e-04
4.800000e+00	5.000000e+00	2.625295e-02	0.000000e+00	6.539650e-04
5.000000e+00	5.200000e+00	2.255304e-02	0.000000e+00	7.045600e-04
5.200000e+00	5.400000e+00	1.935834e-02	3.238400e-04	6.681750e-04
5.400000e+00	5.600000e+00	1.556339e-02	0.000000e+00	4.429850e-04
5.600000e+00	5.800000e+00	1.276961e-02	5.738000e-05	5.386150e-04
5.800000e+00	6.000000e+00	1.029561e-02	1.101050e-04	2.309500e-05
6.000000e+00	6.200000e+00	7.982595e-03	8.138000e-05	4.694200e-04
6.200000e+00	6.400000e+00	6.037960e-03	0.000000e+00	3.565650e-04
6.400000e+00	6.600000e+00	4.570490e-03	0.000000e+00	3.230335e-04
6.600000e+00	6.800000e+00	3.499938e-03	9.735150e-05	2.474700e-05
6.800000e+00	7.000000e+00	2.606620e-03	3.177885e-04	2.617250e-05
7.000000e+00	7.200000e+00	1.777558e-03	0.000000e+00	3.961750e-04
7.200000e+00	7.400000e+00	1.229299e-03	5.278550e-05	1.326395e-04
7.400000e+00	7.600000e+00	9.016405e-04	0.000000e+00	4.724900e-05
7.600000e+00	7.800000e+00	5.500975e-04	0.000000e+00	1.365785e-04
7.800000e+00	8.000000e+00	4.028330e-04	1.189445e-05	5.252325e-05
# END HISTO1D

