# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.9
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{h,j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.898220e-04	0.000000e+00	2.920545e-04
1.047198e-01	2.094395e-01	6.165661e-04	0.000000e+00	1.025773e-04
2.094395e-01	3.141593e-01	6.356300e-04	0.000000e+00	2.684140e-04
3.141594e-01	4.188790e-01	6.408728e-04	0.000000e+00	1.528045e-04
4.188790e-01	5.235988e-01	6.448398e-04	0.000000e+00	1.752082e-04
5.235989e-01	6.283186e-01	7.307209e-04	0.000000e+00	7.331199e-05
6.283185e-01	7.330383e-01	7.452937e-04	1.264126e-05	1.177207e-04
7.330384e-01	8.377581e-01	8.019440e-04	0.000000e+00	1.132731e-04
8.377580e-01	9.424778e-01	8.122843e-04	0.000000e+00	2.029564e-04
9.424778e-01	1.047198e+00	9.022658e-04	0.000000e+00	4.868426e-04
1.047197e+00	1.151917e+00	9.705832e-04	0.000000e+00	2.070474e-04
1.151917e+00	1.256637e+00	1.100630e-03	0.000000e+00	2.505510e-04
1.256637e+00	1.361357e+00	1.174304e-03	0.000000e+00	3.911679e-04
1.361357e+00	1.466077e+00	1.346425e-03	0.000000e+00	3.214754e-04
1.466076e+00	1.570796e+00	1.605028e-03	0.000000e+00	3.053715e-04
1.570796e+00	1.675516e+00	1.775522e-03	0.000000e+00	4.345168e-04
1.675516e+00	1.780236e+00	2.194800e-03	0.000000e+00	2.861746e-04
1.780236e+00	1.884956e+00	2.493050e-03	0.000000e+00	8.145512e-04
1.884955e+00	1.989675e+00	3.117285e-03	0.000000e+00	6.107593e-04
1.989675e+00	2.094395e+00	3.705048e-03	0.000000e+00	1.290757e-03
2.094395e+00	2.199115e+00	5.069109e-03	0.000000e+00	1.064433e-03
2.199115e+00	2.303835e+00	6.801005e-03	0.000000e+00	8.350353e-04
2.303834e+00	2.408554e+00	8.835221e-03	0.000000e+00	2.625641e-03
2.408554e+00	2.513274e+00	1.227089e-02	0.000000e+00	2.019929e-03
2.513274e+00	2.617994e+00	1.920340e-02	0.000000e+00	3.242981e-03
2.617994e+00	2.722714e+00	2.947999e-02	0.000000e+00	6.017609e-03
2.722713e+00	2.827433e+00	5.124165e-02	0.000000e+00	9.018574e-03
2.827433e+00	2.932153e+00	9.622594e-02	0.000000e+00	1.838684e-02
2.932153e+00	3.036873e+00	2.152120e-01	0.000000e+00	3.801222e-02
3.036873e+00	3.141593e+00	9.777426e-01	6.771094e-02	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	4.300689e-04	0.000000e+00	1.592160e-04
1.047198e-01	2.094395e-01	4.421693e-04	0.000000e+00	1.595538e-04
2.094395e-01	3.141593e-01	4.498821e-04	0.000000e+00	1.654225e-04
3.141594e-01	4.188790e-01	4.559482e-04	0.000000e+00	1.623567e-04
4.188790e-01	5.235988e-01	4.688801e-04	0.000000e+00	1.807227e-04
5.235989e-01	6.283186e-01	5.087679e-04	0.000000e+00	1.755482e-04
6.283185e-01	7.330383e-01	5.164935e-04	0.000000e+00	1.915476e-04
7.330384e-01	8.377581e-01	5.485937e-04	0.000000e+00	2.047253e-04
8.377580e-01	9.424778e-01	5.867928e-04	0.000000e+00	2.176337e-04
9.424778e-01	1.047198e+00	6.468297e-04	0.000000e+00	2.382928e-04
1.047197e+00	1.151917e+00	6.913897e-04	0.000000e+00	2.604685e-04
1.151917e+00	1.256637e+00	7.650075e-04	0.000000e+00	3.013446e-04
1.256637e+00	1.361357e+00	8.653987e-04	0.000000e+00	2.971309e-04
1.361357e+00	1.466077e+00	9.676576e-04	0.000000e+00	3.600325e-04
1.466076e+00	1.570796e+00	1.115013e-03	0.000000e+00	4.083767e-04
1.570796e+00	1.675516e+00	1.285623e-03	0.000000e+00	4.968430e-04
1.675516e+00	1.780236e+00	1.551279e-03	0.000000e+00	5.474074e-04
1.780236e+00	1.884956e+00	1.839554e-03	0.000000e+00	6.768573e-04
1.884955e+00	1.989675e+00	2.264164e-03	0.000000e+00	8.491047e-04
1.989675e+00	2.094395e+00	2.806599e-03	0.000000e+00	9.624532e-04
2.094395e+00	2.199115e+00	3.603019e-03	0.000000e+00	1.273098e-03
2.199115e+00	2.303835e+00	4.749417e-03	0.000000e+00	1.661850e-03
2.303834e+00	2.408554e+00	6.455113e-03	0.000000e+00	2.306050e-03
2.408554e+00	2.513274e+00	9.205725e-03	0.000000e+00	3.218588e-03
2.513274e+00	2.617994e+00	1.390352e-02	0.000000e+00	4.765393e-03
2.617994e+00	2.722714e+00	2.244749e-02	0.000000e+00	7.366014e-03
2.722713e+00	2.827433e+00	3.935053e-02	0.000000e+00	1.252296e-02
2.827433e+00	2.932153e+00	7.822509e-02	0.000000e+00	2.241720e-02
2.932153e+00	3.036873e+00	1.923082e-01	0.000000e+00	4.648577e-02
3.036873e+00	3.141593e+00	1.047892e+00	8.948338e-02	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.417337e-04	0.000000e+00	1.484365e-04
1.047198e-01	2.094395e-01	3.167773e-04	0.000000e+00	2.067529e-04
2.094395e-01	3.141593e-01	3.086025e-04	0.000000e+00	1.610184e-04
3.141594e-01	4.188790e-01	3.346702e-04	0.000000e+00	1.408911e-04
