# BEGIN PLOT
RaiotPlotYMin=0.0
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23
XLabel=$\sqrt{d_{23}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{23}}$ (pb/GeV)
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/log10_d_23
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_23
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	3.986656e-03	3.773322e-03	0.000000e+00
2.361291e-01	2.722583e-01	6.068712e-03	5.706207e-03	0.000000e+00
2.722583e-01	3.083875e-01	8.861724e-03	8.234952e-03	0.000000e+00
3.083874e-01	3.445165e-01	1.180226e-02	1.087415e-02	0.000000e+00
3.445165e-01	3.806457e-01	1.486193e-02	1.338593e-02	0.000000e+00
3.806457e-01	4.167748e-01	1.824969e-02	1.604721e-02	0.000000e+00
4.167748e-01	4.529039e-01	2.303654e-02	1.977425e-02	0.000000e+00
4.529039e-01	4.890331e-01	2.782309e-02	2.293484e-02	0.000000e+00
4.890331e-01	5.251621e-01	3.323567e-02	2.642145e-02	0.000000e+00
5.251623e-01	5.612913e-01	3.980667e-02	2.951760e-02	0.000000e+00
5.612913e-01	5.974205e-01	4.544324e-02	3.207069e-02	0.000000e+00
5.974204e-01	6.335495e-01	5.239801e-02	3.443692e-02	0.000000e+00
6.335497e-01	6.696787e-01	5.967932e-02	3.556663e-02	0.000000e+00
6.696787e-01	7.058079e-01	6.646638e-02	3.500900e-02	0.000000e+00
7.058080e-01	7.419370e-01	7.344426e-02	3.485135e-02	0.000000e+00
7.419370e-01	7.780660e-01	8.029580e-02	3.471670e-02	0.000000e+00
7.780661e-01	8.141953e-01	8.845181e-02	3.070090e-02	0.000000e+00
8.141954e-01	8.503245e-01	9.308389e-02	2.411998e-02	0.000000e+00
8.503244e-01	8.864534e-01	9.815265e-02	1.816392e-02	0.000000e+00
8.864535e-01	9.225827e-01	1.044642e-01	1.480382e-02	0.000000e+00
9.225828e-01	9.587118e-01	1.082727e-01	6.911465e-03	1.154942e-03
9.587118e-01	9.948408e-01	1.132362e-01	2.789939e-03	4.037189e-03
9.948404e-01	1.030970e+00	1.170228e-01	3.716533e-03	4.656579e-03
1.030970e+00	1.067098e+00	1.194275e-01	0.000000e+00	1.096053e-02
1.067100e+00	1.103228e+00	1.211588e-01	0.000000e+00	1.576581e-02
1.103229e+00	1.139358e+00	1.227830e-01	0.000000e+00	2.345470e-02
1.139357e+00	1.175487e+00	1.248097e-01	0.000000e+00	2.161290e-02
1.175487e+00	1.211615e+00	1.262292e-01	0.000000e+00	2.563974e-02
1.211617e+00	1.247745e+00	1.275398e-01	0.000000e+00	2.484771e-02
1.247746e+00	1.283875e+00	1.254991e-01	0.000000e+00	3.263810e-02
