# BEGIN PLOT
RaiotPlotYMin=0.5
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
RaiotPlotYMax=1.5
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/HT_jets_central
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/HT_jets_central
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.034086e-02	1.731100e-04	0.000000e+00
4.000000e+01	8.000000e+01	1.024836e-03	3.023000e-06	1.189950e-05
8.000000e+01	1.200000e+02	8.375483e-04	1.753600e-05	3.784750e-06
1.200000e+02	1.600000e+02	6.772073e-04	2.878725e-05	0.000000e+00
1.600000e+02	2.000000e+02	5.315950e-04	2.843825e-05	0.000000e+00
2.000000e+02	2.400000e+02	4.104738e-04	1.597625e-05	1.699750e-06
2.400000e+02	2.800000e+02	3.179392e-04	8.107750e-06	0.000000e+00
2.800000e+02	3.200000e+02	2.538623e-04	5.714575e-06	0.000000e+00
3.200000e+02	3.600000e+02	2.034711e-04	5.968675e-06	0.000000e+00
3.600000e+02	4.000000e+02	1.667537e-04	8.572075e-06	0.000000e+00
4.000000e+02	4.400000e+02	1.311512e-04	2.393125e-06	7.072750e-07
4.400000e+02	4.800000e+02	1.086448e-04	1.289150e-06	0.000000e+00
4.800000e+02	5.200000e+02	9.262330e-05	4.664150e-06	0.000000e+00
5.200000e+02	5.600000e+02	7.533240e-05	1.109278e-05	0.000000e+00
5.600000e+02	6.000000e+02	6.161823e-05	2.726900e-06	5.573950e-05
6.000000e+02	6.400000e+02	4.984197e-05	2.487750e-07	2.687575e-06
6.400000e+02	6.800000e+02	4.500315e-05	1.609925e-06	2.403250e-07
6.800000e+02	7.200000e+02	3.307927e-05	0.000000e+00	3.509250e-06
7.200000e+02	7.600000e+02	3.043293e-05	3.864250e-06	3.457125e-06
7.600000e+02	8.000000e+02	2.783868e-05	8.055378e-06	0.000000e+00
8.000000e+02	8.400000e+02	2.366012e-05	1.657300e-06	8.551150e-07
8.400000e+02	8.800000e+02	2.111894e-05	1.307035e-06	8.198025e-07
8.800000e+02	9.200000e+02	1.822882e-05	4.969500e-08	1.057035e-06
9.200000e+02	9.600000e+02	1.463297e-05	2.511593e-06	1.051272e-06
9.600000e+02	1.000000e+03	1.375107e-05	5.099548e-06	0.000000e+00
1.000000e+03	1.040000e+03	1.346326e-05	2.357795e-06	0.000000e+00
1.040000e+03	1.080000e+03	7.946900e-06	0.000000e+00	1.501133e-06
1.080000e+03	1.120000e+03	8.493047e-06	2.753075e-07	6.240725e-07
1.120000e+03	1.160000e+03	6.659765e-06	2.092500e-07	1.781325e-06
