# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.718086e-04	0.000000e+00	8.750700e-06
1.000000e+01	2.000000e+01	6.093285e-04	0.000000e+00	2.848040e-05
2.000000e+01	3.000000e+01	1.481750e-03	1.436280e-04	0.000000e+00
3.000000e+01	4.000000e+01	2.770683e-03	3.694860e-04	0.000000e+00
4.000000e+01	5.000000e+01	3.672590e-03	2.902410e-04	0.000000e+00
5.000000e+01	6.000000e+01	4.250014e-03	2.829230e-04	0.000000e+00
6.000000e+01	7.000000e+01	4.442062e-03	1.941400e-04	0.000000e+00
7.000000e+01	8.000000e+01	4.370496e-03	9.287700e-05	0.000000e+00
8.000000e+01	9.000000e+01	4.157657e-03	6.206400e-05	0.000000e+00
9.000000e+01	1.000000e+02	3.904256e-03	8.227000e-05	0.000000e+00
1.000000e+02	1.100000e+02	3.547068e-03	1.012900e-05	3.933000e-06
1.100000e+02	1.200000e+02	3.214125e-03	2.856600e-05	6.250000e-06
1.200000e+02	1.300000e+02	2.853820e-03	0.000000e+00	5.912000e-05
1.300000e+02	1.400000e+02	2.537952e-03	0.000000e+00	4.008100e-05
1.400000e+02	1.500000e+02	2.279126e-03	2.392800e-05	0.000000e+00
1.500000e+02	1.600000e+02	2.008088e-03	0.000000e+00	1.504200e-05
1.600000e+02	1.700000e+02	1.756756e-03	2.716000e-06	2.947400e-05
1.700000e+02	1.800000e+02	1.554073e-03	0.000000e+00	2.630200e-05
1.800000e+02	1.900000e+02	1.387231e-03	2.768000e-06	1.217500e-05
1.900000e+02	2.000000e+02	1.198253e-03	0.000000e+00	2.870200e-05
2.000000e+02	2.100000e+02	1.094259e-03	1.823700e-05	1.145300e-05
2.100000e+02	2.200000e+02	9.582324e-04	2.485600e-06	1.618900e-05
2.200000e+02	2.300000e+02	8.128730e-04	0.000000e+00	2.795040e-05
2.300000e+02	2.400000e+02	7.210049e-04	0.000000e+00	3.853440e-05
2.400000e+02	2.500000e+02	6.277977e-04	0.000000e+00	8.708560e-05
2.500000e+02	2.600000e+02	5.658395e-04	0.000000e+00	4.243210e-05
2.600000e+02	2.700000e+02	4.717493e-04	0.000000e+00	7.115560e-05
2.700000e+02	2.800000e+02	4.822190e-04	3.928290e-05	6.495100e-06
2.800000e+02	2.900000e+02	4.277667e-04	2.694600e-06	9.209800e-06
2.900000e+02	3.000000e+02	3.625170e-04	0.000000e+00	1.314290e-05
