# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi2
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	4.822966e-02	2.646008e-04	9.471925e-04
-3.036873e+00	-2.932153e+00	5.299853e-02	1.123272e-03	1.248186e-04
-2.932153e+00	-2.827433e+00	6.022598e-02	3.936688e-04	0.000000e+00
-2.827433e+00	-2.722713e+00	7.068416e-02	2.657015e-04	3.673545e-04
-2.722714e+00	-2.617994e+00	8.127257e-02	0.000000e+00	1.838207e-03
-2.617994e+00	-2.513274e+00	9.517956e-02	2.699589e-03	0.000000e+00
-2.513274e+00	-2.408554e+00	1.069441e-01	1.974599e-03	4.134836e-05
-2.408554e+00	-2.303834e+00	1.196833e-01	2.629418e-03	0.000000e+00
-2.303835e+00	-2.199115e+00	1.264443e-01	3.422364e-03	0.000000e+00
-2.199115e+00	-2.094395e+00	1.356943e-01	6.625668e-03	1.635791e-04
-2.094395e+00	-1.989675e+00	1.433581e-01	5.744939e-03	0.000000e+00
-1.989675e+00	-1.884955e+00	1.434762e-01	0.000000e+00	1.157288e-03
-1.884956e+00	-1.780236e+00	1.461501e-01	2.418831e-03	0.000000e+00
-1.780236e+00	-1.675516e+00	1.419545e-01	1.248377e-03	2.698529e-03
-1.675516e+00	-1.570796e+00	1.468462e-01	8.027406e-03	0.000000e+00
-1.570796e+00	-1.466076e+00	1.399258e-01	9.016702e-03	0.000000e+00
-1.466077e+00	-1.361357e+00	1.331790e-01	4.827636e-03	0.000000e+00
-1.361357e+00	-1.256637e+00	1.273922e-01	1.895722e-03	1.017571e-03
-1.256637e+00	-1.151917e+00	1.198974e-01	4.141234e-03	0.000000e+00
-1.151917e+00	-1.047197e+00	1.115693e-01	4.331019e-03	5.185305e-05
-1.047198e+00	-9.424778e-01	1.048973e-01	1.369841e-03	1.656509e-02
-9.424778e-01	-8.377580e-01	9.606369e-02	3.464483e-03	0.000000e+00
-8.377581e-01	-7.330384e-01	8.899883e-02	3.909857e-03	0.000000e+00
-7.330383e-01	-6.283185e-01	7.885536e-02	1.492554e-04	6.368041e-04
-6.283186e-01	-5.235989e-01	7.325963e-02	1.476332e-03	4.479482e-04
-5.235988e-01	-4.188790e-01	6.818000e-02	0.000000e+00	1.710536e-03
-4.188790e-01	-3.141594e-01	6.188262e-02	0.000000e+00	7.011097e-04
