# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_Hj1_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.862675e-03	0.000000e+00	1.971958e-04
1.047198e-01	2.094395e-01	1.794897e-03	0.000000e+00	3.134224e-04
2.094395e-01	3.141593e-01	1.918755e-03	0.000000e+00	3.171100e-04
3.141594e-01	4.188790e-01	2.071844e-03	0.000000e+00	2.294086e-04
4.188790e-01	5.235988e-01	2.100066e-03	0.000000e+00	5.511250e-04
5.235989e-01	6.283186e-01	2.431363e-03	0.000000e+00	4.891563e-04
6.283185e-01	7.330383e-01	2.906308e-03	0.000000e+00	3.041163e-04
7.330384e-01	8.377581e-01	3.382314e-03	0.000000e+00	2.801526e-04
8.377580e-01	9.424778e-01	3.900113e-03	0.000000e+00	3.825914e-04
9.424778e-01	1.047198e+00	4.768495e-03	0.000000e+00	8.272826e-04
1.047197e+00	1.151917e+00	5.890914e-03	0.000000e+00	1.026885e-03
1.151917e+00	1.256637e+00	7.508020e-03	0.000000e+00	9.233776e-04
1.256637e+00	1.361357e+00	9.996801e-03	0.000000e+00	1.213159e-03
1.361357e+00	1.466077e+00	1.265523e-02	0.000000e+00	1.516262e-03
1.466076e+00	1.570796e+00	1.660078e-02	0.000000e+00	2.746808e-03
1.570796e+00	1.675516e+00	2.444243e-02	0.000000e+00	3.419481e-03
1.675516e+00	1.780236e+00	3.464706e-02	0.000000e+00	1.490107e-03
1.780236e+00	1.884956e+00	5.286370e-02	8.487299e-04	4.413675e-03
1.884955e+00	1.989675e+00	7.706136e-02	7.878799e-04	2.037586e-03
1.989675e+00	2.094395e+00	1.146585e-01	0.000000e+00	4.510695e-03
2.094395e+00	2.199115e+00	1.718173e-01	1.079068e-03	0.000000e+00
2.199115e+00	2.303835e+00	2.424687e-01	3.278552e-03	4.954545e-03
2.303834e+00	2.408554e+00	3.316138e-01	2.741623e-04	2.239326e-04
2.408554e+00	2.513274e+00	4.344603e-01	8.117743e-03	0.000000e+00
2.513274e+00	2.617994e+00	5.457649e-01	9.407754e-03	9.576490e-03
2.617994e+00	2.722714e+00	6.577494e-01	2.733566e-02	0.000000e+00
2.722713e+00	2.827433e+00	7.582125e-01	3.124371e-02	0.000000e+00
2.827433e+00	2.932153e+00	8.356566e-01	2.951814e-02	0.000000e+00
2.932153e+00	3.036873e+00	8.406323e-01	2.775277e-02	0.000000e+00
3.036873e+00	3.141593e+00	7.593574e-01	8.253629e-03	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hj1_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.378825e-03	0.000000e+00	4.032494e-04
