# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/dijet_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.654195e-07	4.828885e-08	0.000000e+00
1.200000e+01	1.600000e+01	8.973382e-06	5.400575e-07	4.361750e-07
1.600000e+01	2.000000e+01	3.796795e-05	1.342125e-06	1.905725e-06
2.000000e+01	2.400000e+01	8.126272e-05	3.183250e-07	8.146425e-06
2.400000e+01	2.800000e+01	1.323433e-04	0.000000e+00	1.572290e-05
2.800000e+01	3.200000e+01	1.865539e-04	0.000000e+00	1.649918e-05
3.200000e+01	3.600000e+01	2.334821e-04	0.000000e+00	3.063167e-05
3.600000e+01	4.000000e+01	2.817360e-04	0.000000e+00	2.451025e-05
4.000000e+01	4.400000e+01	3.251488e-04	0.000000e+00	3.833625e-05
4.400000e+01	4.800000e+01	3.594762e-04	0.000000e+00	4.441700e-05
4.800000e+01	5.200000e+01	4.067878e-04	0.000000e+00	4.761650e-05
5.200000e+01	5.600000e+01	4.576757e-04	0.000000e+00	3.808375e-05
5.600000e+01	6.000000e+01	4.938432e-04	0.000000e+00	2.962725e-05
6.000000e+01	6.400000e+01	5.388625e-04	0.000000e+00	3.436825e-05
6.400000e+01	6.800000e+01	5.802315e-04	0.000000e+00	1.982025e-05
6.800000e+01	7.200000e+01	6.036493e-04	0.000000e+00	1.428075e-05
7.200000e+01	7.600000e+01	6.151695e-04	0.000000e+00	3.073150e-05
7.600000e+01	8.000000e+01	6.363903e-04	0.000000e+00	3.301925e-05
8.000000e+01	8.400000e+01	6.570548e-04	0.000000e+00	1.417450e-05
8.400000e+01	8.800000e+01	6.944895e-04	1.821825e-05	0.000000e+00
8.800000e+01	9.200000e+01	7.079878e-04	8.204000e-06	0.000000e+00
9.200000e+01	9.600000e+01	7.185595e-04	1.509500e-05	0.000000e+00
9.600000e+01	1.000000e+02	7.179248e-04	1.056675e-05	6.523750e-06
1.000000e+02	1.040000e+02	7.283760e-04	0.000000e+00	2.364925e-05
1.040000e+02	1.080000e+02	7.347822e-04	0.000000e+00	2.046725e-05
1.080000e+02	1.120000e+02	7.382620e-04	0.000000e+00	3.012625e-05
1.120000e+02	1.160000e+02	7.575662e-04	7.946750e-06	1.097350e-05
1.160000e+02	1.200000e+02	7.540165e-04	1.388500e-06	4.348500e-05
1.200000e+02	1.240000e+02	7.619395e-04	0.000000e+00	2.798050e-05
1.240000e+02	1.280000e+02	7.715725e-04	4.995500e-06	4.521000e-06
1.280000e+02	1.320000e+02	7.823212e-04	1.802125e-05	6.845250e-06
1.320000e+02	1.360000e+02	7.752650e-04	1.069400e-05	1.442800e-05
1.360000e+02	1.400000e+02	7.912820e-04	2.880150e-05	0.000000e+00
1.400000e+02	1.440000e+02	7.936820e-04	1.633125e-05	0.000000e+00
1.440000e+02	1.480000e+02	8.053917e-04	2.352525e-05	0.000000e+00
1.480000e+02	1.520000e+02	7.858475e-04	1.558675e-05	1.272500e-05
1.520000e+02	1.560000e+02	7.852230e-04	7.469500e-06	3.412500e-06
1.560000e+02	1.600000e+02	7.858112e-04	1.698000e-06	0.000000e+00
1.600000e+02	1.640000e+02	7.717830e-04	0.000000e+00	2.536975e-05
1.640000e+02	1.680000e+02	7.828790e-04	6.297750e-06	1.639900e-05
1.680000e+02	1.720000e+02	8.102155e-04	4.272525e-05	0.000000e+00
1.720000e+02	1.760000e+02	7.979007e-04	4.814225e-05	0.000000e+00
1.760000e+02	1.800000e+02	7.927050e-04	0.000000e+00	1.943500e-05
1.800000e+02	1.840000e+02	7.983283e-04	5.442300e-05	0.000000e+00
1.840000e+02	1.880000e+02	7.727990e-04	5.082650e-05	8.963250e-06
1.880000e+02	1.920000e+02	7.714005e-04	5.908500e-06	1.655250e-06
1.920000e+02	1.960000e+02	7.907330e-04	3.458150e-05	0.000000e+00
1.960000e+02	2.000000e+02	7.674177e-04	1.179725e-05	1.118750e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.332651e-07	5.140950e-08	0.000000e+00
1.200000e+01	1.600000e+01	8.658208e-06	1.345963e-06	1.194675e-07
1.600000e+01	2.000000e+01	3.568888e-05	3.718200e-06	2.341650e-06
2.000000e+01	2.400000e+01	7.912590e-05	1.683375e-06	4.750475e-06
2.400000e+01	2.800000e+01	1.303933e-04	2.654500e-06	1.240850e-05
2.800000e+01	3.200000e+01	1.832398e-04	5.851800e-06	1.510535e-05
3.200000e+01	3.600000e+01	2.343033e-04	0.000000e+00	1.922942e-05
3.600000e+01	4.000000e+01	2.781432e-04	0.000000e+00	2.975375e-05
4.000000e+01	4.400000e+01	3.144967e-04	0.000000e+00	3.520300e-05
4.400000e+01	4.800000e+01	3.534423e-04	0.000000e+00	3.686700e-05
4.800000e+01	5.200000e+01	3.882927e-04	0.000000e+00	3.457200e-05
5.200000e+01	5.600000e+01	4.172430e-04	0.000000e+00	3.893100e-05
5.600000e+01	6.000000e+01	4.461842e-04	0.000000e+00	3.741225e-05
6.000000e+01	6.400000e+01	4.696575e-04	0.000000e+00	3.884950e-05
6.400000e+01	6.800000e+01	4.976217e-04	0.000000e+00	3.228250e-05
6.800000e+01	7.200000e+01	5.177460e-04	0.000000e+00	3.762450e-05
7.200000e+01	7.600000e+01	5.358352e-04	0.000000e+00	3.728175e-05
7.600000e+01	8.000000e+01	5.541968e-04	0.000000e+00	3.633475e-05
8.000000e+01	8.400000e+01	5.703907e-04	0.000000e+00	3.895300e-05
8.400000e+01	8.800000e+01	5.936287e-04	0.000000e+00	3.032325e-05
8.800000e+01	9.200000e+01	6.089422e-04	0.000000e+00	2.616050e-05
9.200000e+01	9.600000e+01	6.249860e-04	0.000000e+00	2.441275e-05
9.600000e+01	1.000000e+02	6.385620e-04	0.000000e+00	2.255900e-05
1.000000e+02	1.040000e+02	6.509882e-04	0.000000e+00	2.104000e-05
1.040000e+02	1.080000e+02	6.663438e-04	0.000000e+00	1.356825e-05
1.080000e+02	1.120000e+02	6.745465e-04	0.000000e+00	1.637125e-05
1.120000e+02	1.160000e+02	6.846207e-04	0.000000e+00	1.472725e-05
1.160000e+02	1.200000e+02	6.978165e-04	0.000000e+00	1.002850e-05
1.200000e+02	1.240000e+02	7.030895e-04	0.000000e+00	8.845250e-06
1.240000e+02	1.280000e+02	7.113303e-04	0.000000e+00	8.143000e-06
1.280000e+02	1.320000e+02	7.186647e-04	0.000000e+00	4.626750e-06
1.320000e+02	1.360000e+02	7.273372e-04	4.303500e-06	0.000000e+00
1.360000e+02	1.400000e+02	7.316727e-04	3.016000e-06	1.492250e-06
1.400000e+02	1.440000e+02	7.363417e-04	2.468250e-06	3.075000e-07
1.440000e+02	1.480000e+02	7.407872e-04	5.618500e-06	2.640750e-06
1.480000e+02	1.520000e+02	7.456758e-04	5.439500e-06	0.000000e+00
1.520000e+02	1.560000e+02	7.505352e-04	6.980250e-06	0.000000e+00
1.560000e+02	1.600000e+02	7.494450e-04	5.600750e-06	0.000000e+00
1.600000e+02	1.640000e+02	7.546882e-04	9.914250e-06	0.000000e+00
1.640000e+02	1.680000e+02	7.542968e-04	8.429250e-06	0.000000e+00
1.680000e+02	1.720000e+02	7.582762e-04	1.342575e-05	0.000000e+00
1.720000e+02	1.760000e+02	7.583640e-04	9.389000e-06	0.000000e+00
1.760000e+02	1.800000e+02	7.587242e-04	1.269450e-05	0.000000e+00
1.800000e+02	1.840000e+02	7.575720e-04	1.041025e-05	0.000000e+00
1.840000e+02	1.880000e+02	7.571357e-04	1.330875e-05	0.000000e+00
1.880000e+02	1.920000e+02	7.588398e-04	1.505325e-05	0.000000e+00
1.920000e+02	1.960000e+02	7.572155e-04	1.643925e-05	0.000000e+00
1.960000e+02	2.000000e+02	7.592170e-04	1.887750e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/dijet_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
