# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_2j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j2j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	-2.775953e-11	0.000000e+00	4.117145e-10
2.400000e+01	2.800000e+01	3.951495e-09	2.393025e-10	2.813835e-09
2.800000e+01	3.200000e+01	3.551173e-08	1.458920e-08	0.000000e+00
3.200000e+01	3.600000e+01	9.711523e-08	1.850415e-08	4.239562e-08
3.600000e+01	4.000000e+01	2.626747e-07	0.000000e+00	1.711623e-07
4.000000e+01	4.400000e+01	6.531048e-07	6.922575e-08	0.000000e+00
4.400000e+01	4.800000e+01	9.187345e-07	0.000000e+00	4.504027e-07
4.800000e+01	5.200000e+01	1.957006e-06	2.155590e-07	2.990340e-07
5.200000e+01	5.600000e+01	2.598422e-06	1.100467e-07	2.690725e-07
5.600000e+01	6.000000e+01	3.432422e-06	0.000000e+00	9.610925e-07
6.000000e+01	6.400000e+01	4.994318e-06	0.000000e+00	1.327725e-06
6.400000e+01	6.800000e+01	6.558900e-06	0.000000e+00	2.269655e-06
6.800000e+01	7.200000e+01	7.680288e-06	0.000000e+00	2.081875e-06
7.200000e+01	7.600000e+01	7.155725e-06	0.000000e+00	3.771805e-06
7.600000e+01	8.000000e+01	1.147875e-05	0.000000e+00	2.212265e-06
8.000000e+01	8.400000e+01	1.274545e-05	0.000000e+00	4.322162e-06
8.400000e+01	8.800000e+01	1.526392e-05	0.000000e+00	4.734890e-06
8.800000e+01	9.200000e+01	1.769796e-05	0.000000e+00	2.978485e-06
9.200000e+01	9.600000e+01	1.974846e-05	0.000000e+00	4.735883e-06
9.600000e+01	1.000000e+02	2.143705e-05	0.000000e+00	9.941650e-06
1.000000e+02	1.040000e+02	2.464322e-05	0.000000e+00	1.919403e-06
1.040000e+02	1.080000e+02	2.540820e-05	0.000000e+00	7.079950e-06
1.080000e+02	1.120000e+02	2.429809e-05	0.000000e+00	7.987087e-06
1.120000e+02	1.160000e+02	2.841750e-05	0.000000e+00	7.894200e-06
1.160000e+02	1.200000e+02	3.120830e-05	0.000000e+00	4.084025e-06
1.200000e+02	1.240000e+02	3.128050e-05	0.000000e+00	1.476755e-05
1.240000e+02	1.280000e+02	3.808645e-05	0.000000e+00	6.425550e-06
1.280000e+02	1.320000e+02	3.956372e-05	0.000000e+00	1.039822e-05
1.320000e+02	1.360000e+02	4.267998e-05	0.000000e+00	7.411625e-06
1.360000e+02	1.400000e+02	4.584675e-05	0.000000e+00	1.581962e-05
1.400000e+02	1.440000e+02	4.904465e-05	0.000000e+00	7.522425e-06
1.440000e+02	1.480000e+02	5.055128e-05	0.000000e+00	6.798600e-06
1.480000e+02	1.520000e+02	5.496992e-05	0.000000e+00	9.793025e-06
1.520000e+02	1.560000e+02	5.860553e-05	1.704850e-06	5.648025e-06
1.560000e+02	1.600000e+02	5.731013e-05	1.065265e-05	3.513075e-06
1.600000e+02	1.640000e+02	5.853945e-05	0.000000e+00	1.814340e-05
1.640000e+02	1.680000e+02	6.570178e-05	0.000000e+00	3.007125e-06
1.680000e+02	1.720000e+02	6.053582e-05	0.000000e+00	1.166225e-05
1.720000e+02	1.760000e+02	6.555752e-05	0.000000e+00	5.768775e-06
1.760000e+02	1.800000e+02	7.230990e-05	0.000000e+00	2.051400e-06
1.800000e+02	1.840000e+02	7.374238e-05	0.000000e+00	2.268700e-05
1.840000e+02	1.880000e+02	7.085010e-05	0.000000e+00	1.288940e-05
1.880000e+02	1.920000e+02	7.344440e-05	0.000000e+00	1.360265e-05
1.920000e+02	1.960000e+02	7.800610e-05	0.000000e+00	1.605127e-05
1.960000e+02	2.000000e+02	7.683643e-05	0.000000e+00	1.747072e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	2.200430e-10	2.447470e-10	1.864530e-10
2.400000e+01	2.800000e+01	4.768092e-09	0.000000e+00	3.648530e-09
2.800000e+01	3.200000e+01	3.216422e-08	4.617875e-09	5.893000e-09
3.200000e+01	3.600000e+01	1.159336e-07	3.675160e-08	1.809553e-08
3.600000e+01	4.000000e+01	2.792420e-07	0.000000e+00	1.556175e-07
4.000000e+01	4.400000e+01	5.372700e-07	0.000000e+00	2.783252e-07
4.400000e+01	4.800000e+01	9.846012e-07	1.994950e-08	3.013585e-07
4.800000e+01	5.200000e+01	1.598979e-06	0.000000e+00	6.296737e-07
5.200000e+01	5.600000e+01	2.175799e-06	0.000000e+00	8.743360e-07
5.600000e+01	6.000000e+01	3.045588e-06	0.000000e+00	1.304105e-06
6.000000e+01	6.400000e+01	4.084392e-06	0.000000e+00	1.674620e-06
6.400000e+01	6.800000e+01	5.094837e-06	0.000000e+00	2.268643e-06
6.800000e+01	7.200000e+01	6.622865e-06	0.000000e+00	2.024713e-06
7.200000e+01	7.600000e+01	7.779145e-06	0.000000e+00	2.805820e-06
7.600000e+01	8.000000e+01	8.861982e-06	0.000000e+00	3.489917e-06
8.000000e+01	8.400000e+01	1.027671e-05	0.000000e+00	3.923647e-06
8.400000e+01	8.800000e+01	1.201417e-05	0.000000e+00	4.009565e-06
8.800000e+01	9.200000e+01	1.316815e-05	0.000000e+00	5.276160e-06
9.200000e+01	9.600000e+01	1.426941e-05	0.000000e+00	6.158847e-06
9.600000e+01	1.000000e+02	1.603022e-05	0.000000e+00	6.361908e-06
1.000000e+02	1.040000e+02	1.754726e-05	0.000000e+00	7.094335e-06
1.040000e+02	1.080000e+02	1.914132e-05	0.000000e+00	7.964130e-06
1.080000e+02	1.120000e+02	2.105133e-05	0.000000e+00	7.247943e-06
1.120000e+02	1.160000e+02	2.260396e-05	0.000000e+00	7.969918e-06
1.160000e+02	1.200000e+02	2.366600e-05	0.000000e+00	9.789453e-06
1.200000e+02	1.240000e+02	2.621845e-05	0.000000e+00	8.770150e-06
1.240000e+02	1.280000e+02	2.721310e-05	0.000000e+00	1.036773e-05
1.280000e+02	1.320000e+02	2.955405e-05	0.000000e+00	1.093603e-05
1.320000e+02	1.360000e+02	3.061883e-05	0.000000e+00	1.188728e-05
1.360000e+02	1.400000e+02	3.183630e-05	0.000000e+00	1.144788e-05
1.400000e+02	1.440000e+02	3.440365e-05	0.000000e+00	1.262320e-05
1.440000e+02	1.480000e+02	3.588390e-05	0.000000e+00	1.185323e-05
1.480000e+02	1.520000e+02	3.731170e-05	0.000000e+00	1.226415e-05
1.520000e+02	1.560000e+02	3.854987e-05	0.000000e+00	1.352885e-05
1.560000e+02	1.600000e+02	4.004042e-05	0.000000e+00	1.379775e-05
1.600000e+02	1.640000e+02	4.187305e-05	0.000000e+00	1.394310e-05
1.640000e+02	1.680000e+02	4.294880e-05	0.000000e+00	1.463665e-05
1.680000e+02	1.720000e+02	4.447585e-05	0.000000e+00	1.529437e-05
1.720000e+02	1.760000e+02	4.531327e-05	0.000000e+00	1.641580e-05
1.760000e+02	1.800000e+02	4.727515e-05	0.000000e+00	1.543022e-05
1.800000e+02	1.840000e+02	4.898605e-05	0.000000e+00	1.636842e-05
1.840000e+02	1.880000e+02	4.984550e-05	0.000000e+00	1.619950e-05
1.880000e+02	1.920000e+02	5.081143e-05	0.000000e+00	1.646933e-05
1.920000e+02	1.960000e+02	5.340048e-05	0.000000e+00	1.580507e-05
1.960000e+02	2.000000e+02	5.315338e-05	0.000000e+00	1.828567e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/j1j2j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
