# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_2}^{incl}$ (GeV)
LegendAlign=r
XMax=300.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet2_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.767327e-03	0.000000e+00	2.082480e-04
3.000000e+01	4.000000e+01	4.350201e-03	0.000000e+00	3.280470e-04
4.000000e+01	5.000000e+01	5.083076e-03	0.000000e+00	2.078770e-04
5.000000e+01	6.000000e+01	5.399122e-03	4.706000e-06	6.995200e-05
6.000000e+01	7.000000e+01	5.326532e-03	9.067400e-05	0.000000e+00
7.000000e+01	8.000000e+01	4.969071e-03	6.750200e-05	0.000000e+00
8.000000e+01	9.000000e+01	4.530994e-03	1.807370e-04	0.000000e+00
9.000000e+01	1.000000e+02	4.023310e-03	1.709600e-04	0.000000e+00
1.000000e+02	1.100000e+02	3.522187e-03	1.566060e-04	0.000000e+00
1.100000e+02	1.200000e+02	3.065799e-03	1.669680e-04	0.000000e+00
1.200000e+02	1.300000e+02	2.643244e-03	1.656060e-04	0.000000e+00
1.300000e+02	1.400000e+02	2.245034e-03	1.422490e-04	7.295000e-06
1.400000e+02	1.500000e+02	1.963898e-03	1.189310e-04	0.000000e+00
1.500000e+02	1.600000e+02	1.687241e-03	1.223100e-04	0.000000e+00
1.600000e+02	1.700000e+02	1.455902e-03	8.155800e-05	0.000000e+00
1.700000e+02	1.800000e+02	1.212155e-03	4.745300e-05	3.789900e-05
1.800000e+02	1.900000e+02	1.080997e-03	8.719100e-05	0.000000e+00
1.900000e+02	2.000000e+02	9.631671e-04	1.071034e-04	0.000000e+00
2.000000e+02	2.100000e+02	8.090363e-04	4.745420e-05	1.412300e-06
2.100000e+02	2.200000e+02	7.053678e-04	7.023880e-05	0.000000e+00
2.200000e+02	2.300000e+02	6.242189e-04	2.259770e-05	0.000000e+00
2.300000e+02	2.400000e+02	5.330014e-04	1.911600e-06	9.855300e-06
2.400000e+02	2.500000e+02	4.784769e-04	4.549120e-05	9.304500e-06
2.500000e+02	2.600000e+02	4.173695e-04	1.502500e-06	1.718210e-05
2.600000e+02	2.700000e+02	3.785433e-04	4.098120e-05	0.000000e+00
2.700000e+02	2.800000e+02	3.094958e-04	0.000000e+00	2.589690e-05
2.800000e+02	2.900000e+02	3.057182e-04	2.890360e-05	0.000000e+00
2.900000e+02	3.000000e+02	2.622508e-04	4.114350e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.858043e-03	0.000000e+00	1.499200e-04
3.000000e+01	4.000000e+01	4.479610e-03	0.000000e+00	2.197520e-04
4.000000e+01	5.000000e+01	5.106593e-03	0.000000e+00	9.820900e-05
5.000000e+01	6.000000e+01	5.297113e-03	2.483000e-06	0.000000e+00
6.000000e+01	7.000000e+01	5.164954e-03	7.782400e-05	0.000000e+00
7.000000e+01	8.000000e+01	4.821362e-03	1.302760e-04	0.000000e+00
8.000000e+01	9.000000e+01	4.370294e-03	1.491070e-04	0.000000e+00
9.000000e+01	1.000000e+02	3.889844e-03	1.620280e-04	0.000000e+00
1.000000e+02	1.100000e+02	3.413061e-03	1.516320e-04	0.000000e+00
1.100000e+02	1.200000e+02	2.978060e-03	1.492570e-04	0.000000e+00
1.200000e+02	1.300000e+02	2.574125e-03	1.300890e-04	0.000000e+00
1.300000e+02	1.400000e+02	2.226611e-03	1.168630e-04	0.000000e+00
1.400000e+02	1.500000e+02	1.921913e-03	1.036550e-04	0.000000e+00
1.500000e+02	1.600000e+02	1.653739e-03	8.760600e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.431834e-03	7.704400e-05	0.000000e+00
1.700000e+02	1.800000e+02	1.239439e-03	6.820700e-05	0.000000e+00
1.800000e+02	1.900000e+02	1.074638e-03	6.035300e-05	0.000000e+00
1.900000e+02	2.000000e+02	9.331487e-04	5.265810e-05	0.000000e+00
2.000000e+02	2.100000e+02	8.128600e-04	4.574490e-05	0.000000e+00
2.100000e+02	2.200000e+02	7.082901e-04	4.003130e-05	0.000000e+00
2.200000e+02	2.300000e+02	6.206836e-04	3.588580e-05	0.000000e+00
2.300000e+02	2.400000e+02	5.439544e-04	3.018450e-05	0.000000e+00
2.400000e+02	2.500000e+02	4.770959e-04	2.638860e-05	0.000000e+00
2.500000e+02	2.600000e+02	4.213853e-04	2.374360e-05	0.000000e+00
2.600000e+02	2.700000e+02	3.723910e-04	2.136050e-05	0.000000e+00
2.700000e+02	2.800000e+02	3.286487e-04	1.851380e-05	0.000000e+00
2.800000e+02	2.900000e+02	2.909730e-04	1.480060e-05	0.000000e+00
2.900000e+02	3.000000e+02	2.592311e-04	1.500180e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/jet2_pT_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.684539e-03	1.034700e-05	1.497000e-06
3.000000e+01	4.000000e+01	4.166740e-03	3.257100e-05	4.560000e-07
4.000000e+01	5.000000e+01	4.866285e-03	3.103200e-05	2.684200e-05
5.000000e+01	6.000000e+01	5.152914e-03	0.000000e+00	2.260700e-05
6.000000e+01	7.000000e+01	5.108317e-03	9.161600e-05	0.000000e+00
7.000000e+01	8.000000e+01	4.805608e-03	0.000000e+00	3.879800e-05
8.000000e+01	9.000000e+01	4.415091e-03	3.926900e-05	0.000000e+00
9.000000e+01	1.000000e+02	3.972821e-03	7.695500e-05	0.000000e+00
1.000000e+02	1.100000e+02	3.486452e-03	6.557900e-05	0.000000e+00
1.100000e+02	1.200000e+02	3.098877e-03	1.102850e-04	0.000000e+00
1.200000e+02	1.300000e+02	2.726671e-03	1.266320e-04	0.000000e+00
1.300000e+02	1.400000e+02	2.219102e-03	0.000000e+00	1.173040e-04
1.400000e+02	1.500000e+02	1.992260e-03	1.270040e-04	3.411500e-05
1.500000e+02	1.600000e+02	1.773133e-03	9.074000e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.492548e-03	2.728200e-05	1.547200e-05
1.700000e+02	1.800000e+02	1.314745e-03	4.464100e-05	0.000000e+00
1.800000e+02	1.900000e+02	1.107516e-03	0.000000e+00	1.354620e-04
1.900000e+02	2.000000e+02	9.835824e-04	1.579451e-04	0.000000e+00
2.000000e+02	2.100000e+02	8.724615e-04	3.495800e-05	0.000000e+00
2.100000e+02	2.200000e+02	7.393183e-04	2.400730e-05	3.460300e-06
2.200000e+02	2.300000e+02	6.625311e-04	1.777730e-05	0.000000e+00
2.300000e+02	2.400000e+02	5.692346e-04	0.000000e+00	1.696110e-05
2.400000e+02	2.500000e+02	4.956883e-04	4.437020e-05	0.000000e+00
2.500000e+02	2.600000e+02	4.496446e-04	2.025200e-06	1.667000e-06
2.600000e+02	2.700000e+02	3.999963e-04	1.142570e-05	0.000000e+00
2.700000e+02	2.800000e+02	3.436100e-04	8.655400e-06	1.930100e-06
2.800000e+02	2.900000e+02	3.267821e-04	2.161710e-05	0.000000e+00
2.900000e+02	3.000000e+02	2.740125e-04	0.000000e+00	4.842200e-06
# END HISTO1D

