# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$y_{j_2}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_2}^{incl}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet2_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.974645e-03	0.000000e+00	1.505940e-04
-4.400000e+00	-4.200000e+00	8.933055e-03	1.482500e-05	2.155250e-04
-4.200000e+00	-4.000000e+00	1.416893e-02	2.011000e-05	0.000000e+00
-4.000000e+00	-3.800000e+00	2.062180e-02	0.000000e+00	3.973300e-04
-3.800000e+00	-3.600000e+00	2.902899e-02	4.992450e-04	0.000000e+00
-3.600000e+00	-3.400000e+00	3.754068e-02	0.000000e+00	4.502350e-04
-3.400000e+00	-3.200000e+00	4.763560e-02	1.899510e-03	0.000000e+00
-3.200000e+00	-3.000000e+00	5.748040e-02	1.111450e-03	0.000000e+00
-3.000000e+00	-2.800000e+00	6.585045e-02	0.000000e+00	3.017000e-04
-2.800000e+00	-2.600000e+00	7.419085e-02	1.626750e-03	0.000000e+00
-2.600000e+00	-2.400000e+00	8.153620e-02	8.904000e-04	0.000000e+00
-2.400000e+00	-2.200000e+00	8.819065e-02	2.902600e-03	0.000000e+00
-2.200000e+00	-2.000000e+00	9.110320e-02	5.253000e-03	0.000000e+00
-2.000000e+00	-1.800000e+00	9.468175e-02	2.239450e-03	0.000000e+00
-1.800000e+00	-1.600000e+00	9.442850e-02	1.764750e-03	1.654400e-03
-1.600000e+00	-1.400000e+00	9.432500e-02	1.743500e-04	1.534650e-03
-1.400000e+00	-1.200000e+00	9.573755e-02	5.865000e-04	7.480000e-05
-1.200000e+00	-1.000000e+00	9.769540e-02	4.435900e-03	0.000000e+00
-1.000000e+00	-8.000000e-01	9.561435e-02	1.544600e-03	0.000000e+00
-8.000000e-01	-6.000000e-01	9.308370e-02	1.495650e-03	0.000000e+00
-6.000000e-01	-4.000000e-01	9.326890e-02	2.338700e-03	0.000000e+00
-4.000000e-01	-2.000000e-01	9.273540e-02	4.899750e-03	0.000000e+00
-2.000000e-01	0.000000e+00	9.160095e-02	3.947250e-03	8.164500e-04
0.000000e+00	2.000000e-01	9.140080e-02	0.000000e+00	5.706500e-04
2.000000e-01	4.000000e-01	9.233025e-02	2.392450e-03	0.000000e+00
4.000000e-01	6.000000e-01	9.309510e-02	4.881100e-03	0.000000e+00
6.000000e-01	8.000000e-01	9.333155e-02	1.636100e-03	0.000000e+00
8.000000e-01	1.000000e+00	9.261705e-02	1.969550e-03	1.430300e-03
1.000000e+00	1.200000e+00	9.663495e-02	1.428100e-03	0.000000e+00
1.200000e+00	1.400000e+00	9.857455e-02	3.254950e-03	6.994200e-03
1.400000e+00	1.600000e+00	9.564335e-02	2.515000e-04	1.760200e-03
1.600000e+00	1.800000e+00	9.461405e-02	7.694500e-04	1.104950e-03
1.800000e+00	2.000000e+00	9.379955e-02	0.000000e+00	1.605800e-03
2.000000e+00	2.200000e+00	9.222690e-02	2.962500e-03	0.000000e+00
2.200000e+00	2.400000e+00	8.390645e-02	0.000000e+00	2.695050e-03
2.400000e+00	2.600000e+00	8.290740e-02	2.544350e-03	0.000000e+00
2.600000e+00	2.800000e+00	7.485990e-02	2.115400e-03	7.472500e-04
2.800000e+00	3.000000e+00	6.540315e-02	4.050000e-06	7.554000e-04
3.000000e+00	3.200000e+00	5.654960e-02	1.937850e-03	0.000000e+00
3.200000e+00	3.400000e+00	4.742312e-02	1.222795e-03	0.000000e+00
3.400000e+00	3.600000e+00	3.788299e-02	1.420900e-04	2.023400e-04
3.600000e+00	3.800000e+00	2.912565e-02	1.160120e-03	0.000000e+00
3.800000e+00	4.000000e+00	2.049606e-02	0.000000e+00	3.150100e-04
4.000000e+00	4.200000e+00	1.405250e-02	4.009000e-05	1.433450e-04
4.200000e+00	4.400000e+00	8.946530e-03	2.606500e-05	1.474600e-04
4.400000e+00	4.600000e+00	3.027389e-03	0.000000e+00	4.105300e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/jet2_y_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	3.138785e-03	0.000000e+00	1.303800e-05
-4.400000e+00	-4.200000e+00	9.207020e-03	0.000000e+00	5.954500e-05
-4.200000e+00	-4.000000e+00	1.435214e-02	0.000000e+00	1.145750e-04
-4.000000e+00	-3.800000e+00	2.102129e-02	5.580000e-05	4.456000e-05
-3.800000e+00	-3.600000e+00	2.900338e-02	2.154950e-04	7.410500e-05
-3.600000e+00	-3.400000e+00	3.799622e-02	4.368850e-04	0.000000e+00
-3.400000e+00	-3.200000e+00	4.744435e-02	5.374450e-04	0.000000e+00
-3.200000e+00	-3.000000e+00	5.692000e-02	8.630500e-04	0.000000e+00
-3.000000e+00	-2.800000e+00	6.584745e-02	1.116700e-03	0.000000e+00
-2.800000e+00	-2.600000e+00	7.384505e-02	1.341600e-03	0.000000e+00
-2.600000e+00	-2.400000e+00	8.066365e-02	1.552100e-03	0.000000e+00
-2.400000e+00	-2.200000e+00	8.595800e-02	1.795800e-03	0.000000e+00
-2.200000e+00	-2.000000e+00	8.994345e-02	1.911400e-03	0.000000e+00
-2.000000e+00	-1.800000e+00	9.264830e-02	2.026250e-03	0.000000e+00
-1.800000e+00	-1.600000e+00	9.411570e-02	2.300450e-03	0.000000e+00
-1.600000e+00	-1.400000e+00	9.471125e-02	2.329600e-03	0.000000e+00
-1.400000e+00	-1.200000e+00	9.458320e-02	2.528450e-03	0.000000e+00
-1.200000e+00	-1.000000e+00	9.377455e-02	2.451800e-03	0.000000e+00
-1.000000e+00	-8.000000e-01	9.294775e-02	2.893400e-03	0.000000e+00
-8.000000e-01	-6.000000e-01	9.186630e-02	2.842950e-03	0.000000e+00
-6.000000e-01	-4.000000e-01	9.085715e-02	2.636150e-03	0.000000e+00
-4.000000e-01	-2.000000e-01	9.060770e-02	3.232800e-03	0.000000e+00
-2.000000e-01	0.000000e+00	8.997655e-02	3.088700e-03	0.000000e+00
0.000000e+00	2.000000e-01	9.016475e-02	3.281200e-03	0.000000e+00
2.000000e-01	4.000000e-01	9.035870e-02	3.002850e-03	0.000000e+00
4.000000e-01	6.000000e-01	9.096445e-02	2.843750e-03	0.000000e+00
6.000000e-01	8.000000e-01	9.180895e-02	2.706650e-03	0.000000e+00
8.000000e-01	1.000000e+00	9.293875e-02	2.827900e-03	0.000000e+00
1.000000e+00	1.200000e+00	9.392485e-02	2.696350e-03	0.000000e+00
1.200000e+00	1.400000e+00	9.433780e-02	2.378550e-03	0.000000e+00
1.400000e+00	1.600000e+00	9.469465e-02	2.483450e-03	0.000000e+00
1.600000e+00	1.800000e+00	9.421670e-02	2.352800e-03	0.000000e+00
1.800000e+00	2.000000e+00	9.264640e-02	2.168100e-03	0.000000e+00
2.000000e+00	2.200000e+00	9.010850e-02	2.071950e-03	0.000000e+00
2.200000e+00	2.400000e+00	8.616075e-02	1.942050e-03	0.000000e+00
2.400000e+00	2.600000e+00	8.068965e-02	1.621600e-03	0.000000e+00
2.600000e+00	2.800000e+00	7.383105e-02	1.311250e-03	0.000000e+00
2.800000e+00	3.000000e+00	6.577335e-02	1.049350e-03	0.000000e+00
3.000000e+00	3.200000e+00	5.694690e-02	8.897500e-04	0.000000e+00
3.200000e+00	3.400000e+00	4.741174e-02	5.825900e-04	0.000000e+00
3.400000e+00	3.600000e+00	3.788715e-02	3.014700e-04	1.111500e-04
3.600000e+00	3.800000e+00	2.897921e-02	1.499800e-04	4.260500e-05
3.800000e+00	4.000000e+00	2.098825e-02	4.881000e-05	1.189850e-04
