# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23
XLabel=$\sqrt{d_{23}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{23}}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/log10_d_23
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/log10_d_23
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	6.270369e-03	6.028677e-03	0.000000e+00
2.361291e-01	2.722583e-01	9.518356e-03	9.153493e-03	0.000000e+00
2.722583e-01	3.083875e-01	1.482372e-02	1.418774e-02	0.000000e+00
3.083874e-01	3.445165e-01	1.927832e-02	1.824928e-02	0.000000e+00
3.445165e-01	3.806457e-01	2.482390e-02	2.318638e-02	0.000000e+00
3.806457e-01	4.167748e-01	3.208018e-02	2.945921e-02	0.000000e+00
4.167748e-01	4.529039e-01	4.043381e-02	3.614364e-02	0.000000e+00
4.529039e-01	4.890331e-01	5.103318e-02	4.473209e-02	0.000000e+00
4.890331e-01	5.251621e-01	6.422908e-02	5.468427e-02	0.000000e+00
5.251623e-01	5.612913e-01	7.633559e-02	6.259745e-02	0.000000e+00
5.612913e-01	5.974205e-01	9.155417e-02	7.095727e-02	0.000000e+00
5.974204e-01	6.335495e-01	1.079786e-01	7.957835e-02	0.000000e+00
6.335497e-01	6.696787e-01	1.304769e-01	9.084826e-02	0.000000e+00
6.696787e-01	7.058079e-01	1.452558e-01	9.264639e-02	0.000000e+00
7.058080e-01	7.419370e-01	1.649286e-01	9.467756e-02	0.000000e+00
7.419370e-01	7.780660e-01	1.829943e-01	9.242766e-02	0.000000e+00
7.780661e-01	8.141953e-01	2.087061e-01	9.569979e-02	0.000000e+00
8.141954e-01	8.503245e-01	2.280100e-01	8.808063e-02	0.000000e+00
8.503244e-01	8.864534e-01	2.501220e-01	8.272689e-02	0.000000e+00
8.864535e-01	9.225827e-01	2.700784e-01	6.919126e-02	0.000000e+00
9.225828e-01	9.587118e-01	2.878879e-01	6.553451e-02	0.000000e+00
9.587118e-01	9.948408e-01	3.119433e-01	5.364825e-02	0.000000e+00
9.948404e-01	1.030970e+00	3.260757e-01	2.855759e-02	0.000000e+00
1.030970e+00	1.067098e+00	3.496620e-01	1.906280e-02	0.000000e+00
1.067100e+00	1.103228e+00	3.605436e-01	0.000000e+00	4.545656e-03
1.103229e+00	1.139358e+00	3.783531e-01	0.000000e+00	1.884248e-02
1.139357e+00	1.175487e+00	3.927932e-01	0.000000e+00	2.891946e-02
1.175487e+00	1.211615e+00	4.125755e-01	0.000000e+00	3.720252e-02
1.211617e+00	1.247745e+00	4.246276e-01	0.000000e+00	5.512026e-02
1.247746e+00	1.283875e+00	4.525520e-01	0.000000e+00	5.272883e-02
1.283874e+00	1.320002e+00	4.692673e-01	0.000000e+00	7.302721e-02
1.320002e+00	1.356131e+00	4.900858e-01	0.000000e+00	7.568020e-02
1.356132e+00	1.392261e+00	5.293822e-01	0.000000e+00	6.941903e-02
1.392261e+00	1.428391e+00	5.733842e-01	0.000000e+00	6.948104e-02
1.428391e+00	1.464519e+00	5.813803e-01	0.000000e+00	9.381051e-02
1.464519e+00	1.500648e+00	6.263199e-01	0.000000e+00	6.684104e-02
1.500649e+00	1.536778e+00	6.357455e-01	0.000000e+00	6.311606e-02
1.536778e+00	1.572906e+00	6.265393e-01	0.000000e+00	6.559800e-02
1.572906e+00	1.609035e+00	6.248792e-01	0.000000e+00	4.896787e-02
1.609036e+00	1.645165e+00	6.103742e-01	0.000000e+00	6.227739e-02
1.645165e+00	1.681293e+00	6.076789e-01	0.000000e+00	1.860361e-02
1.681294e+00	1.717424e+00	5.842881e-01	0.000000e+00	3.205508e-02
1.717423e+00	1.753552e+00	5.605306e-01	0.000000e+00	2.306734e-02
