# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_1j_2j_3}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/trijet_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	1.530586e-09	2.379960e-10	1.310897e-09
2.400000e+01	2.800000e+01	2.803638e-08	2.532366e-08	1.796950e-09
2.800000e+01	3.200000e+01	1.327250e-07	0.000000e+00	6.114365e-08
3.200000e+01	3.600000e+01	4.916325e-07	1.643125e-08	8.539300e-08
3.600000e+01	4.000000e+01	1.044486e-06	0.000000e+00	2.879233e-07
4.000000e+01	4.400000e+01	2.158606e-06	1.082742e-07	3.447492e-07
4.400000e+01	4.800000e+01	3.463432e-06	2.763750e-07	8.252875e-07
4.800000e+01	5.200000e+01	5.276250e-06	0.000000e+00	1.166035e-06
5.200000e+01	5.600000e+01	7.197715e-06	0.000000e+00	1.569690e-06
5.600000e+01	6.000000e+01	9.243285e-06	0.000000e+00	2.113270e-06
6.000000e+01	6.400000e+01	1.248439e-05	0.000000e+00	1.843372e-06
6.400000e+01	6.800000e+01	1.487200e-05	0.000000e+00	4.617940e-06
6.800000e+01	7.200000e+01	1.805200e-05	0.000000e+00	4.821653e-06
7.200000e+01	7.600000e+01	2.137891e-05	0.000000e+00	4.801690e-06
7.600000e+01	8.000000e+01	2.327801e-05	0.000000e+00	8.569795e-06
8.000000e+01	8.400000e+01	2.772348e-05	0.000000e+00	8.756675e-06
8.400000e+01	8.800000e+01	3.357377e-05	0.000000e+00	7.774875e-06
8.800000e+01	9.200000e+01	3.867428e-05	0.000000e+00	6.246775e-06
9.200000e+01	9.600000e+01	4.043065e-05	0.000000e+00	1.040632e-05
9.600000e+01	1.000000e+02	4.769475e-05	0.000000e+00	1.043508e-05
1.000000e+02	1.040000e+02	5.014965e-05	0.000000e+00	1.193795e-05
1.040000e+02	1.080000e+02	5.792250e-05	0.000000e+00	1.353693e-05
1.080000e+02	1.120000e+02	6.086685e-05	0.000000e+00	1.485012e-05
1.120000e+02	1.160000e+02	6.741223e-05	0.000000e+00	1.402197e-05
1.160000e+02	1.200000e+02	7.300445e-05	0.000000e+00	1.463255e-05
1.200000e+02	1.240000e+02	8.416067e-05	0.000000e+00	1.119978e-05
1.240000e+02	1.280000e+02	8.643255e-05	0.000000e+00	1.401615e-05
1.280000e+02	1.320000e+02	9.184945e-05	0.000000e+00	1.816470e-05
1.320000e+02	1.360000e+02	9.826372e-05	0.000000e+00	1.751215e-05
1.360000e+02	1.400000e+02	1.064247e-04	0.000000e+00	1.121198e-05
1.400000e+02	1.440000e+02	1.145535e-04	0.000000e+00	1.506220e-05
1.440000e+02	1.480000e+02	1.174093e-04	0.000000e+00	1.266785e-05
1.480000e+02	1.520000e+02	1.230403e-04	1.553782e-05	5.800625e-06
1.520000e+02	1.560000e+02	1.276208e-04	0.000000e+00	2.233050e-05
1.560000e+02	1.600000e+02	1.452177e-04	0.000000e+00	1.096465e-05
1.600000e+02	1.640000e+02	1.448224e-04	0.000000e+00	1.455770e-05
1.640000e+02	1.680000e+02	1.424584e-04	0.000000e+00	1.799645e-05
1.680000e+02	1.720000e+02	1.560450e-04	0.000000e+00	9.717450e-06
1.720000e+02	1.760000e+02	1.640441e-04	4.862850e-06	8.515075e-06
1.760000e+02	1.800000e+02	1.729111e-04	5.724725e-06	4.495100e-06
1.800000e+02	1.840000e+02	1.622381e-04	0.000000e+00	3.326850e-05
1.840000e+02	1.880000e+02	1.753808e-04	0.000000e+00	1.323085e-05
1.880000e+02	1.920000e+02	1.796021e-04	0.000000e+00	1.103535e-05
1.920000e+02	1.960000e+02	1.886826e-04	0.000000e+00	1.249023e-05
1.960000e+02	2.000000e+02	1.954668e-04	0.000000e+00	9.905525e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	9.198050e-10	0.000000e+00	9.604010e-10
2.400000e+01	2.800000e+01	3.473508e-08	5.560525e-09	0.000000e+00
2.800000e+01	3.200000e+01	1.402124e-07	6.128250e-09	5.958860e-08
3.200000e+01	3.600000e+01	5.013635e-07	4.843000e-08	1.990500e-08
3.600000e+01	4.000000e+01	1.121120e-06	5.710400e-08	1.150773e-07
4.000000e+01	4.400000e+01	2.064754e-06	5.263407e-07	2.220902e-07
4.400000e+01	4.800000e+01	3.306410e-06	0.000000e+00	8.384450e-07
4.800000e+01	5.200000e+01	4.866590e-06	0.000000e+00	1.576670e-06
5.200000e+01	5.600000e+01	7.934623e-06	8.173825e-07	6.287750e-08
5.600000e+01	6.000000e+01	9.137290e-06	0.000000e+00	2.253137e-06
6.000000e+01	6.400000e+01	1.148010e-05	0.000000e+00	2.880862e-06
6.400000e+01	6.800000e+01	1.425591e-05	0.000000e+00	4.418998e-06
6.800000e+01	7.200000e+01	1.706296e-05	0.000000e+00	4.407348e-06
7.200000e+01	7.600000e+01	2.031856e-05	0.000000e+00	4.607365e-06
7.600000e+01	8.000000e+01	2.420885e-05	0.000000e+00	4.774205e-06
8.000000e+01	8.400000e+01	2.687778e-05	0.000000e+00	7.798875e-06
8.400000e+01	8.800000e+01	3.225100e-05	0.000000e+00	6.758350e-06
8.800000e+01	9.200000e+01	3.667705e-05	0.000000e+00	6.459700e-06
9.200000e+01	9.600000e+01	4.095727e-05	0.000000e+00	5.110250e-06
9.600000e+01	1.000000e+02	4.609017e-05	0.000000e+00	7.850800e-06
1.000000e+02	1.040000e+02	5.019425e-05	0.000000e+00	8.269400e-06
1.040000e+02	1.080000e+02	5.473997e-05	0.000000e+00	1.024073e-05
1.080000e+02	1.120000e+02	6.038375e-05	0.000000e+00	9.088800e-06
1.120000e+02	1.160000e+02	6.560995e-05	0.000000e+00	1.195373e-05
1.160000e+02	1.200000e+02	7.055320e-05	0.000000e+00	1.077260e-05
1.200000e+02	1.240000e+02	7.538595e-05	0.000000e+00	1.207242e-05
1.240000e+02	1.280000e+02	7.974295e-05	0.000000e+00	1.344373e-05
1.280000e+02	1.320000e+02	8.614837e-05	0.000000e+00	1.251528e-05
1.320000e+02	1.360000e+02	9.200015e-05	0.000000e+00	1.350498e-05
1.360000e+02	1.400000e+02	9.771693e-05	0.000000e+00	1.579945e-05
1.400000e+02	1.440000e+02	1.016638e-04	0.000000e+00	1.554912e-05
1.440000e+02	1.480000e+02	1.066927e-04	0.000000e+00	1.505920e-05
1.480000e+02	1.520000e+02	1.134056e-04	0.000000e+00	1.225092e-05
1.520000e+02	1.560000e+02	1.173118e-04	0.000000e+00	1.612148e-05
1.560000e+02	1.600000e+02	1.209425e-04	0.000000e+00	1.703610e-05
1.600000e+02	1.640000e+02	1.269777e-04	0.000000e+00	1.527800e-05
1.640000e+02	1.680000e+02	1.309342e-04	0.000000e+00	1.765045e-05
1.680000e+02	1.720000e+02	1.349732e-04	0.000000e+00	1.682793e-05
1.720000e+02	1.760000e+02	1.407718e-04	0.000000e+00	1.640338e-05
1.760000e+02	1.800000e+02	1.447477e-04	0.000000e+00	1.794805e-05
1.800000e+02	1.840000e+02	1.499258e-04	0.000000e+00	1.638655e-05
1.840000e+02	1.880000e+02	1.526788e-04	0.000000e+00	1.909287e-05
1.880000e+02	1.920000e+02	1.569144e-04	0.000000e+00	1.923192e-05
1.920000e+02	1.960000e+02	1.596054e-04	0.000000e+00	1.874857e-05
1.960000e+02	2.000000e+02	1.633076e-04	0.000000e+00	2.009092e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_INC/trijet_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
