# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/HT_jets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/HT_jets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	2.482056e-05	0.000000e+00	6.307260e-06
8.000000e+01	1.200000e+02	2.351851e-04	0.000000e+00	2.032812e-05
1.200000e+02	1.600000e+02	6.062540e-04	0.000000e+00	1.288925e-05
1.600000e+02	2.000000e+02	9.434382e-04	1.494450e-05	0.000000e+00
2.000000e+02	2.400000e+02	1.112266e-03	3.005800e-05	0.000000e+00
2.400000e+02	2.800000e+02	1.132757e-03	3.339125e-05	0.000000e+00
2.800000e+02	3.200000e+02	1.063088e-03	4.257025e-05	0.000000e+00
3.200000e+02	3.600000e+02	9.445097e-04	3.296750e-05	0.000000e+00
3.600000e+02	4.000000e+02	8.210488e-04	3.530675e-05	0.000000e+00
4.000000e+02	4.400000e+02	7.012600e-04	3.162275e-05	0.000000e+00
4.400000e+02	4.800000e+02	5.881567e-04	2.122775e-05	0.000000e+00
4.800000e+02	5.200000e+02	4.918048e-04	1.329600e-05	0.000000e+00
5.200000e+02	5.600000e+02	4.279000e-04	2.170400e-05	0.000000e+00
5.600000e+02	6.000000e+02	3.501023e-04	1.546550e-05	0.000000e+00
6.000000e+02	6.400000e+02	3.003545e-04	6.514750e-06	0.000000e+00
6.400000e+02	6.800000e+02	2.526547e-04	1.355402e-05	0.000000e+00
6.800000e+02	7.200000e+02	2.096755e-04	1.571775e-06	9.132800e-06
7.200000e+02	7.600000e+02	1.797421e-04	7.099725e-06	0.000000e+00
7.600000e+02	8.000000e+02	1.488993e-04	7.331200e-06	9.167500e-06
8.000000e+02	8.400000e+02	1.280794e-04	4.921500e-07	0.000000e+00
8.400000e+02	8.800000e+02	1.099100e-04	0.000000e+00	5.158225e-06
8.800000e+02	9.200000e+02	9.287970e-05	4.835950e-06	0.000000e+00
9.200000e+02	9.600000e+02	7.873933e-05	0.000000e+00	8.334575e-06
9.600000e+02	1.000000e+03	4.868645e-05	0.000000e+00	1.929273e-05
1.000000e+03	1.040000e+03	5.568298e-05	0.000000e+00	5.540900e-06
1.040000e+03	1.080000e+03	5.019227e-05	2.173475e-06	7.479000e-07
1.080000e+03	1.120000e+03	4.466635e-05	1.196198e-05	3.657500e-07
1.120000e+03	1.160000e+03	4.430300e-05	6.749825e-06	0.000000e+00
