# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.149066e-05	0.000000e+00	1.673330e-06
1.000000e+01	2.000000e+01	1.248943e-04	0.000000e+00	7.942100e-06
2.000000e+01	3.000000e+01	2.172986e-04	0.000000e+00	1.349690e-05
3.000000e+01	4.000000e+01	3.386763e-04	0.000000e+00	1.610680e-05
4.000000e+01	5.000000e+01	4.830081e-04	0.000000e+00	1.952830e-05
5.000000e+01	6.000000e+01	6.425004e-04	0.000000e+00	3.197200e-05
6.000000e+01	7.000000e+01	8.085823e-04	0.000000e+00	3.439280e-05
7.000000e+01	8.000000e+01	9.856360e-04	0.000000e+00	1.762400e-05
8.000000e+01	9.000000e+01	1.138611e-03	0.000000e+00	1.154100e-05
9.000000e+01	1.000000e+02	1.286309e-03	3.714000e-06	3.415000e-06
1.000000e+02	1.100000e+02	1.387778e-03	0.000000e+00	9.172000e-06
1.100000e+02	1.200000e+02	1.471291e-03	6.229000e-06	0.000000e+00
1.200000e+02	1.300000e+02	1.523120e-03	6.719000e-06	0.000000e+00
1.300000e+02	1.400000e+02	1.563578e-03	3.608000e-05	0.000000e+00
1.400000e+02	1.500000e+02	1.567749e-03	3.198100e-05	0.000000e+00
1.500000e+02	1.600000e+02	1.551117e-03	2.321700e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.534318e-03	3.675900e-05	0.000000e+00
1.700000e+02	1.800000e+02	1.479806e-03	2.186400e-05	0.000000e+00
1.800000e+02	1.900000e+02	1.452024e-03	5.323900e-05	0.000000e+00
1.900000e+02	2.000000e+02	1.415975e-03	9.084400e-05	0.000000e+00
2.000000e+02	2.100000e+02	1.341682e-03	6.175800e-05	0.000000e+00
2.100000e+02	2.200000e+02	1.277937e-03	3.374800e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.205578e-03	4.535200e-05	0.000000e+00
2.300000e+02	2.400000e+02	1.182950e-03	6.857500e-05	0.000000e+00
2.400000e+02	2.500000e+02	1.096640e-03	3.957100e-05	0.000000e+00
2.500000e+02	2.600000e+02	1.026574e-03	4.805220e-05	0.000000e+00
2.600000e+02	2.700000e+02	9.715548e-04	2.194790e-05	0.000000e+00
2.700000e+02	2.800000e+02	9.022061e-04	0.000000e+00	2.244490e-05
2.800000e+02	2.900000e+02	8.786607e-04	4.098950e-05	0.000000e+00
2.900000e+02	3.000000e+02	8.322774e-04	4.568560e-05	0.000000e+00
3.000000e+02	3.100000e+02	7.690986e-04	5.404400e-05	0.000000e+00
