# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.659760e-06	0.000000e+00	1.047196e-06
1.000000e+01	2.000000e+01	2.381267e-05	0.000000e+00	2.008110e-06
2.000000e+01	3.000000e+01	4.723360e-05	3.019200e-07	8.423700e-07
3.000000e+01	4.000000e+01	7.193383e-05	0.000000e+00	2.720380e-06
4.000000e+01	5.000000e+01	1.028691e-04	0.000000e+00	6.151900e-06
5.000000e+01	6.000000e+01	1.389095e-04	0.000000e+00	8.355400e-06
6.000000e+01	7.000000e+01	1.799303e-04	0.000000e+00	6.478300e-06
7.000000e+01	8.000000e+01	2.239771e-04	0.000000e+00	5.745900e-06
8.000000e+01	9.000000e+01	2.707230e-04	6.759000e-07	7.393200e-06
9.000000e+01	1.000000e+02	3.103523e-04	0.000000e+00	1.251110e-05
1.000000e+02	1.100000e+02	3.496653e-04	0.000000e+00	6.338900e-06
1.100000e+02	1.200000e+02	3.785960e-04	0.000000e+00	1.620400e-06
1.200000e+02	1.300000e+02	4.084653e-04	0.000000e+00	2.385100e-06
1.300000e+02	1.400000e+02	4.293152e-04	8.036300e-06	0.000000e+00
1.400000e+02	1.500000e+02	4.407735e-04	5.986600e-06	2.500000e-08
1.500000e+02	1.600000e+02	4.502431e-04	0.000000e+00	4.287200e-06
1.600000e+02	1.700000e+02	4.498052e-04	1.099210e-05	3.098300e-06
1.700000e+02	1.800000e+02	4.466205e-04	4.736600e-06	2.107900e-06
1.800000e+02	1.900000e+02	4.499269e-04	9.252900e-06	0.000000e+00
1.900000e+02	2.000000e+02	4.405527e-04	2.497570e-05	0.000000e+00
2.000000e+02	2.100000e+02	4.250083e-04	2.433920e-05	0.000000e+00
2.100000e+02	2.200000e+02	4.169719e-04	1.784620e-05	0.000000e+00
2.200000e+02	2.300000e+02	3.959403e-04	2.085090e-05	0.000000e+00
2.300000e+02	2.400000e+02	3.865295e-04	2.598980e-05	0.000000e+00
2.400000e+02	2.500000e+02	3.520305e-04	8.830500e-06	7.207200e-06
2.500000e+02	2.600000e+02	3.496098e-04	2.007680e-05	0.000000e+00
2.600000e+02	2.700000e+02	3.245224e-04	6.636900e-06	5.646100e-06
2.700000e+02	2.800000e+02	3.023566e-04	0.000000e+00	8.563700e-06
2.800000e+02	2.900000e+02	3.046821e-04	2.399140e-05	0.000000e+00
2.900000e+02	3.000000e+02	3.032068e-04	3.082140e-05	0.000000e+00
3.000000e+02	3.100000e+02	2.713899e-04	1.343160e-05	0.000000e+00
