# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.895195e-05	0.000000e+00	3.488170e-06
1.000000e+01	2.000000e+01	2.936849e-04	0.000000e+00	2.855520e-05
2.000000e+01	3.000000e+01	7.711080e-04	6.613620e-05	0.000000e+00
3.000000e+01	4.000000e+01	1.573356e-03	1.989740e-04	0.000000e+00
4.000000e+01	5.000000e+01	2.269125e-03	1.755550e-04	0.000000e+00
5.000000e+01	6.000000e+01	2.811016e-03	2.068770e-04	0.000000e+00
6.000000e+01	7.000000e+01	3.102140e-03	1.812540e-04	0.000000e+00
7.000000e+01	8.000000e+01	3.186493e-03	1.189000e-04	0.000000e+00
8.000000e+01	9.000000e+01	3.128156e-03	1.210200e-04	0.000000e+00
9.000000e+01	1.000000e+02	3.001743e-03	1.264410e-04	0.000000e+00
1.000000e+02	1.100000e+02	2.765426e-03	4.167800e-05	0.000000e+00
1.100000e+02	1.200000e+02	2.546744e-03	6.161700e-05	0.000000e+00
1.200000e+02	1.300000e+02	2.262444e-03	0.000000e+00	2.196300e-05
1.300000e+02	1.400000e+02	2.014498e-03	0.000000e+00	2.079800e-05
1.400000e+02	1.500000e+02	1.819682e-03	3.325200e-05	0.000000e+00
1.500000e+02	1.600000e+02	1.604442e-03	1.882400e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.397811e-03	6.474000e-06	3.256900e-05
1.700000e+02	1.800000e+02	1.231089e-03	0.000000e+00	1.422600e-05
1.800000e+02	1.900000e+02	1.103426e-03	0.000000e+00	6.605000e-06
1.900000e+02	2.000000e+02	9.543674e-04	0.000000e+00	1.683480e-05
2.000000e+02	2.100000e+02	8.765926e-04	3.350790e-05	0.000000e+00
2.100000e+02	2.200000e+02	7.595305e-04	5.691300e-06	2.949500e-06
2.200000e+02	2.300000e+02	6.378385e-04	0.000000e+00	2.314730e-05
2.300000e+02	2.400000e+02	5.519222e-04	0.000000e+00	4.199670e-05
2.400000e+02	2.500000e+02	4.855089e-04	0.000000e+00	8.100650e-05
2.500000e+02	2.600000e+02	4.342566e-04	0.000000e+00	3.466220e-05
2.600000e+02	2.700000e+02	3.468738e-04	0.000000e+00	7.890260e-05
2.700000e+02	2.800000e+02	3.660740e-04	1.371330e-05	9.631500e-06
2.800000e+02	2.900000e+02	3.283872e-04	5.215500e-06	6.691800e-06
2.900000e+02	3.000000e+02	2.797915e-04	1.336500e-06	6.217000e-06
3.000000e+02	3.100000e+02	2.886501e-04	3.341230e-05	0.000000e+00
3.100000e+02	3.200000e+02	2.115722e-04	0.000000e+00	2.158310e-05
3.200000e+02	3.300000e+02	2.114410e-04	2.723520e-05	6.514000e-06
3.300000e+02	3.400000e+02	1.775955e-04	0.000000e+00	1.660920e-05
3.400000e+02	3.500000e+02	1.789762e-04	1.435510e-05	9.212700e-06
3.500000e+02	3.600000e+02	1.325986e-04	0.000000e+00	3.685250e-05
3.600000e+02	3.700000e+02	1.308165e-04	0.000000e+00	1.862150e-05
3.700000e+02	3.800000e+02	1.162926e-04	0.000000e+00	8.240200e-06
3.800000e+02	3.900000e+02	1.244282e-04	2.744649e-05	0.000000e+00
3.900000e+02	4.000000e+02	9.815813e-05	7.274880e-06	0.000000e+00
4.000000e+02	4.100000e+02	9.088846e-05	1.518527e-05	0.000000e+00
4.100000e+02	4.200000e+02	8.310408e-05	8.832040e-06	1.119650e-05
4.200000e+02	4.300000e+02	7.077567e-05	2.382780e-06	1.032351e-05
4.300000e+02	4.400000e+02	7.059242e-05	2.753330e-06	1.252910e-05
4.400000e+02	4.500000e+02	6.444747e-05	1.023636e-05	3.258670e-06
4.500000e+02	4.600000e+02	5.218645e-05	0.000000e+00	9.902880e-06
4.600000e+02	4.700000e+02	5.071051e-05	9.440540e-06	1.117786e-05
4.700000e+02	4.800000e+02	4.023781e-05	2.601690e-06	8.636920e-06
4.800000e+02	4.900000e+02	4.300779e-05	3.462760e-06	2.564160e-06
4.900000e+02	5.000000e+02	3.714622e-05	9.145300e-07	3.037900e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.596200e-05	0.000000e+00	1.131996e-05
1.000000e+01	2.000000e+01	2.384975e-04	0.000000e+00	3.094990e-05
2.000000e+01	3.000000e+01	7.048394e-04	4.106940e-05	0.000000e+00
3.000000e+01	4.000000e+01	1.567499e-03	2.139350e-04	0.000000e+00
4.000000e+01	5.000000e+01	2.346975e-03	2.694640e-04	0.000000e+00
5.000000e+01	6.000000e+01	2.911764e-03	2.672280e-04	0.000000e+00
6.000000e+01	7.000000e+01	3.224380e-03	2.355630e-04	0.000000e+00
7.000000e+01	8.000000e+01	3.320668e-03	1.953610e-04	0.000000e+00
8.000000e+01	9.000000e+01	3.252732e-03	1.605780e-04	0.000000e+00
9.000000e+01	1.000000e+02	3.075776e-03	1.218270e-04	0.000000e+00
1.000000e+02	1.100000e+02	2.836793e-03	8.921900e-05	0.000000e+00
1.100000e+02	1.200000e+02	2.570146e-03	6.257500e-05	0.000000e+00
1.200000e+02	1.300000e+02	2.299638e-03	3.997000e-05	0.000000e+00
1.300000e+02	1.400000e+02	2.041941e-03	2.243000e-05	0.000000e+00
1.400000e+02	1.500000e+02	1.799017e-03	7.992000e-06	3.165000e-06
1.500000e+02	1.600000e+02	1.587601e-03	3.059000e-06	1.798000e-06
1.600000e+02	1.700000e+02	1.393946e-03	0.000000e+00	6.179000e-06
1.700000e+02	1.800000e+02	1.220917e-03	0.000000e+00	7.376000e-06
1.800000e+02	1.900000e+02	1.071868e-03	0.000000e+00	1.111000e-05
1.900000e+02	2.000000e+02	9.387810e-04	0.000000e+00	1.008530e-05
2.000000e+02	2.100000e+02	8.235702e-04	0.000000e+00	1.418020e-05
2.100000e+02	2.200000e+02	7.232656e-04	0.000000e+00	1.353730e-05
2.200000e+02	2.300000e+02	6.381813e-04	0.000000e+00	1.135160e-05
2.300000e+02	2.400000e+02	5.608371e-04	0.000000e+00	1.154670e-05
2.400000e+02	2.500000e+02	4.958321e-04	0.000000e+00	1.077400e-05
2.500000e+02	2.600000e+02	4.382533e-04	0.000000e+00	1.061510e-05
2.600000e+02	2.700000e+02	3.882484e-04	0.000000e+00	8.306800e-06
2.700000e+02	2.800000e+02	3.444732e-04	0.000000e+00	8.230600e-06
2.800000e+02	2.900000e+02	3.055855e-04	0.000000e+00	8.850600e-06
2.900000e+02	3.000000e+02	2.716314e-04	0.000000e+00	8.796900e-06
3.000000e+02	3.100000e+02	2.423796e-04	0.000000e+00	7.611600e-06
3.100000e+02	3.200000e+02	2.161132e-04	0.000000e+00	6.877900e-06
3.200000e+02	3.300000e+02	1.924398e-04	0.000000e+00	7.504200e-06
3.300000e+02	3.400000e+02	1.725355e-04	0.000000e+00	6.165300e-06
3.400000e+02	3.500000e+02	1.549004e-04	0.000000e+00	5.446800e-06
3.500000e+02	3.600000e+02	1.392223e-04	0.000000e+00	4.275100e-06
3.600000e+02	3.700000e+02	1.254229e-04	0.000000e+00	3.931000e-06
3.700000e+02	3.800000e+02	1.127450e-04	0.000000e+00	4.005000e-06
3.800000e+02	3.900000e+02	1.014109e-04	0.000000e+00	4.154900e-06
3.900000e+02	4.000000e+02	9.170373e-05	0.000000e+00	3.567420e-06
4.000000e+02	4.100000e+02	8.284632e-05	0.000000e+00	2.961490e-06
4.100000e+02	4.200000e+02	7.473421e-05	0.000000e+00	2.952980e-06
4.200000e+02	4.300000e+02	6.853620e-05	0.000000e+00	2.212420e-06
4.300000e+02	4.400000e+02	6.188375e-05	0.000000e+00	1.877630e-06
4.400000e+02	4.500000e+02	5.574225e-05	0.000000e+00	2.171450e-06
4.500000e+02	4.600000e+02	5.055671e-05	0.000000e+00	2.161450e-06
4.600000e+02	4.700000e+02	4.602354e-05	0.000000e+00	1.975660e-06
4.700000e+02	4.800000e+02	4.213804e-05	0.000000e+00	1.649640e-06
4.800000e+02	4.900000e+02	3.826890e-05	0.000000e+00	1.750660e-06
4.900000e+02	5.000000e+02	3.508380e-05	0.000000e+00	1.505160e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
