# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hjj_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/Hjj_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.800000e+00	-6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.600000e+00	-6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.400000e+00	-6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.200000e+00	-6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-6.000000e+00	-5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.800000e+00	-5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.600000e+00	-5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.400000e+00	-5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.200000e+00	-5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	9.111780e-12	1.668080e-12	7.580890e-12
-3.600000e+00	-3.400000e+00	7.036565e-08	1.260180e-08	0.000000e+00
-3.400000e+00	-3.200000e+00	3.517469e-06	1.895150e-07	0.000000e+00
-3.200000e+00	-3.000000e+00	4.408351e-05	5.092575e-06	0.000000e+00
-3.000000e+00	-2.800000e+00	2.698273e-04	1.392525e-05	0.000000e+00
-2.800000e+00	-2.600000e+00	1.022326e-03	8.159700e-05	0.000000e+00
-2.600000e+00	-2.400000e+00	2.912225e-03	3.475690e-04	0.000000e+00
-2.400000e+00	-2.200000e+00	6.568285e-03	5.127700e-04	0.000000e+00
-2.200000e+00	-2.000000e+00	1.269145e-02	6.465900e-04	0.000000e+00
-2.000000e+00	-1.800000e+00	2.212112e-02	1.307070e-03	0.000000e+00
-1.800000e+00	-1.600000e+00	3.535306e-02	1.746505e-03	0.000000e+00
-1.600000e+00	-1.400000e+00	5.191200e-02	2.204900e-03	0.000000e+00
-1.400000e+00	-1.200000e+00	7.169275e-02	2.091150e-03	0.000000e+00
-1.200000e+00	-1.000000e+00	9.510410e-02	2.926600e-03	0.000000e+00
-1.000000e+00	-8.000000e-01	1.220673e-01	4.095500e-03	0.000000e+00
-8.000000e-01	-6.000000e-01	1.476856e-01	1.470550e-03	5.810000e-05
-6.000000e-01	-4.000000e-01	1.736784e-01	9.069500e-04	0.000000e+00
-4.000000e-01	-2.000000e-01	1.915886e-01	1.327100e-03	3.975700e-03
-2.000000e-01	0.000000e+00	2.068630e-01	4.031350e-03	0.000000e+00
0.000000e+00	2.000000e-01	2.074632e-01	6.366950e-03	0.000000e+00
2.000000e-01	4.000000e-01	1.960286e-01	5.729950e-03	0.000000e+00
4.000000e-01	6.000000e-01	1.720158e-01	1.833350e-03	1.838700e-03
6.000000e-01	8.000000e-01	1.471702e-01	2.136500e-03	6.640500e-04
8.000000e-01	1.000000e+00	1.214050e-01	0.000000e+00	6.340050e-03
1.000000e+00	1.200000e+00	9.679250e-02	3.348650e-03	0.000000e+00
1.200000e+00	1.400000e+00	7.179270e-02	1.341100e-03	0.000000e+00
