# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{h,j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	8.932416e-04	1.058245e-04	2.933906e-05
1.047198e-01	2.094395e-01	9.053224e-04	4.335287e-06	7.587980e-05
2.094395e-01	3.141593e-01	9.118617e-04	0.000000e+00	1.349556e-04
3.141594e-01	4.188790e-01	9.240576e-04	0.000000e+00	1.004058e-04
4.188790e-01	5.235988e-01	9.731436e-04	0.000000e+00	1.045648e-04
5.235989e-01	6.283186e-01	1.024174e-03	0.000000e+00	1.212341e-04
6.283185e-01	7.330383e-01	9.538974e-04	0.000000e+00	3.356382e-04
7.330384e-01	8.377581e-01	1.130392e-03	0.000000e+00	1.038047e-04
8.377580e-01	9.424778e-01	1.206181e-03	0.000000e+00	2.209343e-04
9.424778e-01	1.047198e+00	1.391582e-03	0.000000e+00	2.236197e-04
1.047197e+00	1.151917e+00	1.531638e-03	0.000000e+00	2.556738e-04
1.151917e+00	1.256637e+00	1.748946e-03	0.000000e+00	2.956522e-04
1.256637e+00	1.361357e+00	1.907362e-03	0.000000e+00	3.267275e-04
1.361357e+00	1.466077e+00	2.043279e-03	0.000000e+00	3.596944e-04
1.466076e+00	1.570796e+00	2.452377e-03	0.000000e+00	6.964304e-04
1.570796e+00	1.675516e+00	3.021207e-03	0.000000e+00	7.715355e-04
1.675516e+00	1.780236e+00	3.730732e-03	0.000000e+00	6.079106e-04
1.780236e+00	1.884956e+00	4.676049e-03	0.000000e+00	8.912128e-04
1.884955e+00	1.989675e+00	6.033914e-03	0.000000e+00	7.923882e-04
1.989675e+00	2.094395e+00	7.686485e-03	0.000000e+00	2.261367e-03
2.094395e+00	2.199115e+00	1.175650e-02	3.669882e-04	2.306207e-03
2.199115e+00	2.303835e+00	1.501611e-02	0.000000e+00	2.800497e-03
2.303834e+00	2.408554e+00	2.268334e-02	0.000000e+00	5.750733e-03
2.408554e+00	2.513274e+00	3.489022e-02	0.000000e+00	5.232678e-03
2.513274e+00	2.617994e+00	5.618503e-02	0.000000e+00	9.088092e-03
2.617994e+00	2.722714e+00	9.918497e-02	0.000000e+00	1.281169e-02
2.722713e+00	2.827433e+00	1.820649e-01	0.000000e+00	1.876823e-02
2.827433e+00	2.932153e+00	3.507847e-01	0.000000e+00	3.135504e-02
2.932153e+00	3.036873e+00	7.654241e-01	0.000000e+00	5.988665e-02
3.036873e+00	3.141593e+00	2.774886e+00	2.308155e-01	0.000000e+00
# END HISTO1D


