# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$m_{j_3j_4}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	3.519685e-06	1.704378e-06	1.506575e-07
1.200000e+01	1.600000e+01	7.602940e-05	5.072150e-06	1.227500e-06
1.600000e+01	2.000000e+01	2.124773e-04	7.652275e-06	1.332778e-05
2.000000e+01	2.400000e+01	3.230820e-04	0.000000e+00	6.115100e-05
2.400000e+01	2.800000e+01	3.619810e-04	0.000000e+00	7.940800e-05
2.800000e+01	3.200000e+01	3.752640e-04	0.000000e+00	6.879075e-05
3.200000e+01	3.600000e+01	4.039010e-04	0.000000e+00	7.265900e-05
3.600000e+01	4.000000e+01	3.833618e-04	0.000000e+00	3.373525e-05
4.000000e+01	4.400000e+01	3.793960e-04	0.000000e+00	4.471475e-05
4.400000e+01	4.800000e+01	3.522883e-04	0.000000e+00	1.034347e-04
4.800000e+01	5.200000e+01	3.636268e-04	0.000000e+00	8.500575e-05
5.200000e+01	5.600000e+01	3.801882e-04	0.000000e+00	5.766775e-05
5.600000e+01	6.000000e+01	3.593408e-04	0.000000e+00	6.221625e-05
6.000000e+01	6.400000e+01	3.797560e-04	0.000000e+00	3.403750e-05
6.400000e+01	6.800000e+01	3.710030e-04	0.000000e+00	6.563250e-05
6.800000e+01	7.200000e+01	3.741527e-04	0.000000e+00	4.313375e-05
7.200000e+01	7.600000e+01	3.579822e-04	0.000000e+00	1.963475e-05
7.600000e+01	8.000000e+01	3.385387e-04	0.000000e+00	3.935175e-05
8.000000e+01	8.400000e+01	3.270003e-04	0.000000e+00	4.148100e-05
8.400000e+01	8.800000e+01	3.193237e-04	0.000000e+00	3.914250e-05
8.800000e+01	9.200000e+01	3.158278e-04	0.000000e+00	6.019375e-05
9.200000e+01	9.600000e+01	2.853435e-04	0.000000e+00	5.235525e-05
9.600000e+01	1.000000e+02	2.669195e-04	0.000000e+00	5.181750e-05
1.000000e+02	1.040000e+02	2.704983e-04	0.000000e+00	4.304300e-05
1.040000e+02	1.080000e+02	2.630243e-04	0.000000e+00	1.734225e-05
1.080000e+02	1.120000e+02	2.507480e-04	0.000000e+00	2.251150e-05
1.120000e+02	1.160000e+02	2.385256e-04	0.000000e+00	3.183185e-05
1.160000e+02	1.200000e+02	2.353646e-04	0.000000e+00	1.006863e-05
1.200000e+02	1.240000e+02	2.026325e-04	0.000000e+00	4.799527e-05
1.240000e+02	1.280000e+02	2.009933e-04	0.000000e+00	2.786847e-05
1.280000e+02	1.320000e+02	1.875250e-04	0.000000e+00	2.413722e-05
1.320000e+02	1.360000e+02	1.903626e-04	0.000000e+00	2.814935e-05
1.360000e+02	1.400000e+02	1.760751e-04	0.000000e+00	3.581922e-05
1.400000e+02	1.440000e+02	1.600316e-04	0.000000e+00	4.594207e-05
1.440000e+02	1.480000e+02	1.648861e-04	0.000000e+00	1.600462e-05
1.480000e+02	1.520000e+02	1.615653e-04	0.000000e+00	3.076025e-05
1.520000e+02	1.560000e+02	1.650713e-04	1.481353e-05	1.977355e-05
1.560000e+02	1.600000e+02	1.497513e-04	0.000000e+00	2.847668e-05
1.600000e+02	1.640000e+02	1.497602e-04	2.744025e-06	1.123567e-05
1.640000e+02	1.680000e+02	1.356304e-04	0.000000e+00	3.307020e-05
1.680000e+02	1.720000e+02	1.323455e-04	0.000000e+00	1.983843e-05
1.720000e+02	1.760000e+02	1.323141e-04	0.000000e+00	1.149108e-05
1.760000e+02	1.800000e+02	1.339245e-04	2.889375e-06	0.000000e+00
1.800000e+02	1.840000e+02	1.236582e-04	3.297175e-06	1.195903e-05
1.840000e+02	1.880000e+02	1.328535e-04	0.000000e+00	1.277010e-05
1.880000e+02	1.920000e+02	1.145322e-04	0.000000e+00	5.405848e-04
1.920000e+02	1.960000e+02	1.012969e-04	0.000000e+00	2.268887e-05
1.960000e+02	2.000000e+02	1.009956e-04	0.000000e+00	5.475975e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.349765e-06	3.930090e-07	0.000000e+00
1.200000e+01	1.600000e+01	5.807612e-05	4.065350e-06	3.888825e-06
1.600000e+01	2.000000e+01	1.579598e-04	0.000000e+00	3.378947e-05
2.000000e+01	2.400000e+01	2.319030e-04	0.000000e+00	7.051655e-05
2.400000e+01	2.800000e+01	2.744212e-04	0.000000e+00	9.050500e-05
2.800000e+01	3.200000e+01	2.873812e-04	0.000000e+00	1.022152e-04
3.200000e+01	3.600000e+01	2.877870e-04	0.000000e+00	1.048090e-04
3.600000e+01	4.000000e+01	2.828665e-04	0.000000e+00	1.010852e-04
4.000000e+01	4.400000e+01	2.747517e-04	0.000000e+00	9.776100e-05
4.400000e+01	4.800000e+01	2.666663e-04	0.000000e+00	9.424450e-05
4.800000e+01	5.200000e+01	2.627238e-04	0.000000e+00	8.703725e-05
5.200000e+01	5.600000e+01	2.583508e-04	0.000000e+00	8.726425e-05
5.600000e+01	6.000000e+01	2.575032e-04	0.000000e+00	8.486700e-05
6.000000e+01	6.400000e+01	2.531857e-04	0.000000e+00	8.164675e-05
6.400000e+01	6.800000e+01	2.473522e-04	0.000000e+00	7.929577e-05
6.800000e+01	7.200000e+01	2.404394e-04	0.000000e+00	7.565012e-05
7.200000e+01	7.600000e+01	2.317458e-04	0.000000e+00	7.139740e-05
7.600000e+01	8.000000e+01	2.246210e-04	0.000000e+00	6.935427e-05
8.000000e+01	8.400000e+01	2.143524e-04	0.000000e+00	6.667563e-05
8.400000e+01	8.800000e+01	2.064833e-04	0.000000e+00	6.100425e-05
8.800000e+01	9.200000e+01	1.967843e-04	0.000000e+00	6.063618e-05
9.200000e+01	9.600000e+01	1.891678e-04	0.000000e+00	5.704305e-05
9.600000e+01	1.000000e+02	1.802079e-04	0.000000e+00	5.622992e-05
1.000000e+02	1.040000e+02	1.723383e-04	0.000000e+00	5.315002e-05
1.040000e+02	1.080000e+02	1.655178e-04	0.000000e+00	5.106963e-05
1.080000e+02	1.120000e+02	1.582247e-04	0.000000e+00	4.905665e-05
1.120000e+02	1.160000e+02	1.500487e-04	0.000000e+00	4.654357e-05
1.160000e+02	1.200000e+02	1.446826e-04	0.000000e+00	4.420623e-05
1.200000e+02	1.240000e+02	1.388362e-04	0.000000e+00	4.318405e-05
1.240000e+02	1.280000e+02	1.324501e-04	0.000000e+00	4.011980e-05
1.280000e+02	1.320000e+02	1.269158e-04	0.000000e+00	3.948798e-05
1.320000e+02	1.360000e+02	1.223878e-04	0.000000e+00	3.731032e-05
1.360000e+02	1.400000e+02	1.181373e-04	0.000000e+00	3.603855e-05
1.400000e+02	1.440000e+02	1.135255e-04	0.000000e+00	3.475040e-05
1.440000e+02	1.480000e+02	1.098595e-04	0.000000e+00	3.217990e-05
1.480000e+02	1.520000e+02	1.052838e-04	0.000000e+00	3.379855e-05
1.520000e+02	1.560000e+02	1.020532e-04	0.000000e+00	3.158910e-05
1.560000e+02	1.600000e+02	9.768653e-05	0.000000e+00	3.110580e-05
1.600000e+02	1.640000e+02	9.531195e-05	0.000000e+00	2.890695e-05
1.640000e+02	1.680000e+02	9.241565e-05	0.000000e+00	2.774398e-05
1.680000e+02	1.720000e+02	8.851855e-05	0.000000e+00	2.792550e-05
1.720000e+02	1.760000e+02	8.633085e-05	0.000000e+00	2.645832e-05
1.760000e+02	1.800000e+02	8.273008e-05	0.000000e+00	2.676433e-05
1.800000e+02	1.840000e+02	8.069733e-05	0.000000e+00	2.556177e-05
1.840000e+02	1.880000e+02	7.877688e-05	0.000000e+00	2.413595e-05
1.880000e+02	1.920000e+02	7.586222e-05	0.000000e+00	2.414225e-05
1.920000e+02	1.960000e+02	7.402625e-05	0.000000e+00	2.427465e-05
1.960000e+02	2.000000e+02	7.132108e-05	0.000000e+00	2.318265e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
