# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jfjb
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	2.635447e-03	0.000000e+00	1.995770e-04
-3.036873e+00	-2.932153e+00	3.177422e-03	0.000000e+00	2.517676e-04
-2.932153e+00	-2.827433e+00	4.258426e-03	0.000000e+00	2.986698e-04
-2.827433e+00	-2.722713e+00	5.843645e-03	2.201702e-05	2.580181e-04
-2.722714e+00	-2.617994e+00	7.622114e-03	0.000000e+00	1.901003e-04
-2.617994e+00	-2.513274e+00	9.666721e-03	0.000000e+00	3.795646e-04
-2.513274e+00	-2.408554e+00	1.173056e-02	0.000000e+00	1.423128e-04
-2.408554e+00	-2.303834e+00	1.393129e-02	0.000000e+00	1.929736e-04
-2.303835e+00	-2.199115e+00	1.569082e-02	0.000000e+00	3.360199e-04
-2.199115e+00	-2.094395e+00	1.784119e-02	1.171505e-04	0.000000e+00
-2.094395e+00	-1.989675e+00	1.926244e-02	2.297746e-04	0.000000e+00
-1.989675e+00	-1.884955e+00	2.028729e-02	3.166761e-04	9.100545e-05
-1.884956e+00	-1.780236e+00	2.109432e-02	1.775019e-04	0.000000e+00
-1.780236e+00	-1.675516e+00	2.096643e-02	2.797937e-05	1.248644e-03
-1.675516e+00	-1.570796e+00	2.088754e-02	0.000000e+00	6.134549e-04
-1.570796e+00	-1.466076e+00	2.037211e-02	8.945846e-05	3.341991e-04
-1.466077e+00	-1.361357e+00	1.966297e-02	2.730997e-04	1.194614e-04
-1.361357e+00	-1.256637e+00	1.807204e-02	0.000000e+00	9.491692e-04
-1.256637e+00	-1.151917e+00	1.707060e-02	0.000000e+00	2.067036e-04
-1.151917e+00	-1.047197e+00	1.547783e-02	0.000000e+00	2.023224e-04
-1.047198e+00	-9.424778e-01	1.378718e-02	2.966667e-04	2.935823e-04
-9.424778e-01	-8.377580e-01	1.184327e-02	2.205791e-04	0.000000e+00
-8.377581e-01	-7.330384e-01	1.005358e-02	0.000000e+00	2.061408e-04
-7.330383e-01	-6.283185e-01	8.304256e-03	0.000000e+00	2.195487e-04
-6.283186e-01	-5.235989e-01	6.774128e-03	0.000000e+00	1.009151e-04
-5.235988e-01	-4.188790e-01	5.274813e-03	0.000000e+00	2.519867e-04
-4.188790e-01	-3.141594e-01	4.149548e-03	4.020351e-05	1.080026e-06
-3.141593e-01	-2.094395e-01	3.177271e-03	0.000000e+00	9.326126e-05
-2.094395e-01	-1.047198e-01	2.563432e-03	0.000000e+00	1.378184e-04
