# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
XLabel=$p_{T,j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_2}^{incl}$ (pb/GeV)
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet2_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.862072e-04	0.000000e+00	3.041320e-05
3.000000e+01	4.000000e+01	5.489406e-04	0.000000e+00	7.015550e-05
4.000000e+01	5.000000e+01	7.437037e-04	0.000000e+00	4.887030e-05
5.000000e+01	6.000000e+01	8.419450e-04	0.000000e+00	2.880150e-05
6.000000e+01	7.000000e+01	8.360597e-04	3.083800e-06	3.072800e-06
7.000000e+01	8.000000e+01	7.576240e-04	4.107500e-06	7.794900e-06
8.000000e+01	9.000000e+01	6.614114e-04	1.268350e-05	0.000000e+00
9.000000e+01	1.000000e+02	5.693884e-04	3.099710e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.560198e-04	1.177540e-05	4.374400e-06
1.100000e+02	1.200000e+02	3.713419e-04	1.195090e-05	2.729600e-06
1.200000e+02	1.300000e+02	2.980222e-04	9.284900e-06	0.000000e+00
1.300000e+02	1.400000e+02	2.369910e-04	8.077500e-06	0.000000e+00
1.400000e+02	1.500000e+02	1.899919e-04	9.366800e-06	0.000000e+00
1.500000e+02	1.600000e+02	1.513081e-04	1.960220e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.212707e-04	9.740000e-08	7.372000e-06
1.700000e+02	1.800000e+02	9.300699e-05	4.158330e-06	0.000000e+00
1.800000e+02	1.900000e+02	6.892630e-05	0.000000e+00	1.076719e-05
1.900000e+02	2.000000e+02	6.177105e-05	6.255460e-06	0.000000e+00
2.000000e+02	2.100000e+02	4.636268e-05	1.095790e-06	0.000000e+00
2.100000e+02	2.200000e+02	3.728598e-05	0.000000e+00	3.035200e-06
2.200000e+02	2.300000e+02	2.863165e-05	1.316090e-06	0.000000e+00
2.300000e+02	2.400000e+02	2.315834e-05	1.543860e-06	0.000000e+00
2.400000e+02	2.500000e+02	1.915289e-05	1.814380e-06	0.000000e+00
2.500000e+02	2.600000e+02	1.463275e-05	1.840760e-06	1.401250e-06
2.600000e+02	2.700000e+02	1.170709e-05	2.623223e-06	0.000000e+00
2.700000e+02	2.800000e+02	8.870568e-06	0.000000e+00	8.642740e-07
2.800000e+02	2.900000e+02	7.073357e-06	6.046680e-07	3.097220e-07
2.900000e+02	3.000000e+02	5.406937e-06	3.643830e-07	5.019050e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.941801e-04	0.000000e+00	3.076030e-05
3.000000e+01	4.000000e+01	5.636197e-04	0.000000e+00	5.797950e-05
4.000000e+01	5.000000e+01	7.446532e-04	0.000000e+00	4.445940e-05
5.000000e+01	6.000000e+01	8.279861e-04	0.000000e+00	2.686930e-05
6.000000e+01	7.000000e+01	8.144627e-04	0.000000e+00	9.804100e-06
7.000000e+01	8.000000e+01	7.420387e-04	3.736900e-06	2.921800e-06
8.000000e+01	9.000000e+01	6.461926e-04	1.167690e-05	2.265000e-07
9.000000e+01	1.000000e+02	5.452161e-04	1.445310e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.507514e-04	1.384310e-05	0.000000e+00
1.100000e+02	1.200000e+02	3.668035e-04	1.320460e-05	0.000000e+00
1.200000e+02	1.300000e+02	2.949460e-04	1.009070e-05	0.000000e+00
1.300000e+02	1.400000e+02	2.375339e-04	1.123870e-05	0.000000e+00
1.400000e+02	1.500000e+02	1.887197e-04	8.075600e-06	0.000000e+00
1.500000e+02	1.600000e+02	1.500309e-04	5.690800e-06	0.000000e+00
1.600000e+02	1.700000e+02	1.193908e-04	5.303200e-06	0.000000e+00
1.700000e+02	1.800000e+02	9.488141e-05	4.184350e-06	0.000000e+00
1.800000e+02	1.900000e+02	7.515615e-05	3.524290e-06	0.000000e+00
1.900000e+02	2.000000e+02	5.947512e-05	2.589420e-06	0.000000e+00
2.000000e+02	2.100000e+02	4.708092e-05	2.007630e-06	0.000000e+00
2.100000e+02	2.200000e+02	3.753526e-05	1.507320e-06	0.000000e+00
2.200000e+02	2.300000e+02	2.973108e-05	1.287410e-06	0.000000e+00
2.300000e+02	2.400000e+02	2.356950e-05	9.057400e-07	5.963000e-08
2.400000e+02	2.500000e+02	1.883906e-05	7.698700e-07	5.320000e-09
2.500000e+02	2.600000e+02	1.506058e-05	6.444700e-07	0.000000e+00
2.600000e+02	2.700000e+02	1.201827e-05	4.172400e-07	1.441000e-07
2.700000e+02	2.800000e+02	9.562344e-06	2.827730e-07	0.000000e+00
2.800000e+02	2.900000e+02	7.622331e-06	3.547450e-07	3.082800e-08
2.900000e+02	3.000000e+02	6.092540e-06	1.833670e-07	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_pT_incl
RatioPlotSameStyle=1
Title=h(2*)-FO
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.714880e-04	0.000000e+00	1.321530e-05
3.000000e+01	4.000000e+01	5.110350e-04	0.000000e+00	3.224490e-05
4.000000e+01	5.000000e+01	7.023591e-04	0.000000e+00	2.935900e-05
5.000000e+01	6.000000e+01	8.033797e-04	0.000000e+00	5.039110e-05
6.000000e+01	7.000000e+01	8.163065e-04	0.000000e+00	1.089660e-05
7.000000e+01	8.000000e+01	7.513693e-04	6.444500e-06	3.982000e-07
8.000000e+01	9.000000e+01	6.622026e-04	0.000000e+00	1.298450e-05
9.000000e+01	1.000000e+02	5.535753e-04	0.000000e+00	1.433180e-05
1.000000e+02	1.100000e+02	4.808442e-04	2.524810e-05	0.000000e+00
1.100000e+02	1.200000e+02	3.769137e-04	0.000000e+00	8.056400e-06
1.200000e+02	1.300000e+02	3.122967e-04	2.781000e-07	0.000000e+00
1.300000e+02	1.400000e+02	2.559886e-04	3.108100e-06	9.576000e-07
1.400000e+02	1.500000e+02	2.025815e-04	1.727860e-05	0.000000e+00
1.500000e+02	1.600000e+02	1.598036e-04	0.000000e+00	6.367400e-06
1.600000e+02	1.700000e+02	1.269792e-04	1.568100e-06	0.000000e+00
1.700000e+02	1.800000e+02	1.003366e-04	3.970600e-07	1.114000e-07
1.800000e+02	1.900000e+02	8.596584e-05	1.410130e-06	6.346900e-07
1.900000e+02	2.000000e+02	6.506634e-05	6.497140e-06	0.000000e+00
2.000000e+02	2.100000e+02	5.507731e-05	3.023290e-06	0.000000e+00
2.100000e+02	2.200000e+02	3.524982e-05	0.000000e+00	9.550660e-06
2.200000e+02	2.300000e+02	3.443390e-05	1.001722e-05	0.000000e+00
2.300000e+02	2.400000e+02	2.770096e-05	3.746300e-06	7.815200e-07
2.400000e+02	2.500000e+02	2.062644e-05	0.000000e+00	1.544630e-06
2.500000e+02	2.600000e+02	1.997822e-05	2.303200e-06	0.000000e+00
2.600000e+02	2.700000e+02	1.208726e-05	1.953200e-06	3.001010e-06
2.700000e+02	2.800000e+02	9.985856e-06	9.228100e-08	3.472400e-08
2.800000e+02	2.900000e+02	9.243405e-06	1.477365e-06	9.755850e-07
2.900000e+02	3.000000e+02	5.283393e-06	0.000000e+00	2.117947e-06
# END HISTO1D

