# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$p_{T,>Njets}$ (GeV)
LegendAlign=r
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  p_{T,>Njets}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_j_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.552889e-04	7.786370e-05	1.330411e-04
3.000000e+01	4.000000e+01	1.632097e-03	1.139800e-04	9.627300e-05
4.000000e+01	5.000000e+01	1.457048e-03	6.952000e-05	7.266500e-05
5.000000e+01	6.000000e+01	1.394822e-03	6.119500e-05	3.011800e-05
6.000000e+01	7.000000e+01	1.320848e-03	3.404600e-05	0.000000e+00
7.000000e+01	8.000000e+01	1.246127e-03	2.181700e-05	3.756000e-06
8.000000e+01	9.000000e+01	1.165275e-03	2.219900e-05	0.000000e+00
9.000000e+01	1.000000e+02	1.055003e-03	1.411200e-05	0.000000e+00
1.000000e+02	1.100000e+02	9.595765e-04	1.394000e-05	0.000000e+00
1.100000e+02	1.200000e+02	8.573788e-04	2.258920e-05	1.383700e-06
1.200000e+02	1.300000e+02	7.738869e-04	9.950000e-06	2.205100e-06
1.300000e+02	1.400000e+02	6.824175e-04	6.314300e-06	1.031420e-05
1.400000e+02	1.500000e+02	6.143531e-04	1.187070e-05	6.698000e-07
1.500000e+02	1.600000e+02	5.495641e-04	1.339560e-05	0.000000e+00
1.600000e+02	1.700000e+02	4.904696e-04	3.007060e-05	0.000000e+00
1.700000e+02	1.800000e+02	4.300485e-04	7.932000e-06	0.000000e+00
1.800000e+02	1.900000e+02	3.876374e-04	1.010570e-05	4.947400e-06
1.900000e+02	2.000000e+02	3.427259e-04	3.701800e-06	7.394000e-07
2.000000e+02	2.100000e+02	3.064915e-04	1.069850e-05	0.000000e+00
2.100000e+02	2.200000e+02	2.672607e-04	0.000000e+00	2.081400e-06
2.200000e+02	2.300000e+02	2.398230e-04	5.765900e-06	6.320000e-07
2.300000e+02	2.400000e+02	2.195792e-04	2.063300e-06	6.060800e-06
2.400000e+02	2.500000e+02	1.961545e-04	1.098400e-06	4.884900e-06
2.500000e+02	2.600000e+02	1.709521e-04	1.494000e-07	3.827000e-07
2.600000e+02	2.700000e+02	1.554522e-04	1.248400e-06	3.158800e-05
2.700000e+02	2.800000e+02	1.395828e-04	0.000000e+00	3.131810e-05
2.800000e+02	2.900000e+02	1.315552e-04	9.460400e-06	0.000000e+00
2.900000e+02	3.000000e+02	1.135141e-04	3.997400e-06	2.308090e-05
3.000000e+02	3.100000e+02	1.015824e-04	1.248200e-06	3.995000e-07
3.100000e+02	3.200000e+02	9.310912e-05	3.792480e-06	1.882200e-07
3.200000e+02	3.300000e+02	8.413284e-05	4.381490e-06	0.000000e+00
3.300000e+02	3.400000e+02	7.556298e-05	1.449172e-05	0.000000e+00
3.400000e+02	3.500000e+02	6.919358e-05	5.432120e-06	0.000000e+00
3.500000e+02	3.600000e+02	6.123233e-05	8.348350e-06	3.035880e-06
3.600000e+02	3.700000e+02	5.744051e-05	2.209020e-06	0.000000e+00
3.700000e+02	3.800000e+02	5.267674e-05	6.441020e-06	0.000000e+00
3.800000e+02	3.900000e+02	4.988059e-05	2.742730e-06	0.000000e+00
3.900000e+02	4.000000e+02	4.083862e-05	2.529680e-06	1.050400e-06
4.000000e+02	4.100000e+02	4.048377e-05	3.886350e-06	0.000000e+00
4.100000e+02	4.200000e+02	3.681066e-05	2.773820e-06	0.000000e+00
4.200000e+02	4.300000e+02	3.121763e-05	0.000000e+00	1.180290e-06
4.300000e+02	4.400000e+02	3.098286e-05	1.106410e-06	7.286900e-07
4.400000e+02	4.500000e+02	2.778220e-05	3.755990e-06	0.000000e+00
4.500000e+02	4.600000e+02	2.642751e-05	3.244910e-06	0.000000e+00
4.600000e+02	4.700000e+02	2.252195e-05	1.560620e-06	0.000000e+00
4.700000e+02	4.800000e+02	2.149206e-05	1.273800e-06	0.000000e+00
4.800000e+02	4.900000e+02	2.054677e-05	1.558180e-06	0.000000e+00
4.900000e+02	5.000000e+02	1.810074e-05	7.896190e-06	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.698306e-03	0.000000e+00	3.337420e-04
3.000000e+01	4.000000e+01	2.950523e-03	0.000000e+00	4.439890e-04
4.000000e+01	5.000000e+01	2.706418e-03	0.000000e+00	2.312070e-04
5.000000e+01	6.000000e+01	2.624310e-03	0.000000e+00	1.580810e-04
6.000000e+01	7.000000e+01	2.525150e-03	0.000000e+00	8.213400e-05
7.000000e+01	8.000000e+01	2.389637e-03	0.000000e+00	5.126600e-05
8.000000e+01	9.000000e+01	2.209745e-03	0.000000e+00	4.390500e-05
9.000000e+01	1.000000e+02	2.049704e-03	8.933000e-06	4.313000e-06
1.000000e+02	1.100000e+02	1.843664e-03	1.083800e-05	2.412500e-05
1.100000e+02	1.200000e+02	1.658768e-03	5.454300e-05	5.958000e-06
1.200000e+02	1.300000e+02	1.497807e-03	2.814000e-05	0.000000e+00
1.300000e+02	1.400000e+02	1.320127e-03	2.547500e-05	1.915300e-05
1.400000e+02	1.500000e+02	1.188695e-03	9.356000e-06	1.761000e-06
1.500000e+02	1.600000e+02	1.037234e-03	2.042300e-05	1.184500e-05
1.600000e+02	1.700000e+02	9.341618e-04	1.361700e-05	0.000000e+00
1.700000e+02	1.800000e+02	8.195031e-04	1.876050e-05	1.094400e-05
1.800000e+02	1.900000e+02	7.316638e-04	1.301620e-05	1.424800e-05
1.900000e+02	2.000000e+02	6.466394e-04	0.000000e+00	8.352500e-06
2.000000e+02	2.100000e+02	5.696282e-04	6.766700e-06	1.209580e-05
2.100000e+02	2.200000e+02	5.147639e-04	1.963280e-05	1.501980e-05
2.200000e+02	2.300000e+02	4.651165e-04	1.014760e-05	0.000000e+00
2.300000e+02	2.400000e+02	4.093902e-04	1.334370e-05	0.000000e+00
2.400000e+02	2.500000e+02	3.708167e-04	1.790600e-05	0.000000e+00
2.500000e+02	2.600000e+02	3.191283e-04	0.000000e+00	9.302200e-06
2.600000e+02	2.700000e+02	3.040483e-04	8.442700e-06	0.000000e+00
2.700000e+02	2.800000e+02	2.710929e-04	1.223280e-05	0.000000e+00
2.800000e+02	2.900000e+02	2.321311e-04	0.000000e+00	4.235500e-06
2.900000e+02	3.000000e+02	2.093153e-04	0.000000e+00	7.041100e-06
3.000000e+02	3.100000e+02	1.921127e-04	0.000000e+00	2.495100e-06
3.100000e+02	3.200000e+02	1.763384e-04	2.930800e-06	4.404000e-07
3.200000e+02	3.300000e+02	1.516236e-04	0.000000e+00	7.380800e-06
3.300000e+02	3.400000e+02	1.416808e-04	0.000000e+00	8.797700e-06
3.400000e+02	3.500000e+02	1.271141e-04	0.000000e+00	8.925000e-06
3.500000e+02	3.600000e+02	1.204438e-04	3.778100e-06	1.232900e-06
3.600000e+02	3.700000e+02	1.084393e-04	1.994800e-06	0.000000e+00
3.700000e+02	3.800000e+02	9.786742e-05	2.883080e-06	0.000000e+00
3.800000e+02	3.900000e+02	9.327559e-05	9.836060e-06	0.000000e+00
3.900000e+02	4.000000e+02	8.395177e-05	6.764570e-06	0.000000e+00
4.000000e+02	4.100000e+02	7.163604e-05	1.524333e-05	5.114220e-06
4.100000e+02	4.200000e+02	6.927238e-05	4.514710e-06	8.299200e-07
4.200000e+02	4.300000e+02	5.928041e-05	0.000000e+00	2.063067e-05
4.300000e+02	4.400000e+02	5.937097e-05	1.523815e-05	0.000000e+00
4.400000e+02	4.500000e+02	5.135874e-05	8.043500e-07	3.196750e-06
4.500000e+02	4.600000e+02	4.654808e-05	3.089490e-06	2.595130e-06
4.600000e+02	4.700000e+02	4.424960e-05	1.398860e-06	1.316020e-06
4.700000e+02	4.800000e+02	3.966588e-05	3.743520e-06	0.000000e+00
4.800000e+02	4.900000e+02	3.558899e-05	2.483940e-06	4.326680e-06
4.900000e+02	5.000000e+02	3.227607e-05	0.000000e+00	4.046430e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/H_j_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
