# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.907515e-06	1.036905e-06	0.000000e+00
1.000000e+01	2.000000e+01	2.819103e-05	2.225230e-06	2.487900e-07
2.000000e+01	3.000000e+01	4.483741e-05	1.946310e-06	1.601830e-06
3.000000e+01	4.000000e+01	5.793483e-05	5.166150e-06	1.475880e-06
4.000000e+01	5.000000e+01	6.754296e-05	9.174800e-07	4.806850e-06
5.000000e+01	6.000000e+01	7.591286e-05	3.630440e-06	0.000000e+00
6.000000e+01	7.000000e+01	7.865852e-05	5.587140e-06	0.000000e+00
7.000000e+01	8.000000e+01	7.644722e-05	1.366370e-06	6.806480e-06
8.000000e+01	9.000000e+01	8.044473e-05	5.642150e-06	6.442080e-06
9.000000e+01	1.000000e+02	7.615877e-05	4.407640e-06	2.942610e-06
1.000000e+02	1.100000e+02	7.437906e-05	4.635780e-06	2.730760e-06
1.100000e+02	1.200000e+02	6.907734e-05	4.466200e-07	1.568500e-07
1.200000e+02	1.300000e+02	6.883541e-05	2.745880e-06	1.294130e-06
1.300000e+02	1.400000e+02	6.837067e-05	3.942370e-06	2.074200e-07
1.400000e+02	1.500000e+02	6.565165e-05	2.299820e-06	1.030070e-06
1.500000e+02	1.600000e+02	6.476167e-05	3.851750e-06	1.043390e-06
1.600000e+02	1.700000e+02	6.086011e-05	2.177900e-07	6.248920e-06
1.700000e+02	1.800000e+02	5.956067e-05	1.182750e-06	1.304770e-06
1.800000e+02	1.900000e+02	6.265520e-05	6.742120e-06	0.000000e+00
1.900000e+02	2.000000e+02	5.513379e-05	1.489620e-06	1.565660e-06
2.000000e+02	2.100000e+02	5.325103e-05	1.959250e-06	0.000000e+00
2.100000e+02	2.200000e+02	5.175315e-05	3.825670e-06	1.415561e-05
2.200000e+02	2.300000e+02	4.689294e-05	7.657700e-07	1.094330e-06
2.300000e+02	2.400000e+02	4.028810e-05	0.000000e+00	3.732040e-06
2.400000e+02	2.500000e+02	4.183780e-05	1.213580e-06	4.472400e-07
2.500000e+02	2.600000e+02	4.049886e-05	5.064050e-06	0.000000e+00
2.600000e+02	2.700000e+02	3.646391e-05	0.000000e+00	1.225600e-07
2.700000e+02	2.800000e+02	3.561296e-05	1.066920e-05	0.000000e+00
2.800000e+02	2.900000e+02	3.311484e-05	5.152490e-06	0.000000e+00
2.900000e+02	3.000000e+02	2.920582e-05	0.000000e+00	1.662820e-06
3.000000e+02	3.100000e+02	2.714504e-05	0.000000e+00	1.831800e-06
3.100000e+02	3.200000e+02	2.581688e-05	8.102200e-07	0.000000e+00
3.200000e+02	3.300000e+02	2.476615e-05	1.046300e-07	2.822600e-07
3.300000e+02	3.400000e+02	2.146468e-05	2.900590e-06	1.029950e-06
3.400000e+02	3.500000e+02	2.046206e-05	2.250200e-07	1.352320e-06
3.500000e+02	3.600000e+02	2.023295e-05	1.201120e-06	0.000000e+00
3.600000e+02	3.700000e+02	1.885365e-05	7.608600e-07	0.000000e+00
3.700000e+02	3.800000e+02	1.699282e-05	8.778700e-07	2.768200e-07
3.800000e+02	3.900000e+02	1.558136e-05	1.309210e-06	0.000000e+00
3.900000e+02	4.000000e+02	1.410280e-05	0.000000e+00	2.144900e-06
4.000000e+02	4.100000e+02	1.432262e-05	2.158160e-06	0.000000e+00
4.100000e+02	4.200000e+02	1.362910e-05	6.281250e-06	0.000000e+00
4.200000e+02	4.300000e+02	1.165267e-05	1.241070e-06	6.690800e-07
4.300000e+02	4.400000e+02	1.176241e-05	9.712200e-07	0.000000e+00
4.400000e+02	4.500000e+02	1.036926e-05	1.576829e-06	8.219200e-07
4.500000e+02	4.600000e+02	9.343648e-06	3.605472e-06	0.000000e+00
4.600000e+02	4.700000e+02	8.815719e-06	7.988745e-06	0.000000e+00
4.700000e+02	4.800000e+02	8.239615e-06	6.566570e-07	2.765090e-07
4.800000e+02	4.900000e+02	7.513905e-06	1.717824e-06	0.000000e+00
4.900000e+02	5.000000e+02	5.383366e-06	5.149330e-07	1.551123e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.610577e-06	0.000000e+00	1.015283e-06
1.000000e+01	2.000000e+01	2.892306e-05	0.000000e+00	3.174690e-06
2.000000e+01	3.000000e+01	4.825618e-05	8.919000e-08	6.631620e-06
3.000000e+01	4.000000e+01	6.502978e-05	0.000000e+00	4.574730e-06
4.000000e+01	5.000000e+01	8.050878e-05	0.000000e+00	5.149860e-06
5.000000e+01	6.000000e+01	9.271296e-05	0.000000e+00	7.982440e-06
6.000000e+01	7.000000e+01	1.010282e-04	0.000000e+00	1.158120e-05
7.000000e+01	8.000000e+01	1.175016e-04	0.000000e+00	3.659000e-07
8.000000e+01	9.000000e+01	1.207528e-04	0.000000e+00	7.174300e-06
9.000000e+01	1.000000e+02	1.281463e-04	0.000000e+00	8.355400e-06
1.000000e+02	1.100000e+02	1.319365e-04	0.000000e+00	7.460200e-06
1.100000e+02	1.200000e+02	1.353602e-04	0.000000e+00	8.626300e-06
1.200000e+02	1.300000e+02	1.399695e-04	0.000000e+00	7.043200e-06
1.300000e+02	1.400000e+02	1.419388e-04	0.000000e+00	4.555900e-06
1.400000e+02	1.500000e+02	1.387812e-04	0.000000e+00	1.551650e-05
1.500000e+02	1.600000e+02	1.375081e-04	0.000000e+00	1.122530e-05
1.600000e+02	1.700000e+02	1.344616e-04	0.000000e+00	1.150410e-05
1.700000e+02	1.800000e+02	1.335637e-04	0.000000e+00	1.199950e-05
1.800000e+02	1.900000e+02	1.287160e-04	0.000000e+00	3.155300e-06
1.900000e+02	2.000000e+02	1.201884e-04	0.000000e+00	7.593900e-06
2.000000e+02	2.100000e+02	1.143102e-04	0.000000e+00	2.188700e-06
2.100000e+02	2.200000e+02	1.109840e-04	0.000000e+00	3.175700e-06
2.200000e+02	2.300000e+02	1.030066e-04	7.373680e-06	4.442800e-06
2.300000e+02	2.400000e+02	9.808719e-05	0.000000e+00	6.798310e-06
2.400000e+02	2.500000e+02	9.218168e-05	0.000000e+00	1.388910e-06
2.500000e+02	2.600000e+02	8.712332e-05	9.500200e-07	1.515300e-06
2.600000e+02	2.700000e+02	7.747057e-05	0.000000e+00	4.621430e-06
2.700000e+02	2.800000e+02	7.449422e-05	0.000000e+00	2.851710e-06
2.800000e+02	2.900000e+02	6.555295e-05	0.000000e+00	5.980080e-06
2.900000e+02	3.000000e+02	6.431660e-05	4.685700e-07	0.000000e+00
3.000000e+02	3.100000e+02	6.070341e-05	6.820880e-06	0.000000e+00
3.100000e+02	3.200000e+02	5.582834e-05	3.553470e-06	1.001290e-06
3.200000e+02	3.300000e+02	4.992809e-05	0.000000e+00	2.973660e-06
3.300000e+02	3.400000e+02	4.916415e-05	1.645610e-06	1.267500e-07
3.400000e+02	3.500000e+02	4.846824e-05	9.064140e-06	0.000000e+00
3.500000e+02	3.600000e+02	4.041678e-05	4.994610e-06	2.646750e-06
