# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RightMargin=0.5
RatioPlot=1
LogY=0
RatioPlotYMax=2.2
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}$ 
LegendAlign=r
YLabel=$ 1/ \sigma \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}$ (pb)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jfjb
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	3.006704e-02	1.577922e-04	1.524303e-03
-3.036873e+00	-2.932153e+00	2.951129e-02	6.060733e-04	0.000000e+00
-2.932153e+00	-2.827433e+00	2.787134e-02	1.950630e-04	0.000000e+00
-2.827433e+00	-2.722713e+00	2.602339e-02	5.089621e-04	1.232919e-04
-2.722714e+00	-2.617994e+00	2.313641e-02	4.570092e-04	3.757639e-05
-2.617994e+00	-2.513274e+00	2.057196e-02	4.675420e-04	0.000000e+00
-2.513274e+00	-2.408554e+00	1.758434e-02	2.542590e-04	3.006971e-04
-2.408554e+00	-2.303834e+00	1.470048e-02	3.260917e-04	8.597294e-05
-2.303835e+00	-2.199115e+00	1.178688e-02	0.000000e+00	1.795455e-04
-2.199115e+00	-2.094395e+00	9.489850e-03	1.081331e-04	1.569605e-04
-2.094395e+00	-1.989675e+00	7.115920e-03	2.730262e-04	1.440890e-04
-1.989675e+00	-1.884955e+00	5.235576e-03	0.000000e+00	2.258482e-04
-1.884956e+00	-1.780236e+00	3.853795e-03	1.199838e-04	1.180185e-04
-1.780236e+00	-1.675516e+00	3.082586e-03	6.886650e-05	1.113894e-04
-1.675516e+00	-1.570796e+00	2.557916e-03	1.498682e-04	0.000000e+00
-1.570796e+00	-1.466076e+00	2.280985e-03	3.216035e-05	4.545278e-04
-1.466077e+00	-1.361357e+00	2.849497e-03	3.206532e-04	0.000000e+00
-1.361357e+00	-1.256637e+00	3.421635e-03	1.345407e-04	0.000000e+00
-1.256637e+00	-1.151917e+00	4.230130e-03	9.328591e-05	1.036497e-04
-1.151917e+00	-1.047197e+00	5.506476e-03	9.876813e-05	1.832504e-04
-1.047198e+00	-9.424778e-01	6.838696e-03	2.137305e-04	6.962649e-05
-9.424778e-01	-8.377580e-01	8.335617e-03	8.929925e-05	0.000000e+00
-8.377581e-01	-7.330384e-01	1.004886e-02	3.554919e-04	0.000000e+00
-7.330383e-01	-6.283185e-01	1.134194e-02	3.226228e-04	0.000000e+00
-6.283186e-01	-5.235989e-01	1.275088e-02	0.000000e+00	3.893346e-04
-5.235988e-01	-4.188790e-01	1.388552e-02	1.456649e-04	0.000000e+00
-4.188790e-01	-3.141594e-01	1.486066e-02	0.000000e+00	3.093019e-04
-3.141593e-01	-2.094395e-01	1.571572e-02	3.069143e-04	5.171610e-04
-2.094395e-01	-1.047198e-01	1.655118e-02	2.483009e-04	0.000000e+00
-1.047198e-01	0.000000e+00	1.683051e-02	3.927719e-04	0.000000e+00
0.000000e+00	1.047198e-01	1.674301e-02	3.034765e-04	0.000000e+00
1.047198e-01	2.094395e-01	1.668171e-02	3.044126e-04	1.197769e-04
2.094395e-01	3.141593e-01	1.605822e-02	5.539927e-04	0.000000e+00
3.141594e-01	4.188790e-01	1.511601e-02	4.178679e-04	0.000000e+00
4.188790e-01	5.235988e-01	1.402595e-02	0.000000e+00	1.559113e-04
5.235989e-01	6.283186e-01	1.259584e-02	0.000000e+00	5.686418e-04
6.283185e-01	7.330383e-01	1.131146e-02	1.920363e-04	1.264613e-04
7.330384e-01	8.377581e-01	9.938187e-03	4.001854e-04	0.000000e+00
8.377580e-01	9.424778e-01	8.430498e-03	3.061551e-04	1.280350e-04
9.424778e-01	1.047198e+00	6.843285e-03	3.513840e-05	1.346884e-04
1.047197e+00	1.151917e+00	5.507647e-03	2.403012e-04	7.829620e-05
1.151917e+00	1.256637e+00	4.407308e-03	4.035638e-04	0.000000e+00
1.256637e+00	1.361357e+00	3.322865e-03	4.172078e-05	1.268554e-04
1.361357e+00	1.466077e+00	2.959467e-03	3.800812e-04	0.000000e+00
1.466076e+00	1.570796e+00	2.398216e-03	3.201960e-04	1.367603e-04
1.570796e+00	1.675516e+00	2.392816e-03	9.358957e-05	1.159502e-04
1.675516e+00	1.780236e+00	2.940392e-03	1.166377e-04	2.780147e-04
1.780236e+00	1.884956e+00	3.950151e-03	1.296982e-05	1.175334e-04
1.884955e+00	1.989675e+00	5.459475e-03	2.800838e-04	2.820042e-04
1.989675e+00	2.094395e+00	7.201721e-03	9.677235e-06	1.096495e-04
2.094395e+00	2.199115e+00	9.330137e-03	0.000000e+00	2.994280e-04
2.199115e+00	2.303835e+00	1.212019e-02	3.863827e-04	0.000000e+00
2.303834e+00	2.408554e+00	1.467955e-02	2.120914e-05	3.607846e-04
2.408554e+00	2.513274e+00	1.775136e-02	3.235294e-04	0.000000e+00
2.513274e+00	2.617994e+00	2.086725e-02	4.356092e-04	0.000000e+00
2.617994e+00	2.722714e+00	2.373729e-02	1.306923e-03	0.000000e+00
2.722713e+00	2.827433e+00	2.604481e-02	5.174133e-04	2.603157e-05
2.827433e+00	2.932153e+00	2.793554e-02	2.625859e-04	1.730739e-03
2.932153e+00	3.036873e+00	2.951344e-02	8.854374e-04	0.000000e+00
3.036873e+00	3.141593e+00	3.040959e-02	4.162051e-04	1.739209e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
-3.141593e+00	-3.036873e+00	3.531182e-02	0.000000e+00	1.311497e-03
-3.036873e+00	-2.932153e+00	4.064586e-02	0.000000e+00	5.511841e-04
-2.932153e+00	-2.827433e+00	4.492533e-02	1.473128e-03	0.000000e+00
-2.827433e+00	-2.722713e+00	4.926148e-02	4.782895e-04	2.349144e-04
-2.722714e+00	-2.617994e+00	5.200680e-02	2.217170e-03	4.085848e-04
-2.617994e+00	-2.513274e+00	5.313264e-02	5.408040e-04	1.235838e-03
-2.513274e+00	-2.408554e+00	5.210288e-02	0.000000e+00	3.160523e-04
-2.408554e+00	-2.303834e+00	5.259639e-02	5.131161e-04	0.000000e+00
-2.303835e+00	-2.199115e+00	5.000811e-02	1.004163e-03	0.000000e+00
-2.199115e+00	-2.094395e+00	4.749106e-02	5.973644e-04	5.787338e-04
-2.094395e+00	-1.989675e+00	4.388512e-02	0.000000e+00	1.074398e-03
-1.989675e+00	-1.884955e+00	3.980799e-02	7.372874e-04	2.709441e-04
-1.884956e+00	-1.780236e+00	3.533316e-02	5.136268e-04	6.710466e-04
-1.780236e+00	-1.675516e+00	3.038491e-02	0.000000e+00	1.977215e-03
-1.675516e+00	-1.570796e+00	2.611267e-02	0.000000e+00	4.972498e-04
-1.570796e+00	-1.466076e+00	2.134494e-02	0.000000e+00	5.796560e-04
-1.466077e+00	-1.361357e+00	1.732356e-02	0.000000e+00	4.219920e-04
-1.361357e+00	-1.256637e+00	1.353803e-02	0.000000e+00	2.015947e-04
-1.256637e+00	-1.151917e+00	1.037787e-02	0.000000e+00	4.945187e-04
-1.151917e+00	-1.047197e+00	7.682883e-03	1.153563e-05	1.639454e-04
-1.047198e+00	-9.424778e-01	5.871319e-03	0.000000e+00	7.493349e-04
-9.424778e-01	-8.377580e-01	4.565680e-03	0.000000e+00	7.823850e-04
-8.377581e-01	-7.330384e-01	4.344143e-03	0.000000e+00	2.390477e-04
-7.330383e-01	-6.283185e-01	4.472201e-03	0.000000e+00	4.013720e-04
-6.283186e-01	-5.235989e-01	5.449059e-03	0.000000e+00	2.172113e-04
-5.235988e-01	-4.188790e-01	7.035258e-03	0.000000e+00	8.380793e-04
-4.188790e-01	-3.141594e-01	9.211085e-03	0.000000e+00	2.605384e-04
-3.141593e-01	-2.094395e-01	1.149536e-02	0.000000e+00	3.275980e-04
-2.094395e-01	-1.047198e-01	1.440027e-02	1.299946e-04	2.544793e-04
-1.047198e-01	0.000000e+00	1.717874e-02	0.000000e+00	3.235682e-04
0.000000e+00	1.047198e-01	2.014530e-02	0.000000e+00	1.085334e-03
1.047198e-01	2.094395e-01	2.343733e-02	0.000000e+00	7.452275e-04
2.094395e-01	3.141593e-01	2.614561e-02	0.000000e+00	5.834236e-04
3.141594e-01	4.188790e-01	2.896640e-02	3.764812e-04	3.912158e-04
4.188790e-01	5.235988e-01	3.136625e-02	6.559695e-04	0.000000e+00
5.235989e-01	6.283186e-01	3.309168e-02	8.982264e-04	6.776184e-04
6.283185e-01	7.330383e-01	3.433888e-02	0.000000e+00	1.064975e-03
7.330384e-01	8.377581e-01	3.519696e-02	0.000000e+00	6.526948e-04
8.377580e-01	9.424778e-01	3.519111e-02	0.000000e+00	6.392392e-04
9.424778e-01	1.047198e+00	3.456830e-02	0.000000e+00	6.709689e-04
1.047197e+00	1.151917e+00	3.333492e-02	0.000000e+00	1.078610e-03
1.151917e+00	1.256637e+00	3.254222e-02	2.991024e-04	5.382162e-04
1.256637e+00	1.361357e+00	3.021400e-02	0.000000e+00	6.638369e-04
1.361357e+00	1.466077e+00	2.730040e-02	0.000000e+00	1.629154e-03
1.466076e+00	1.570796e+00	2.412248e-02	1.485499e-04	1.466935e-03
1.570796e+00	1.675516e+00	2.082145e-02	0.000000e+00	5.991501e-04
1.675516e+00	1.780236e+00	1.765601e-02	3.215050e-04	0.000000e+00
1.780236e+00	1.884956e+00	1.369003e-02	0.000000e+00	1.010351e-03
1.884955e+00	1.989675e+00	1.112486e-02	0.000000e+00	3.255570e-04
1.989675e+00	2.094395e+00	8.650134e-03	1.294633e-04	1.927511e-04
2.094395e+00	2.199115e+00	6.337617e-03	0.000000e+00	7.360724e-04
2.199115e+00	2.303835e+00	5.051115e-03	0.000000e+00	8.236440e-04
2.303834e+00	2.408554e+00	5.027983e-03	0.000000e+00	1.499403e-04
2.408554e+00	2.513274e+00	5.602329e-03	0.000000e+00	3.083375e-04
2.513274e+00	2.617994e+00	7.428844e-03	0.000000e+00	5.576499e-04
2.617994e+00	2.722714e+00	1.021066e-02	0.000000e+00	4.019385e-04
2.722713e+00	2.827433e+00	1.446577e-02	1.165023e-05	6.792464e-05
2.827433e+00	2.932153e+00	1.921458e-02	2.912051e-04	1.081436e-03
2.932153e+00	3.036873e+00	2.376717e-02	0.000000e+00	1.111889e-03
3.036873e+00	3.141593e+00	2.980618e-02	4.817322e-04	2.247613e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jfjb
ErrorBandColor=green
