# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
Title=h(2*,3*,4)
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltay_H_j1
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	9.309015e-03	1.467000e-04	0.000000e+00
2.000000e-01	4.000000e-01	9.797570e-03	2.368800e-04	0.000000e+00
4.000000e-01	6.000000e-01	1.086206e-02	6.786000e-04	0.000000e+00
6.000000e-01	8.000000e-01	1.200431e-02	1.622450e-04	0.000000e+00
8.000000e-01	1.000000e+00	1.352489e-02	2.820000e-06	1.001900e-04
1.000000e+00	1.200000e+00	1.523611e-02	2.239850e-04	1.413700e-04
1.200000e+00	1.400000e+00	1.661696e-02	0.000000e+00	1.174010e-03
1.400000e+00	1.600000e+00	1.872357e-02	2.306050e-04	1.626660e-03
1.600000e+00	1.800000e+00	2.011744e-02	7.564900e-04	0.000000e+00
1.800000e+00	2.000000e+00	2.135447e-02	5.292950e-04	0.000000e+00
2.000000e+00	2.200000e+00	2.201173e-02	4.135950e-04	8.645000e-06
2.200000e+00	2.400000e+00	2.219467e-02	6.637000e-05	1.252900e-04
2.400000e+00	2.600000e+00	2.210168e-02	2.166000e-04	1.527350e-04
2.600000e+00	2.800000e+00	2.161182e-02	5.472500e-05	3.573400e-04
2.800000e+00	3.000000e+00	2.081296e-02	3.405250e-04	2.434550e-04
3.000000e+00	3.200000e+00	1.978601e-02	4.150700e-04	0.000000e+00
3.200000e+00	3.400000e+00	1.802814e-02	0.000000e+00	9.134700e-04
3.400000e+00	3.600000e+00	1.668400e-02	3.884900e-04	0.000000e+00
3.600000e+00	3.800000e+00	1.512848e-02	3.393050e-04	0.000000e+00
3.800000e+00	4.000000e+00	1.339908e-02	4.489400e-04	0.000000e+00
4.000000e+00	4.200000e+00	1.161826e-02	2.528050e-04	0.000000e+00
4.200000e+00	4.400000e+00	9.782215e-03	1.481750e-04	0.000000e+00
4.400000e+00	4.600000e+00	8.188730e-03	7.446000e-05	6.873000e-05
4.600000e+00	4.800000e+00	6.784755e-03	1.174950e-04	0.000000e+00
4.800000e+00	5.000000e+00	5.369635e-03	0.000000e+00	1.031850e-04
5.000000e+00	5.200000e+00	4.268911e-03	3.995750e-05	2.654250e-05
5.200000e+00	5.400000e+00	3.365578e-03	1.832285e-04	0.000000e+00
5.400000e+00	5.600000e+00	2.572345e-03	1.101430e-04	0.000000e+00
5.600000e+00	5.800000e+00	1.883094e-03	1.926850e-05	0.000000e+00
5.800000e+00	6.000000e+00	1.378118e-03	3.818900e-05	0.000000e+00
6.000000e+00	6.200000e+00	9.802990e-04	3.594200e-05	0.000000e+00
6.200000e+00	6.400000e+00	6.588030e-04	1.525300e-05	0.000000e+00
6.400000e+00	6.600000e+00	4.361169e-04	1.586150e-05	0.000000e+00
6.600000e+00	6.800000e+00	2.791873e-04	7.389900e-06	2.021700e-06
6.800000e+00	7.000000e+00	1.739737e-04	3.675100e-06	2.909050e-06
7.000000e+00	7.200000e+00	1.063456e-04	5.827950e-06	0.000000e+00
7.200000e+00	7.400000e+00	5.677180e-05	3.022700e-06	0.000000e+00
7.400000e+00	7.600000e+00	2.927437e-05	8.245100e-07	1.499065e-06
7.600000e+00	7.800000e+00	1.381050e-05	3.190300e-07	2.835600e-06
7.800000e+00	8.000000e+00	5.810370e-06	5.969900e-07	7.734400e-07
8.000000e+00	8.200000e+00	2.216708e-06	5.954600e-08	3.058685e-07
8.200000e+00	8.400000e+00	6.114860e-07	0.000000e+00	2.545500e-08
8.400000e+00	8.600000e+00	1.358400e-07	3.662615e-08	4.702150e-09
8.600000e+00	8.800000e+00	1.328466e-08	0.000000e+00	1.262337e-08
8.800000e+00	9.000000e+00	1.342086e-09	6.441755e-10	0.000000e+00
9.000000e+00	9.200000e+00	2.191974e-11	2.246524e-11	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.759097e-02	1.923650e-04	0.000000e+00
2.000000e-01	4.000000e-01	1.826820e-02	3.228450e-04	4.953600e-04
4.000000e-01	6.000000e-01	1.967843e-02	0.000000e+00	8.125800e-04
6.000000e-01	8.000000e-01	2.274906e-02	0.000000e+00	3.947250e-04
8.000000e-01	1.000000e+00	2.596487e-02	7.686400e-04	0.000000e+00
1.000000e+00	1.200000e+00	2.929328e-02	0.000000e+00	1.283310e-03
1.200000e+00	1.400000e+00	3.284002e-02	4.179550e-04	8.295500e-05
1.400000e+00	1.600000e+00	3.569707e-02	0.000000e+00	1.350730e-03
1.600000e+00	1.800000e+00	3.871307e-02	0.000000e+00	6.063800e-04
1.800000e+00	2.000000e+00	4.068727e-02	0.000000e+00	9.076850e-04
2.000000e+00	2.200000e+00	4.236226e-02	0.000000e+00	1.056965e-03
2.200000e+00	2.400000e+00	4.352042e-02	0.000000e+00	4.871350e-04
2.400000e+00	2.600000e+00	4.267131e-02	0.000000e+00	1.394065e-03
2.600000e+00	2.800000e+00	4.222710e-02	0.000000e+00	3.924850e-04
2.800000e+00	3.000000e+00	4.040403e-02	3.639450e-04	2.405850e-04
3.000000e+00	3.200000e+00	3.805097e-02	0.000000e+00	3.882450e-04
3.200000e+00	3.400000e+00	3.574086e-02	5.229000e-05	6.048950e-04
3.400000e+00	3.600000e+00	3.236294e-02	0.000000e+00	7.106200e-04
3.600000e+00	3.800000e+00	2.860931e-02	0.000000e+00	8.279150e-04
3.800000e+00	4.000000e+00	2.559008e-02	0.000000e+00	2.033150e-04
4.000000e+00	4.200000e+00	2.189467e-02	0.000000e+00	6.362550e-04
4.200000e+00	4.400000e+00	1.872247e-02	2.638050e-04	2.975350e-04
4.400000e+00	4.600000e+00	1.549084e-02	0.000000e+00	3.185700e-04
4.600000e+00	4.800000e+00	1.275412e-02	0.000000e+00	7.610500e-05
4.800000e+00	5.000000e+00	1.022415e-02	0.000000e+00	2.836300e-04
5.000000e+00	5.200000e+00	8.052205e-03	3.236500e-04	1.480800e-04
5.200000e+00	5.400000e+00	6.307870e-03	3.981000e-05	7.746000e-05
5.400000e+00	5.600000e+00	4.716237e-03	0.000000e+00	8.592000e-05
5.600000e+00	5.800000e+00	3.564380e-03	1.070475e-04	4.750950e-05
5.800000e+00	6.000000e+00	2.526240e-03	0.000000e+00	8.772400e-05
6.000000e+00	6.200000e+00	1.804477e-03	3.171500e-06	8.364500e-06
6.200000e+00	6.400000e+00	1.256380e-03	4.786450e-05	2.930150e-05
6.400000e+00	6.600000e+00	8.313205e-04	3.189450e-05	8.648500e-06
6.600000e+00	6.800000e+00	5.222755e-04	0.000000e+00	4.036450e-05
6.800000e+00	7.000000e+00	3.301032e-04	5.534000e-06	0.000000e+00
7.000000e+00	7.200000e+00	1.934338e-04	4.216750e-06	6.795450e-06
7.200000e+00	7.400000e+00	1.073010e-04	9.215450e-06	2.885900e-06
7.400000e+00	7.600000e+00	5.611070e-05	0.000000e+00	3.127300e-06
7.600000e+00	7.800000e+00	2.611880e-05	0.000000e+00	2.531060e-06
7.800000e+00	8.000000e+00	1.141438e-05	4.821900e-07	0.000000e+00
8.000000e+00	8.200000e+00	4.013925e-06	6.519700e-07	1.005840e-07
8.200000e+00	8.400000e+00	1.196715e-06	3.170000e-08	1.895150e-08
8.400000e+00	8.600000e+00	3.084054e-07	6.830810e-08	1.594600e-08
8.600000e+00	8.800000e+00	3.400289e-08	7.585480e-09	0.000000e+00
8.800000e+00	9.000000e+00	1.092138e-09	1.073973e-09	6.702885e-10
9.000000e+00	9.200000e+00	1.331751e-12	1.316629e-11	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltay_H_j1
RatioPlotSameStyle=1
Scale=13.4757123194
Title=CP-odd
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.105775e-03	9.318500e-05	1.102850e-04
2.000000e-01	4.000000e-01	8.865205e-03	3.313100e-04	0.000000e+00
4.000000e-01	6.000000e-01	9.547445e-03	2.688150e-04	0.000000e+00
6.000000e-01	8.000000e-01	1.085482e-02	9.967000e-05	2.696750e-04
8.000000e-01	1.000000e+00	1.242027e-02	0.000000e+00	2.275350e-04
1.000000e+00	1.200000e+00	1.418422e-02	0.000000e+00	3.550450e-04
1.200000e+00	1.400000e+00	1.597870e-02	2.745500e-05	4.107000e-05
1.400000e+00	1.600000e+00	1.735579e-02	0.000000e+00	4.026650e-04
1.600000e+00	1.800000e+00	1.909710e-02	0.000000e+00	2.296650e-04
1.800000e+00	2.000000e+00	1.984851e-02	3.476800e-04	7.197800e-04
2.000000e+00	2.200000e+00	2.100179e-02	0.000000e+00	3.928450e-04
2.200000e+00	2.400000e+00	2.124350e-02	0.000000e+00	9.273800e-04
2.400000e+00	2.600000e+00	2.143300e-02	4.089850e-04	3.056450e-04
2.600000e+00	2.800000e+00	2.050380e-02	0.000000e+00	5.451200e-04
2.800000e+00	3.000000e+00	1.971702e-02	0.000000e+00	4.807900e-04
3.000000e+00	3.200000e+00	1.892109e-02	1.440200e-04	2.128500e-05
3.200000e+00	3.400000e+00	1.723422e-02	0.000000e+00	4.844500e-04
3.400000e+00	3.600000e+00	1.577721e-02	0.000000e+00	4.537750e-04
3.600000e+00	3.800000e+00	1.404904e-02	0.000000e+00	1.212200e-04
3.800000e+00	4.000000e+00	1.235572e-02	3.105000e-06	1.195100e-04
4.000000e+00	4.200000e+00	1.053325e-02	0.000000e+00	1.748100e-04
4.200000e+00	4.400000e+00	8.983425e-03	0.000000e+00	7.656500e-05
4.400000e+00	4.600000e+00	7.480390e-03	0.000000e+00	7.480000e-05
4.600000e+00	4.800000e+00	6.126275e-03	1.029100e-04	1.020800e-04
4.800000e+00	5.000000e+00	4.890486e-03	2.523600e-05	1.032535e-04
5.000000e+00	5.200000e+00	3.869383e-03	0.000000e+00	3.872350e-05
5.200000e+00	5.400000e+00	2.983086e-03	5.560200e-05	7.930350e-05
5.400000e+00	5.600000e+00	2.264998e-03	1.371800e-05	4.064900e-05
5.600000e+00	5.800000e+00	1.721504e-03	3.522150e-05	0.000000e+00
5.800000e+00	6.000000e+00	1.224224e-03	0.000000e+00	1.405550e-05
6.000000e+00	6.200000e+00	8.626220e-04	6.250500e-06	3.102150e-05
6.200000e+00	6.400000e+00	6.002500e-04	2.716950e-05	0.000000e+00
6.400000e+00	6.600000e+00	4.023936e-04	2.600670e-05	0.000000e+00
6.600000e+00	6.800000e+00	2.504822e-04	8.677300e-06	6.238200e-06
6.800000e+00	7.000000e+00	1.589117e-04	5.025550e-06	3.665750e-06
7.000000e+00	7.200000e+00	9.164375e-05	0.000000e+00	3.553600e-06
7.200000e+00	7.400000e+00	5.170875e-05	1.926775e-06	1.539850e-06
7.400000e+00	7.600000e+00	2.698946e-05	0.000000e+00	2.010780e-06
7.600000e+00	7.800000e+00	1.329603e-05	0.000000e+00	1.148385e-06
7.800000e+00	8.000000e+00	5.511760e-06	8.827000e-08	2.303200e-07
8.000000e+00	8.200000e+00	2.103173e-06	5.068185e-07	0.000000e+00
8.200000e+00	8.400000e+00	5.836960e-07	1.524944e-07	3.680000e-09
8.400000e+00	8.600000e+00	1.317352e-07	2.676680e-08	0.000000e+00
8.600000e+00	8.800000e+00	1.834628e-08	4.225240e-09	0.000000e+00
8.800000e+00	9.000000e+00	1.076152e-09	1.140365e-09	0.000000e+00
9.000000e+00	9.200000e+00	6.950735e-12	6.440481e-12	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

