# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$1/ \sigma \text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.577929e-06	6.588920e-07	9.939360e-07
-4.400000e+00	-4.200000e+00	1.781964e-05	1.235065e-06	3.992505e-06
-4.200000e+00	-4.000000e+00	6.659590e-05	5.543000e-06	8.622200e-06
-4.000000e+00	-3.800000e+00	1.643373e-04	5.962060e-05	1.972195e-05
-3.800000e+00	-3.600000e+00	3.182270e-04	0.000000e+00	7.270860e-05
-3.600000e+00	-3.400000e+00	5.612150e-04	0.000000e+00	6.425550e-05
-3.400000e+00	-3.200000e+00	9.110075e-04	8.910250e-05	1.672450e-05
-3.200000e+00	-3.000000e+00	1.310378e-03	9.562250e-05	1.083950e-05
-3.000000e+00	-2.800000e+00	1.744489e-03	1.613990e-04	6.378200e-05
-2.800000e+00	-2.600000e+00	2.119952e-03	6.810700e-05	1.411495e-04
-2.600000e+00	-2.400000e+00	2.380149e-03	0.000000e+00	2.514900e-05
-2.400000e+00	-2.200000e+00	2.850371e-03	1.090420e-04	2.019930e-04
-2.200000e+00	-2.000000e+00	3.202677e-03	4.857520e-04	0.000000e+00
-2.000000e+00	-1.800000e+00	3.098849e-03	2.062630e-04	0.000000e+00
-1.800000e+00	-1.600000e+00	2.936726e-03	1.748285e-04	3.933885e-04
-1.600000e+00	-1.400000e+00	2.838338e-03	2.091830e-04	0.000000e+00
-1.400000e+00	-1.200000e+00	2.740847e-03	4.221385e-04	1.294420e-04
-1.200000e+00	-1.000000e+00	2.219971e-03	6.633350e-05	7.838050e-05
-1.000000e+00	-8.000000e-01	1.919228e-03	1.528180e-04	1.877975e-04
-8.000000e-01	-6.000000e-01	1.789994e-03	1.810990e-04	0.000000e+00
-6.000000e-01	-4.000000e-01	1.316914e-03	0.000000e+00	3.989585e-04
-4.000000e-01	-2.000000e-01	1.363144e-03	6.881300e-05	1.374495e-04
-2.000000e-01	0.000000e+00	1.280556e-03	1.566250e-04	2.245750e-05
0.000000e+00	2.000000e-01	1.285244e-03	1.278420e-04	1.865350e-05
2.000000e-01	4.000000e-01	1.345838e-03	1.406010e-04	0.000000e+00
4.000000e-01	6.000000e-01	1.425742e-03	4.946900e-05	1.093550e-05
6.000000e-01	8.000000e-01	1.644041e-03	1.692005e-04	0.000000e+00
8.000000e-01	1.000000e+00	1.868960e-03	1.037430e-04	1.628890e-04
1.000000e+00	1.200000e+00	2.148233e-03	2.219860e-04	0.000000e+00
1.200000e+00	1.400000e+00	2.429677e-03	1.023325e-04	2.901650e-05
1.400000e+00	1.600000e+00	2.579801e-03	7.261950e-05	5.235850e-05
1.600000e+00	1.800000e+00	2.898164e-03	2.398425e-04	0.000000e+00
1.800000e+00	2.000000e+00	2.902895e-03	2.141275e-04	1.374050e-04
2.000000e+00	2.200000e+00	2.905194e-03	1.743345e-04	8.558405e-04
2.200000e+00	2.400000e+00	2.705454e-03	3.059875e-04	2.231360e-04
2.400000e+00	2.600000e+00	2.464033e-03	1.766075e-04	2.458950e-04
2.600000e+00	2.800000e+00	2.115242e-03	3.893950e-05	1.693350e-05
2.800000e+00	3.000000e+00	1.669865e-03	1.044080e-04	5.859100e-05
3.000000e+00	3.200000e+00	1.246707e-03	1.784350e-04	0.000000e+00
3.200000e+00	3.400000e+00	8.203540e-04	0.000000e+00	9.334100e-05
3.400000e+00	3.600000e+00	5.375025e-04	6.880500e-06	7.254100e-05
3.600000e+00	3.800000e+00	3.049044e-04	0.000000e+00	2.606325e-05
3.800000e+00	4.000000e+00	1.644707e-04	1.899405e-05	0.000000e+00
4.000000e+00	4.200000e+00	6.410245e-05	1.391200e-06	9.698450e-06
4.200000e+00	4.400000e+00	1.790231e-05	1.544550e-06	1.461130e-06
4.400000e+00	4.600000e+00	1.369077e-06	5.921565e-07	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.542766e-06	1.383950e-08	5.927315e-07
-4.400000e+00	-4.200000e+00	3.074160e-05	0.000000e+00	7.070630e-06
-4.200000e+00	-4.000000e+00	1.103224e-04	0.000000e+00	3.372870e-05
-4.000000e+00	-3.800000e+00	3.012927e-04	0.000000e+00	5.324480e-05
-3.800000e+00	-3.600000e+00	6.180785e-04	5.452400e-05	1.896300e-05
-3.600000e+00	-3.400000e+00	1.029276e-03	0.000000e+00	1.166325e-04
-3.400000e+00	-3.200000e+00	1.423355e-03	4.026340e-04	3.136815e-04
-3.200000e+00	-3.000000e+00	2.351586e-03	0.000000e+00	2.117595e-04
-3.000000e+00	-2.800000e+00	3.021472e-03	0.000000e+00	2.794050e-04
-2.800000e+00	-2.600000e+00	3.792896e-03	0.000000e+00	7.275950e-04
-2.600000e+00	-2.400000e+00	4.881209e-03	0.000000e+00	6.167450e-05
-2.400000e+00	-2.200000e+00	4.992884e-03	0.000000e+00	6.954415e-04
-2.200000e+00	-2.000000e+00	5.059245e-03	0.000000e+00	1.109855e-03
-2.000000e+00	-1.800000e+00	5.599245e-03	0.000000e+00	4.620250e-04
-1.800000e+00	-1.600000e+00	5.208140e-03	0.000000e+00	6.214950e-04
-1.600000e+00	-1.400000e+00	5.025570e-03	0.000000e+00	5.896300e-04
-1.400000e+00	-1.200000e+00	4.340142e-03	0.000000e+00	7.848085e-04
-1.200000e+00	-1.000000e+00	4.137827e-03	0.000000e+00	1.287640e-04
-1.000000e+00	-8.000000e-01	3.439479e-03	0.000000e+00	3.487655e-04
-8.000000e-01	-6.000000e-01	3.388818e-03	3.587285e-04	0.000000e+00
-6.000000e-01	-4.000000e-01	2.531814e-03	0.000000e+00	3.167535e-04
-4.000000e-01	-2.000000e-01	2.310933e-03	0.000000e+00	5.662265e-04
-2.000000e-01	0.000000e+00	2.225019e-03	0.000000e+00	1.629770e-04
0.000000e+00	2.000000e-01	2.225892e-03	3.214450e-05	7.839000e-05
2.000000e-01	4.000000e-01	2.285947e-03	0.000000e+00	3.404315e-04
4.000000e-01	6.000000e-01	2.603901e-03	0.000000e+00	1.844510e-04
6.000000e-01	8.000000e-01	2.909309e-03	0.000000e+00	3.660635e-04
8.000000e-01	1.000000e+00	3.427193e-03	4.567550e-05	1.901730e-04
1.000000e+00	1.200000e+00	3.914595e-03	1.562420e-04	2.395105e-04
1.200000e+00	1.400000e+00	4.217020e-03	0.000000e+00	6.587205e-04
1.400000e+00	1.600000e+00	4.897505e-03	4.192500e-05	2.127345e-04
1.600000e+00	1.800000e+00	5.128625e-03	0.000000e+00	3.861700e-04
1.800000e+00	2.000000e+00	5.353475e-03	1.821950e-04	2.219900e-04
2.000000e+00	2.200000e+00	5.143740e-03	0.000000e+00	7.585000e-04
