# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,j_1}$ (GeV)
LegendAlign=r
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  p_{T,j_1}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet1_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	7.380033e-07	1.574623e-07	1.561709e-07
3.000000e+01	4.000000e+01	1.174110e-05	1.411160e-06	2.056150e-06
4.000000e+01	5.000000e+01	4.636619e-05	4.234240e-06	5.432150e-06
5.000000e+01	6.000000e+01	1.114066e-04	6.888100e-06	1.021030e-05
6.000000e+01	7.000000e+01	2.048995e-04	9.900400e-06	8.796300e-06
7.000000e+01	8.000000e+01	2.910765e-04	1.042120e-05	1.339310e-05
8.000000e+01	9.000000e+01	3.595586e-04	1.132950e-05	8.461500e-06
9.000000e+01	1.000000e+02	4.035863e-04	1.138910e-05	4.871500e-06
1.000000e+02	1.100000e+02	4.277279e-04	8.293400e-06	1.883400e-06
1.100000e+02	1.200000e+02	4.291994e-04	3.657100e-06	4.224300e-06
1.200000e+02	1.300000e+02	4.280019e-04	3.267600e-06	0.000000e+00
1.300000e+02	1.400000e+02	4.055199e-04	0.000000e+00	5.337900e-06
1.400000e+02	1.500000e+02	3.936586e-04	4.273700e-06	0.000000e+00
1.500000e+02	1.600000e+02	3.694004e-04	2.504100e-06	1.869500e-06
1.600000e+02	1.700000e+02	3.477240e-04	1.440550e-05	0.000000e+00
1.700000e+02	1.800000e+02	3.192334e-04	4.015900e-06	0.000000e+00
1.800000e+02	1.900000e+02	2.973501e-04	4.655300e-06	5.333200e-06
1.900000e+02	2.000000e+02	2.704680e-04	1.972300e-06	0.000000e+00
2.000000e+02	2.100000e+02	2.490554e-04	8.021400e-06	0.000000e+00
2.100000e+02	2.200000e+02	2.220393e-04	9.308000e-07	2.960600e-06
2.200000e+02	2.300000e+02	2.054409e-04	3.582500e-06	0.000000e+00
2.300000e+02	2.400000e+02	1.880383e-04	5.556300e-06	3.611000e-07
2.400000e+02	2.500000e+02	1.711952e-04	0.000000e+00	1.091900e-06
2.500000e+02	2.600000e+02	1.520945e-04	3.980000e-07	1.203300e-06
2.600000e+02	2.700000e+02	1.415166e-04	2.352100e-06	4.053000e-06
2.700000e+02	2.800000e+02	1.277892e-04	0.000000e+00	1.681320e-05
2.800000e+02	2.900000e+02	1.218134e-04	8.750800e-06	0.000000e+00
2.900000e+02	3.000000e+02	1.044788e-04	1.672300e-06	2.428180e-05
3.000000e+02	3.100000e+02	9.541924e-05	1.236100e-06	0.000000e+00
3.100000e+02	3.200000e+02	8.691418e-05	2.637720e-06	1.289370e-06
3.200000e+02	3.300000e+02	8.051930e-05	5.118770e-06	0.000000e+00
3.300000e+02	3.400000e+02	7.201971e-05	1.333937e-05	6.185000e-08
3.400000e+02	3.500000e+02	6.620947e-05	4.411340e-06	0.000000e+00
3.500000e+02	3.600000e+02	5.830705e-05	7.286110e-06	3.181730e-06
3.600000e+02	3.700000e+02	5.562659e-05	1.592030e-06	0.000000e+00
3.700000e+02	3.800000e+02	5.109113e-05	6.141770e-06	0.000000e+00
3.800000e+02	3.900000e+02	4.874913e-05	2.969150e-06	0.000000e+00
3.900000e+02	4.000000e+02	3.934097e-05	0.000000e+00	1.537370e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.178916e-06	0.000000e+00	5.290570e-07
3.000000e+01	4.000000e+01	2.049620e-05	0.000000e+00	7.230100e-06
4.000000e+01	5.000000e+01	8.326224e-05	0.000000e+00	2.013856e-05
5.000000e+01	6.000000e+01	2.080572e-04	0.000000e+00	3.151770e-05
6.000000e+01	7.000000e+01	3.842810e-04	0.000000e+00	4.101540e-05
7.000000e+01	8.000000e+01	5.551369e-04	0.000000e+00	3.917530e-05
8.000000e+01	9.000000e+01	6.831561e-04	0.000000e+00	4.221900e-05
9.000000e+01	1.000000e+02	7.756269e-04	0.000000e+00	3.137630e-05
1.000000e+02	1.100000e+02	8.223215e-04	0.000000e+00	1.550580e-05
1.100000e+02	1.200000e+02	8.362903e-04	7.977400e-06	6.093900e-06
1.200000e+02	1.300000e+02	8.263110e-04	0.000000e+00	8.670800e-06
1.300000e+02	1.400000e+02	7.972164e-04	0.000000e+00	1.712810e-05
1.400000e+02	1.500000e+02	7.703045e-04	5.846900e-06	3.311000e-07
1.500000e+02	1.600000e+02	7.098010e-04	6.268000e-07	4.889600e-06
1.600000e+02	1.700000e+02	6.676098e-04	7.832700e-06	2.927000e-06
1.700000e+02	1.800000e+02	6.142134e-04	3.322200e-06	1.418240e-05
1.800000e+02	1.900000e+02	5.697113e-04	4.195000e-06	9.916100e-06
1.900000e+02	2.000000e+02	5.209161e-04	3.501300e-06	0.000000e+00
2.000000e+02	2.100000e+02	4.754959e-04	7.213000e-07	5.813400e-06
2.100000e+02	2.200000e+02	4.311605e-04	1.401090e-05	1.219600e-05
2.200000e+02	2.300000e+02	3.987053e-04	9.337900e-06	1.763700e-06
2.300000e+02	2.400000e+02	3.554765e-04	9.558300e-06	1.124800e-06
2.400000e+02	2.500000e+02	3.318627e-04	2.295930e-05	0.000000e+00
2.500000e+02	2.600000e+02	2.851373e-04	0.000000e+00	1.199160e-05
2.600000e+02	2.700000e+02	2.743262e-04	1.099780e-05	0.000000e+00
2.700000e+02	2.800000e+02	2.515685e-04	1.700880e-05	0.000000e+00
2.800000e+02	2.900000e+02	2.153462e-04	0.000000e+00	5.637600e-06
2.900000e+02	3.000000e+02	1.959588e-04	0.000000e+00	5.855800e-06
3.000000e+02	3.100000e+02	1.819151e-04	0.000000e+00	1.974700e-06
3.100000e+02	3.200000e+02	1.668185e-04	1.519200e-06	1.211600e-06
3.200000e+02	3.300000e+02	1.449024e-04	0.000000e+00	6.214100e-06
3.300000e+02	3.400000e+02	1.358043e-04	0.000000e+00	1.035910e-05
3.400000e+02	3.500000e+02	1.224761e-04	0.000000e+00	8.779800e-06
3.500000e+02	3.600000e+02	1.160777e-04	3.120200e-06	2.713700e-06
3.600000e+02	3.700000e+02	1.048472e-04	1.047600e-06	7.336000e-07
3.700000e+02	3.800000e+02	9.537868e-05	2.592800e-06	0.000000e+00
3.800000e+02	3.900000e+02	9.116399e-05	9.451640e-06	0.000000e+00
3.900000e+02	4.000000e+02	8.166008e-05	5.911670e-06	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet1_pT_incl
RatioPlotSameStyle=1
Scale=13.4757123194
Title=CP-odd
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	5.910105e-07	0.000000e+00	2.538831e-07
3.000000e+01	4.000000e+01	1.006702e-05	0.000000e+00	3.791380e-06
4.000000e+01	5.000000e+01	4.153120e-05	0.000000e+00	9.147650e-06
5.000000e+01	6.000000e+01	1.031823e-04	0.000000e+00	1.544950e-05
6.000000e+01	7.000000e+01	1.905499e-04	0.000000e+00	1.874390e-05
7.000000e+01	8.000000e+01	2.745087e-04	0.000000e+00	1.815980e-05
8.000000e+01	9.000000e+01	3.393157e-04	0.000000e+00	1.264650e-05
9.000000e+01	1.000000e+02	3.819678e-04	0.000000e+00	9.142700e-06
1.000000e+02	1.100000e+02	3.966074e-04	0.000000e+00	1.296580e-05
1.100000e+02	1.200000e+02	4.146225e-04	3.828100e-06	0.000000e+00
1.200000e+02	1.300000e+02	4.036609e-04	0.000000e+00	7.574800e-06
1.300000e+02	1.400000e+02	3.906299e-04	2.214400e-06	1.355000e-07
1.400000e+02	1.500000e+02	3.704180e-04	1.258700e-06	1.599900e-06
1.500000e+02	1.600000e+02	3.484822e-04	4.649700e-06	0.000000e+00
1.600000e+02	1.700000e+02	3.237240e-04	7.377100e-06	1.588600e-06
1.700000e+02	1.800000e+02	2.972922e-04	2.967200e-06	0.000000e+00
