# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
XLabel=$|y_{j_1}|$
LegendAlign=r
XMax=5.0
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  |y_{j_1}|$ (pb)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet1_y_abs_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet1_y_abs_incl
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e-01	1.876683e-04	1.133102e-04	0.000000e+00
1.600000e-01	3.200000e-01	6.449275e-04	0.000000e+00	7.466250e-05
3.200000e-01	4.800000e-01	1.579480e-03	1.081981e-04	0.000000e+00
4.800000e-01	6.400000e-01	2.783413e-03	0.000000e+00	1.047481e-04
6.400000e-01	8.000000e-01	4.677647e-03	3.051794e-04	0.000000e+00
8.000000e-01	9.600000e-01	7.000569e-03	0.000000e+00	1.838938e-04
9.600000e-01	1.120000e+00	9.895169e-03	2.046500e-04	0.000000e+00
1.120000e+00	1.280000e+00	1.374069e-02	7.583125e-05	3.226938e-04
1.280000e+00	1.440000e+00	1.766289e-02	5.969375e-05	4.195625e-04
1.440000e+00	1.600000e+00	2.254610e-02	8.585625e-04	0.000000e+00
1.600000e+00	1.760000e+00	2.671164e-02	3.824250e-04	5.422688e-04
1.760000e+00	1.920000e+00	3.111326e-02	4.629625e-04	2.284562e-04
1.920000e+00	2.080000e+00	3.519845e-02	2.030937e-03	0.000000e+00
2.080000e+00	2.240000e+00	3.697957e-02	7.015250e-04	0.000000e+00
2.240000e+00	2.400000e+00	3.855410e-02	5.586937e-04	0.000000e+00
2.400000e+00	2.560000e+00	3.840088e-02	1.789000e-04	3.173987e-03
2.560000e+00	2.720000e+00	3.754614e-02	1.025944e-03	0.000000e+00
2.720000e+00	2.880000e+00	3.468452e-02	3.853625e-04	1.276813e-04
2.880000e+00	3.040000e+00	3.113241e-02	3.327375e-04	0.000000e+00
3.040000e+00	3.200000e+00	2.713031e-02	4.661063e-04	5.180625e-05
3.200000e+00	3.360000e+00	2.240911e-02	3.465313e-04	2.490000e-05
3.360000e+00	3.520000e+00	1.783084e-02	2.806187e-04	0.000000e+00
3.520000e+00	3.680000e+00	1.345770e-02	2.749063e-04	9.175000e-05
3.680000e+00	3.840000e+00	9.687825e-03	2.281250e-04	2.279687e-04
3.840000e+00	4.000000e+00	6.635969e-03	1.896437e-04	1.139000e-04
4.000000e+00	4.160000e+00	4.260069e-03	1.022806e-04	7.946937e-05
4.160000e+00	4.320000e+00	2.561541e-03	9.883188e-05	5.081000e-05
4.320000e+00	4.480000e+00	1.438432e-03	4.778687e-05	4.605688e-05
4.480000e+00	4.640000e+00	1.236521e-04	4.003062e-06	0.000000e+00
4.640000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	4.960000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.960000e+00	5.120000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.120000e+00	5.280000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.280000e+00	5.440000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.440000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.760000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.760000e+00	5.920000e+00	0.000000e+00	0.000000e+00	0.000000e+00
