# BEGIN PLOT
Rebin=4
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass
XLabel=$m_{j_2}$ (GeV)
LegendAlign=r
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  m_{j_2}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet2_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/jet2_mass
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.135800e-02	4.199370e-03	8.499190e-03
1.000000e+00	2.000000e+00	1.615682e-03	2.570880e-04	4.885950e-04
2.000000e+00	3.000000e+00	1.935842e-03	2.161000e-04	0.000000e+00
3.000000e+00	4.000000e+00	5.158350e-03	6.696130e-04	0.000000e+00
4.000000e+00	5.000000e+00	6.023265e-03	5.834320e-04	0.000000e+00
5.000000e+00	6.000000e+00	5.919747e-03	7.841530e-04	0.000000e+00
6.000000e+00	7.000000e+00	5.653632e-03	8.773730e-04	1.155330e-04
7.000000e+00	8.000000e+00	5.028722e-03	8.908470e-04	3.488520e-04
8.000000e+00	9.000000e+00	4.336534e-03	8.297390e-04	4.115690e-04
9.000000e+00	1.000000e+01	3.672736e-03	7.907420e-04	4.481620e-04
1.000000e+01	1.100000e+01	3.119390e-03	6.729210e-04	3.063930e-04
1.100000e+01	1.200000e+01	2.530317e-03	5.683710e-04	7.198080e-04
1.200000e+01	1.300000e+01	2.116684e-03	4.734840e-04	4.359360e-04
1.300000e+01	1.400000e+01	1.779688e-03	4.530480e-04	3.697580e-04
1.400000e+01	1.500000e+01	1.472531e-03	3.653950e-04	3.071660e-04
1.500000e+01	1.600000e+01	1.235340e-03	3.495476e-04	2.929070e-04
1.600000e+01	1.700000e+01	1.034202e-03	2.684309e-04	2.342470e-04
1.700000e+01	1.800000e+01	8.573246e-04	2.304506e-04	1.741314e-04
1.800000e+01	1.900000e+01	7.240412e-04	2.200569e-04	2.039895e-04
1.900000e+01	2.000000e+01	6.044861e-04	1.752037e-04	2.015053e-04
2.000000e+01	2.100000e+01	4.996896e-04	1.342550e-04	1.797283e-04
2.100000e+01	2.200000e+01	4.375699e-04	1.422207e-04	2.653046e-04
2.200000e+01	2.300000e+01	3.521658e-04	1.139281e-04	1.204154e-04
2.300000e+01	2.400000e+01	2.715111e-04	5.641830e-05	1.572807e-04
2.400000e+01	2.500000e+01	2.480389e-04	6.672070e-05	8.568950e-05
2.500000e+01	2.600000e+01	2.085038e-04	6.419970e-05	7.998460e-05
2.600000e+01	2.700000e+01	1.906831e-04	6.892110e-05	4.777720e-05
2.700000e+01	2.800000e+01	1.627783e-04	5.611240e-05	3.917980e-05
2.800000e+01	2.900000e+01	1.179860e-04	2.564206e-05	3.229370e-05
2.900000e+01	3.000000e+01	1.089430e-04	2.994605e-05	4.910000e-06
3.000000e+01	3.100000e+01	9.645313e-05	2.894153e-05	1.744627e-05
3.100000e+01	3.200000e+01	8.311966e-05	1.940005e-05	1.847894e-05
3.200000e+01	3.300000e+01	7.252215e-05	3.306554e-05	1.275503e-05
3.300000e+01	3.400000e+01	6.504895e-05	2.396724e-05	5.624010e-06
3.400000e+01	3.500000e+01	5.284697e-05	1.905518e-05	1.432692e-05
3.500000e+01	3.600000e+01	3.524106e-05	3.198330e-06	2.357900e-05
